episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
505,75,416,120.31,
510,36,198,125.87,
515,36,188,129.98999999999998,
520,36,179,132.98,
525,38,198,129.72,
530,30,170,129.46,
535,41,190,126.95,
540,44,173,131.01,
545,43,198,129.97,
550,46,197,131.56,
555,42,175,127.36,
560,44,177,126.18,
565,41,170,128.09,
570,40,165,130.46,
575,36,168,136.04000000000002,
580,45,175,134.32,
585,40,180,127.58000000000001,
590,37,168,144.02999999999997,
595,44,158,128.95,
600,35,160,129.54,
605,38,169,138.2,
610,35,163,140.38000000000002,
615,35,165,131.81,
620,39,156,134.27,
625,43,153,136.26,
630,34,152,142.32,
635,38,180,137.39999999999998,
640,38,179,135.66,
645,42,161,149.55,
650,33,148,134.08,
655,32,159,139.52,
660,40,154,140.21,
665,41,156,142.1,
670,34,151,136.85,
675,31,156,143.14,
680,33,142,139.1,
685,42,146,141.29,
690,43,157,138.91,
695,35,163,144.91,
700,40,147,145.1,
705,40,150,143.16,
710,38,150,153.43,
715,33,144,146.4,
720,38,148,144.51999999999998,
725,35,139,144.22,
730,35,142,147.66,
735,43,140,145.15,
740,44,139,144.2,
745,39,124,143.34,
750,41,133,140.78,
755,41,128,146.85,
760,39,145,151.89000000000001,
765,40,136,145.8,
770,37,131,154.63,
775,37,129,143.20999999999998,
780,36,136,158.98,
785,33,135,155.13,
790,34,129,153.12,
795,33,119,150.18,
800,37,138,149.06,
805,35,136,155.28,
810,40,124,148.57000000000002,
815,41,126,149.6,
820,35,125,150.95000000000002,
825,30,130,156.39,
830,48,126,150.5,
835,38,138,150.56,
840,38,133,156.63,
845,36,126,160.42999999999998,
850,33,119,157.17000000000002,
855,40,123,154.32,
860,40,119,156.03,
865,36,113,160.07,
870,39,122,161.26999999999998,
875,44,137,160.09,
880,38,119,162.16,
885,34,121,157.73,
890,36,120,157.99,
895,40,111,161.66,
900,43,115,164.18,
905,39,110,161.47,
910,30,122,160.36999999999998,
915,35,104,163.42999999999998,
920,34,115,156.15,
925,33,118,160.73000000000002,
930,30,127,165.64999999999998,
935,36,108,161.27,
940,37,98,163.84,
945,43,105,167.31,
950,43,103,154.95000000000002,
955,40,112,170.86,
960,38,111,173.15,
965,41,108,170.29000000000002,
970,41,117,167.06,
975,38,112,165.88,
980,34,115,161.89,
985,35,111,167.8,
990,40,87,177.44,
995,37,102,163.99,
1000,38,114,175.95000000000002,
1005,37,108,181.10000000000002,
1010,38,111,178.9,
1015,31,104,173.92000000000002,
1020,33,103,179.79,
1025,33,97,173.56,
1030,34,103,175.45,
1035,33,110,172.26000000000002,
