episode,shifted_humans,shifted_avs,machine_ratio
210,265 316 446,None,0.20570264765784113
220,470,None,0.20773930753564154
230,176 421,None,0.21181262729124237
240,111 304 454,None,0.21792260692464357
250,75 249 309,None,0.2240325865580448
260,48 290 411 420 489,None,0.23421588594704684
270,58 97 243 354,None,0.24236252545824846
280,29 59 61 181 262 295 332,None,0.25661914460285135
290,159 166,None,0.2606924643584521
300,388 440,None,0.26476578411405294
310,39 49 198 394,None,0.2729124236252546
320,1 213,None,0.2769857433808554
330,30 154 242,None,0.2830957230142566
340,81 179 398 399 433 456,None,0.2953156822810591
350,10 12,None,0.29938900203665986
360,105 151 189 214 340,None,0.3095723014256619
370,70 117 132 142 153 172 227 293 395 400,None,0.329938900203666
380,None,None,0.329938900203666
390,40 94 156 326 352 357 459 481,None,0.34623217922606925
400,102 449,None,0.35030549898167007
410,430 476,256,0.35234215885947046
420,187 234 307 427,None,0.3604887983706721
430,136 184 259 442,75,0.3665987780040733
440,None,None,0.3665987780040733
450,218 219,None,0.37067209775967414
460,116 310,None,0.37474541751527496
470,396,None,0.37678207739307534
480,192 334 406 412,None,0.384928716904277
490,2 35 79 279 339,None,0.395112016293279
500,37 224 461,119,0.39918533604887985
510,236 320 386,None,0.40529531568228105
520,95 178 231,166 94,0.4073319755600815
530,108 199 254,None,0.4134419551934827
540,54 62 125 138 174 331,None,0.4256619144602851
550,55 353,None,0.42973523421588594
560,139 223 403,None,0.43584521384928715
570,300 368,200,0.4378818737270876
580,475,None,0.439918533604888
590,207 299 318 327 360 486,None,0.45213849287169044
600,237 306,187,0.45417515274949083
610,130 160 221 314 369,None,0.46435845213849286
620,211 297,None,0.4684317718940937
630,145 165,28,0.47046843177189407
640,32 67 106 266 377,None,0.48065173116089616
650,194,None,0.48268839103869654
660,177 270 296 322 359,329 218,0.48879837067209775
670,248 404,None,0.49287169042769857
680,233 439,None,0.4969450101832994
690,261 305 338 384 407,14,0.505091649694501
700,120 345 464,299,0.5091649694501018
710,33 423,None,0.5132382892057027
720,76 190 350,None,0.5193482688391039
730,83 133 401 472,None,0.5274949083503055
740,390,None,0.5295315682281059
750,109 220 323 436,None,0.5376782077393075
760,99 107 124 167 408 468,None,0.5498981670061099
770,127 286,None,0.5539714867617108
780,47,None,0.5560081466395111
790,5 129,None,0.560081466395112
800,164 267 187,None,0.5661914460285132
810,16 87 381 463,254,0.5723014256619144
820,173,None,0.5743380855397149
830,None,None,0.5743380855397149
840,69 82 447,332,0.5784114052953157
850,171 321,None,0.5824847250509165
860,None,None,0.5824847250509165
870,193 325 383 435,None,0.5906313645621182
880,None,None,0.5906313645621182
890,None,223,0.5885947046843177
900,280 308,None,0.5926680244399185
910,27 437,117,0.594704684317719
920,150 196 474 478 166,33,0.6028513238289206
930,None,424,0.6008146639511202
940,135 282,279,0.6028513238289206
950,42 269 276 465,None,0.6109979633401222
960,None,None,0.6109979633401222
970,50 376,None,0.615071283095723
980,114 479,99,0.6171079429735234
990,21 330,29,0.6191446028513238
1000,80 226,466,0.6211812627291242
1010,367 438 457 299,None,0.6293279022403259
1020,452,395,0.6293279022403259
1030,205,None,0.6313645621181263
1040,4 203,None,0.6354378818737271
1050,8 313,234,0.6374745417515275
1060,52 143 335 75 14 332,None,0.6496945010183299
1070,298,None,0.6517311608961304
1080,292 462,None,0.6558044806517311
1090,86,74,0.6558044806517311
1100,123 170,None,0.659877800407332
1110,469,None,0.6619144602851323
1120,250,46,0.6619144602851323
1130,53 343 413,197,0.6659877800407332
1140,222 393,None,0.670061099796334
1150,96 488,130,0.6720977596741344
1160,362,None,0.6741344195519349
1170,None,None,0.6741344195519349
1180,319,None,0.6761710794297352
1190,418,None,0.6782077393075356
