episode,shifted_humans,shifted_avs,machine_ratio
210,None,None,0.1981981981981982
220,None,None,0.1981981981981982
230,None,None,0.1981981981981982
240,None,None,0.1981981981981982
250,None,None,0.1981981981981982
260,None,None,0.1981981981981982
270,None,None,0.1981981981981982
280,None,None,0.1981981981981982
290,111 143 166,None,0.21171171171171171
300,120,None,0.21621621621621623
310,33 125,None,0.22522522522522523
320,None,None,0.22522522522522523
330,56 203,None,0.23423423423423423
340,None,None,0.23423423423423423
350,None,None,0.23423423423423423
360,50,None,0.23873873873873874
370,77,None,0.24324324324324326
380,None,None,0.24324324324324326
390,None,None,0.24324324324324326
400,26 155,None,0.25225225225225223
410,12,None,0.25675675675675674
420,68,None,0.26126126126126126
430,None,None,0.26126126126126126
440,73,None,0.26576576576576577
450,None,None,0.26576576576576577
460,114,None,0.2702702702702703
470,1,None,0.2747747747747748
480,None,None,0.2747747747747748
490,195,None,0.27927927927927926
500,None,None,0.27927927927927926
510,None,None,0.27927927927927926
520,186,None,0.28378378378378377
530,184,None,0.2882882882882883
540,None,None,0.2882882882882883
550,14 182,None,0.2972972972972973
560,140,None,0.30180180180180183
570,None,None,0.30180180180180183
580,None,None,0.30180180180180183
590,None,None,0.30180180180180183
600,None,None,0.30180180180180183
610,None,None,0.30180180180180183
620,None,None,0.30180180180180183
630,165,None,0.3063063063063063
640,None,None,0.3063063063063063
650,None,None,0.3063063063063063
660,None,None,0.3063063063063063
670,None,None,0.3063063063063063
680,None,None,0.3063063063063063
690,70,None,0.3108108108108108
700,None,None,0.3108108108108108
710,65,None,0.3153153153153153
720,61,None,0.31981981981981983
730,None,None,0.31981981981981983
740,15,None,0.32432432432432434
750,23 117,None,0.3333333333333333
760,None,None,0.3333333333333333
770,None,None,0.3333333333333333
780,159,None,0.33783783783783783
790,105 191,None,0.34684684684684686
800,29 57 104,None,0.36036036036036034
810,None,None,0.36036036036036034
820,None,None,0.36036036036036034
830,None,None,0.36036036036036034
840,None,None,0.36036036036036034
850,None,None,0.36036036036036034
860,None,None,0.36036036036036034
870,None,None,0.36036036036036034
880,None,None,0.36036036036036034
890,None,None,0.36036036036036034
900,10 79 91 133,None,0.3783783783783784
910,32,None,0.38288288288288286
920,194,None,0.38738738738738737
930,None,None,0.38738738738738737
940,3,None,0.3918918918918919
950,None,None,0.3918918918918919
960,None,None,0.3918918918918919
970,None,None,0.3918918918918919
980,112,None,0.3963963963963964
990,None,None,0.3963963963963964
1000,190,None,0.4009009009009009
1010,None,None,0.4009009009009009
1020,148,None,0.40540540540540543
1030,None,None,0.40540540540540543
1040,20,None,0.4099099099099099
1050,95,None,0.4144144144144144
1060,None,None,0.4144144144144144
1070,None,None,0.4144144144144144
1080,122,None,0.4189189189189189
1090,101 161,None,0.42792792792792794
1100,2,None,0.43243243243243246
1110,134,None,0.4369369369369369
1120,18 152,None,0.44594594594594594
1130,None,None,0.44594594594594594
1140,144,None,0.45045045045045046
1150,None,None,0.45045045045045046
1160,76,None,0.45495495495495497
1170,178,None,0.4594594594594595
1180,None,None,0.4594594594594595
1190,39,None,0.46396396396396394
