episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
1205,227,264,112.98,
1210,123,115,111.85,
1215,122,109,114.63000000000001,
1220,124,99,112.62,
1225,124,102,111.83999999999999,
1230,136,110,117.19,
1235,137,106,112.15,
1240,124,106,123.09,
1245,128,99,109.89,
1250,119,114,113.08000000000001,
1255,125,112,116.3,
1260,124,110,114.95,
1265,132,108,118.78999999999999,
1270,136,116,113.88000000000001,
1275,134,112,114.68,
1280,123,118,119.04,
1285,123,109,118.33,
1290,128,122,112.53,
1295,124,100,115.75,
1300,135,105,115.61,
1305,114,106,111.34,
1310,126,106,111.83,
1315,130,91,115.71,
1320,137,100,112.58,
1325,138,96,114.81,
1330,122,103,119.08999999999999,
1335,129,106,111.84,
1340,130,101,116.87,
1345,129,102,117.53999999999999,
1350,129,106,109.68,
1355,132,107,116.33,
1360,130,101,117.22,
1365,121,111,113.84,
1370,133,101,116.55,
1375,132,104,117.31,
1380,120,112,109.18,
1385,116,106,115.50999999999999,
1390,124,122,112.2,
1395,130,109,114.95,
1400,123,107,114.47999999999999,
1405,131,96,115.15,
1410,122,108,112.16,
1415,123,111,113.28999999999999,
1420,125,107,113.09,
1425,128,104,115.13,
1430,130,101,116.39,
1435,134,101,109.8,
1440,126,109,115.08,
1445,131,108,114.84,
1450,114,100,116.01,
1455,142,99,112.54,
1460,130,101,112.46000000000001,
1465,128,100,116.11999999999999,
1470,125,96,109.47,
1475,125,100,112.76,
1480,125,103,112.86,
1485,134,93,113.83999999999999,
1490,134,99,111.3,
1495,130,105,107.99,
1500,120,93,109.38,
1505,114,86,120.5,
1510,123,83,113.28,
1515,140,94,113.14999999999999,
1520,127,97,111.96000000000001,
1525,127,94,118.44,
1530,119,91,114.11,
1535,126,90,113.23,
1540,121,97,113.53999999999999,
1545,128,102,111.32000000000001,
1550,118,92,108.88,
1555,116,92,117.59,
1560,128,94,115.61,
1565,130,96,111.64999999999999,
1570,118,90,113.02,
1575,118,83,116.31,
1580,121,96,110.55999999999999,
1585,118,102,115.42,
1590,122,100,110.75,
1595,117,84,109.25999999999999,
1600,138,81,114.75999999999999,
1605,133,92,109.59,
1610,126,93,114.51,
1615,128,83,115.37,
1620,137,86,115.46,
1625,122,94,117.57,
1630,134,85,114.72999999999999,
1635,124,79,110.11,
1640,130,83,113.92,
1645,125,82,111.51,
1650,130,81,115.64,
1655,124,84,112.06,
1660,124,83,111.0,
1665,120,71,116.96000000000001,
1670,121,79,111.72,
1675,117,80,115.33,
1680,121,73,116.52,
1685,125,76,116.18,
1690,123,76,118.31,
1695,132,78,113.38000000000001,
1700,129,74,114.99,
1705,128,74,118.02,
1710,131,73,110.21000000000001,
1715,135,74,114.94999999999999,
1720,132,76,111.31,
1725,121,75,111.21000000000001,
1730,143,74,114.07,
1735,129,67,109.29,
1740,125,67,110.0,
1745,129,76,112.09,
1750,129,66,112.89,
1755,136,61,111.80000000000001,
1760,129,66,112.68,
1765,125,67,116.46,
1770,123,71,114.39,
1775,129,75,118.72,
1780,125,73,117.95,
1785,130,66,113.95,
1790,126,75,118.25,
1795,130,72,115.0,
1800,129,69,109.22,
1805,125,70,119.56,
1810,136,70,111.19,
1815,134,67,114.63,
1820,132,73,115.63,
1825,123,71,112.99000000000001,
1830,125,71,112.53,
1835,129,65,111.7,
1840,133,72,114.64,
1845,119,60,112.26,
1850,135,66,113.59,
1855,144,66,112.0,
1860,127,64,113.5,
1865,135,55,110.38000000000001,
1870,131,62,118.69,
1875,121,65,115.18,
1880,118,64,112.25,
1885,123,68,113.17,
1890,116,48,117.75,
1895,123,46,119.01,
1900,125,55,111.9,
1905,135,64,117.21,
1910,135,46,118.7,
1915,124,50,118.55999999999999,
1920,121,45,118.05,
1925,127,54,113.86,
1930,130,57,113.67,
1935,114,62,112.99000000000001,
1940,132,61,112.86000000000001,
1945,125,56,118.54,
1950,120,52,111.49000000000001,
1955,130,53,113.8,
1960,118,41,112.56,
1965,121,50,120.01,
1970,131,55,115.68,
1975,121,49,113.87,
1980,119,46,114.95,
1985,131,51,114.55,
1990,118,44,116.49,
1995,129,47,116.68,
2000,128,50,113.69,
2005,125,56,111.99,
2010,131,43,112.32,
2015,139,43,113.25,
2020,117,52,113.17,
2025,127,50,114.86,
2030,132,47,116.12,
2035,140,38,113.97,
2040,124,43,115.77,
2045,128,48,118.25999999999999,
2050,123,47,118.2,
2055,110,45,110.83000000000001,
2060,135,38,113.50999999999999,
2065,111,42,117.09,
2070,121,40,113.67999999999999,
2075,120,40,113.03,
2080,122,38,109.84,
2085,135,38,111.87,
2090,122,51,114.71,
2095,124,46,115.51,
2100,127,42,113.25,
2105,121,42,117.49,
2110,124,41,113.63,
2115,127,34,111.63999999999999,
2120,114,29,114.05000000000001,
2125,128,29,120.34,
2130,117,34,115.39,
2135,136,37,115.78999999999999,
2140,126,38,113.63,
2145,129,38,116.4,
2150,120,36,114.42,
2155,135,38,117.09,
2160,131,38,112.27,
2165,123,31,112.16999999999999,
2170,123,43,119.21,
2175,132,36,122.63,
2180,123,35,114.03,
2185,129,38,110.60000000000001,
2190,137,33,115.53,
2195,125,29,116.86999999999999,
2200,126,42,110.06,
