episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
1205,102,120,26.150000000000002,
1210,67,53,25.93,
1215,55,52,26.21,
1220,63,55,26.78,
1225,73,55,26.66,
1230,74,55,26.45,
1235,68,58,26.68,
1240,73,43,26.18,
1245,74,51,27.52,
1250,66,49,26.38,
1255,68,45,26.400000000000002,
1260,72,56,27.25,
1265,75,49,26.07,
1270,60,49,26.29,
1275,67,58,26.73,
1280,74,49,26.51,
1285,58,48,25.78,
1290,68,52,26.65,
1295,62,54,26.259999999999998,
1300,62,47,25.59,
1305,70,48,26.27,
1310,66,43,26.77,
1315,67,51,26.61,
1320,61,55,26.57,
1325,62,54,25.93,
1330,61,43,26.470000000000002,
1335,66,51,27.06,
1340,61,47,27.24,
1345,66,50,26.76,
1350,62,41,26.66,
1355,71,40,27.55,
1360,65,46,26.650000000000002,
1365,67,56,26.8,
1370,71,43,26.189999999999998,
1375,70,40,26.47,
1380,79,46,26.91,
1385,66,41,26.48,
1390,65,47,27.16,
1395,73,44,26.61,
1400,64,45,26.32,
1405,67,43,26.61,
1410,69,43,26.709999999999997,
1415,63,49,26.599999999999998,
1420,68,45,26.15,
1425,76,46,26.68,
1430,72,40,26.97,
1435,65,44,26.14,
1440,69,46,25.89,
1445,68,42,26.2,
1450,69,43,27.22,
1455,69,42,26.099999999999998,
1460,72,42,26.95,
1465,64,49,26.919999999999998,
1470,73,47,27.0,
1475,65,40,26.79,
1480,72,37,26.96,
1485,64,43,27.01,
1490,60,43,25.669999999999998,
1495,62,37,25.91,
1500,55,34,26.77,
1505,72,42,26.58,
1510,73,46,26.0,
1515,54,41,26.45,
1520,63,38,26.93,
1525,69,43,26.36,
1530,53,43,26.45,
1535,70,46,26.21,
1540,65,34,25.75,
1545,58,45,27.139999999999997,
1550,63,48,26.69,
1555,57,44,26.07,
1560,71,37,27.4,
1565,58,43,26.73,
1570,60,38,26.830000000000002,
1575,68,38,26.150000000000002,
1580,71,39,26.8,
1585,68,39,26.69,
1590,64,32,26.29,
1595,62,36,26.8,
1600,59,34,27.040000000000003,
1605,65,35,26.46,
1610,67,43,26.9,
1615,64,33,26.75,
1620,65,38,26.34,
1625,67,30,26.64,
1630,68,35,27.12,
1635,61,35,27.3,
1640,61,32,26.020000000000003,
1645,72,43,27.22,
1650,67,30,26.36,
1655,72,26,26.310000000000002,
1660,73,34,26.599999999999998,
1665,69,27,26.57,
1670,64,32,26.28,
1675,73,27,26.8,
1680,64,30,26.37,
1685,57,37,26.83,
1690,64,36,26.74,
1695,72,28,26.650000000000002,
1700,74,27,26.57,
1705,68,26,26.92,
1710,70,37,26.419999999999998,
1715,66,22,26.21,
1720,72,29,26.85,
1725,60,29,26.89,
1730,64,27,26.86,
1735,80,31,26.88,
1740,70,27,26.46,
1745,65,30,26.69,
1750,66,29,26.419999999999998,
1755,68,35,26.84,
1760,68,31,26.87,
1765,64,31,26.94,
1770,69,32,26.47,
1775,70,32,27.02,
1780,66,28,26.83,
1785,67,27,26.44,
1790,67,25,26.9,
1795,59,30,26.509999999999998,
1800,69,17,27.5,
1805,66,22,26.05,
1810,63,28,27.26,
1815,75,30,26.84,
1820,67,31,26.37,
1825,54,27,26.16,
1830,65,23,26.48,
1835,67,28,26.79,
1840,63,26,32.09,
1845,72,27,26.76,
1850,75,22,27.18,
1855,64,23,26.82,
1860,69,25,26.63,
1865,63,25,27.21,
1870,69,25,26.54,
1875,65,22,27.12,
1880,60,24,26.430000000000003,
1885,74,26,26.53,
1890,64,23,27.099999999999998,
1895,68,29,26.4,
1900,68,21,26.650000000000002,
1905,68,20,26.62,
1910,68,23,26.7,
1915,72,27,26.55,
1920,68,22,26.86,
1925,69,26,26.85,
1930,62,24,26.79,
1935,69,21,27.3,
1940,71,18,26.63,
1945,70,24,27.11,
1950,71,21,26.93,
1955,71,15,27.080000000000002,
1960,65,23,26.52,
1965,65,18,26.790000000000003,
1970,58,24,26.88,
1975,65,16,26.75,
1980,70,18,26.720000000000002,
1985,61,15,27.06,
1990,59,16,26.78,
1995,65,24,26.99,
2000,66,25,26.49,
2005,56,20,27.04,
2010,65,18,26.950000000000003,
2015,66,20,26.57,
2020,63,21,27.55,
2025,73,24,27.26,
2030,61,25,27.09,
2035,61,26,26.830000000000002,
2040,67,23,27.9,
2045,72,20,26.84,
2050,65,18,26.6,
2055,68,12,26.2,
2060,66,19,26.71,
2065,62,19,27.05,
2070,67,18,26.53,
2075,67,16,26.12,
2080,65,14,26.71,
2085,63,14,26.88,
2090,69,17,27.3,
2095,72,20,27.37,
2100,60,12,26.919999999999998,
2105,59,14,26.360000000000003,
2110,63,16,26.95,
2115,67,16,27.669999999999998,
2120,66,14,27.06,
2125,70,11,26.69,
2130,65,18,27.01,
2135,57,15,26.54,
2140,66,16,26.4,
2145,67,16,26.05,
2150,59,17,26.23,
2155,64,18,26.8,
2160,75,19,27.09,
2165,69,16,27.37,
2170,71,15,26.59,
2175,70,20,27.2,
2180,59,16,26.84,
2185,73,14,26.74,
2190,65,16,27.180000000000003,
2195,62,17,27.0,
2200,70,16,26.52,
