episode,shifted_humans,shifted_avs,machine_ratio,tt_ratio
1010,None,None,0.1981981981981982,0.9067166488031698
1020,152 168,None,0.2072072072072072,0.9200583841131963
1030,133 157,None,0.21621621621621623,0.9407896570842188
1040,44 208,None,0.22522522522522523,0.958097837025711
1050,None,None,0.22522522522522523,0.9721547728334581
1060,81,None,0.22972972972972974,0.9623505944589799
1070,None,None,0.22972972972972974,0.9368827098847712
1080,201,None,0.23423423423423423,0.9545821236722007
1090,47,None,0.23873873873873874,0.9591485018210943
1100,159,None,0.24324324324324326,0.9420950632073067
1110,79,None,0.24774774774774774,0.9359306762831973
1120,198,None,0.25225225225225223,0.9431692179683084
1130,38 205,None,0.26126126126126126,0.9462836367812402
1140,129,None,0.26576576576576577,0.9560389519741497
1150,28,None,0.2702702702702703,0.9500993825733633
1160,None,None,0.2702702702702703,0.9506412713689409
1170,29,None,0.2747747747747748,0.9590475235223993
1180,1 161,None,0.28378378378378377,0.9689075948959118
1190,123,None,0.2882882882882883,0.9811426424127022
1200,132,None,0.2927927927927928,0.9781532610674152
1210,None,None,0.2927927927927928,0.982876869764532
1220,207,None,0.2972972972972973,0.9886525349354957
1230,None,None,0.2972972972972973,0.9866141034854553
1240,None,None,0.2972972972972973,0.9914693480652959
1250,None,None,0.2972972972972973,0.9912336531562642
1260,20,None,0.30180180180180183,0.9954285497900184
1270,None,None,0.30180180180180183,0.9968291788433605
1280,24,None,0.3063063063063063,1.00707179687883
1290,None,None,0.3063063063063063,0.9919524653993814
1300,None,None,0.3063063063063063,0.9999180173670955
1310,None,None,0.3063063063063063,0.9926960821680793
1320,None,None,0.3063063063063063,0.9955127928876671
1330,48,None,0.3108108108108108,0.9814946297239892
1340,None,None,0.3108108108108108,0.990000856434281
1350,56 60 139,None,0.32432432432432434,0.9989111827953975
1360,144 146,None,0.3333333333333333,0.9874765761819744
1370,None,None,0.3333333333333333,0.9981403898987009
1380,184,None,0.33783783783783783,1.0119006584911352
1390,89 149 204,None,0.35135135135135137,1.004478037876286
1400,21,None,0.35585585585585583,0.9708643792485603
1410,None,None,0.35585585585585583,0.9656962506069329
1420,46 178,None,0.36486486486486486,0.9598073618958588
1430,32,None,0.36936936936936937,0.9937646589920575
1440,31,None,0.3738738738738739,0.9970616881731836
1450,55,None,0.3783783783783784,1.0131801159189575
1460,None,None,0.3783783783783784,1.0392722564470673
1470,None,None,0.3783783783783784,1.0424669307423542
1480,112,None,0.38288288288288286,1.0210894045554644
1490,None,None,0.38288288288288286,1.0140127385553912
1500,None,None,0.38288288288288286,1.0332605249497604
1510,None,None,0.38288288288288286,1.0295821265905534
1520,148,None,0.38738738738738737,1.036914139585544
1530,160,None,0.3918918918918919,1.0338387438680148
1540,22 93,None,0.4009009009009009,1.0537198481139294
1550,90,None,0.40540540540540543,1.0399995641602624
1560,131,None,0.4099099099099099,1.048829762011388
1570,None,None,0.4099099099099099,1.0313671858897964
1580,None,None,0.4099099099099099,1.0259038365743998
1590,2 176,None,0.4189189189189189,1.028176466167517
1600,196,None,0.42342342342342343,1.0195563080379202
1610,None,None,0.42342342342342343,1.035716110992023
1620,110,None,0.42792792792792794,1.0323955501094477
1630,95 158,None,0.4369369369369369,1.0485988806566995
1640,None,None,0.4369369369369369,1.0409465301317629
1650,None,None,0.4369369369369369,1.0531260367602617
1660,215,None,0.44144144144144143,1.0497190244335666
1670,17 83,None,0.45045045045045046,1.0801615262675923
1680,203,None,0.45495495495495497,1.0411181678682437
1690,33 199,None,0.46396396396396394,1.04409173475464
1700,216,None,0.46846846846846846,1.0416554401719889
1710,None,None,0.46846846846846846,1.0430227957933775
1720,137,None,0.47297297297297297,1.0565765974523365
1730,None,None,0.47297297297297297,1.037981372822268
1740,71,None,0.4774774774774775,1.04064638782985
1750,None,None,0.4774774774774775,1.024157503516899
1760,None,None,0.4774774774774775,1.028455466353315
1770,87 172,None,0.4864864864864865,1.0356655231690468
1780,142,None,0.49099099099099097,1.036500973559702
1790,None,None,0.49099099099099097,1.049438715794803
1800,None,None,0.49099099099099097,1.0268951024440716
1810,0 155,None,0.5,1.0315964883027617
1820,None,None,0.5,1.053416137141199
1830,None,None,0.5,1.0366641366536435
1840,72,None,0.5045045045045045,1.050393221820871
1850,None,None,0.5045045045045045,1.0232657412952082
1860,None,None,0.5045045045045045,1.0417594978346716
1870,37,None,0.509009009009009,1.0358532580591644
1880,151,None,0.5135135135135135,1.036433293582932
1890,170,None,0.5180180180180181,1.0340165579902068
1900,None,None,0.5180180180180181,1.0422001906361156
1910,None,None,0.5180180180180181,1.0379330639248487
1920,107,None,0.5225225225225225,1.0470663553367954
1930,None,None,0.5225225225225225,1.0357948837505242
1940,177,None,0.527027027027027,1.048831598190725
1950,None,None,0.527027027027027,1.0054285794240976
1960,138,None,0.5315315315315315,1.0082506194235
1970,130 219,None,0.5405405405405406,1.0185345184575867
1980,None,None,0.5405405405405406,1.0229547544530515
1990,None,None,0.5405405405405406,1.0216643524560363
