episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
1205,102,120,26.86,
1210,62,79,26.16,
1215,64,78,25.919999999999998,
1220,65,62,26.110000000000003,
1225,63,76,26.1,
1230,63,87,26.369999999999997,
1235,67,73,26.25,
1240,68,77,26.009999999999998,
1245,73,73,26.88,
1250,78,68,25.919999999999998,
1255,70,72,25.759999999999998,
1260,67,77,26.36,
1265,67,73,26.19,
1270,64,81,26.43,
1275,64,83,26.0,
1280,69,82,26.66,
1285,59,75,25.89,
1290,72,78,26.87,
1295,65,78,26.49,
1300,65,76,26.5,
1305,70,73,26.46,
1310,71,72,26.44,
1315,77,83,26.48,
1320,56,77,27.099999999999998,
1325,66,75,26.09,
1330,70,69,26.66,
1335,70,78,27.02,
1340,67,74,26.419999999999998,
1345,67,69,26.7,
1350,65,79,26.08,
1355,56,81,26.43,
1360,61,79,26.65,
1365,64,72,26.44,
1370,59,71,26.38,
1375,64,69,26.6,
1380,66,66,26.25,
1385,64,68,26.11,
1390,70,82,26.96,
1395,68,82,26.14,
1400,68,73,26.53,
1405,69,71,26.25,
1410,63,78,26.759999999999998,
1415,59,73,26.02,
1420,67,65,26.18,
1425,58,67,26.150000000000002,
1430,69,62,26.950000000000003,
1435,68,78,26.46,
1440,58,78,26.52,
1445,70,78,27.04,
1450,76,73,26.18,
1455,67,73,26.45,
1460,80,79,26.55,
1465,68,75,26.810000000000002,
1470,76,68,26.41,
1475,67,70,26.54,
1480,71,82,26.74,
1485,69,78,26.369999999999997,
1490,62,81,26.5,
1495,66,80,27.14,
1500,62,69,26.03,
1505,71,77,26.05,
1510,71,76,26.3,
1515,68,83,26.66,
1520,71,60,26.25,
1525,62,73,25.740000000000002,
1530,77,70,26.360000000000003,
1535,70,69,27.37,
1540,70,67,26.23,
1545,64,68,26.08,
1550,68,76,26.06,
1555,71,75,26.36,
1560,70,76,26.48,
1565,66,75,26.75,
1570,69,78,26.380000000000003,
1575,65,78,26.7,
1580,69,78,26.599999999999998,
1585,68,75,26.44,
1590,68,69,26.9,
1595,62,77,26.369999999999997,
1600,72,74,25.62,
1605,65,76,26.96,
1610,76,76,26.349999999999998,
1615,68,80,26.46,
1620,54,69,25.63,
1625,63,74,26.200000000000003,
1630,66,80,26.66,
1635,64,77,26.07,
1640,70,77,26.37,
1645,75,75,27.029999999999998,
1650,69,69,26.98,
1655,72,77,26.310000000000002,
1660,66,76,25.58,
1665,64,68,26.59,
1670,65,74,26.4,
1675,64,76,26.53,
1680,74,65,27.13,
1685,66,71,27.31,
1690,66,73,26.3,
1695,66,76,26.43,
1700,78,64,25.64,
1705,69,71,27.029999999999998,
1710,72,81,25.540000000000003,
1715,64,65,26.360000000000003,
1720,61,70,26.799999999999997,
1725,57,80,26.64,
1730,63,71,26.83,
1735,72,73,26.75,
1740,70,82,26.28,
1745,71,77,27.06,
1750,62,75,26.08,
1755,62,76,26.47,
1760,66,73,25.560000000000002,
1765,67,61,26.82,
1770,70,81,26.830000000000002,
1775,72,72,26.599999999999998,
1780,77,78,26.47,
1785,60,85,27.2,
1790,72,63,27.19,
1795,69,74,26.34,
1800,68,74,25.75,
1805,62,71,26.21,
1810,65,73,26.44,
1815,69,73,26.0,
1820,61,72,26.86,
1825,70,72,26.49,
1830,62,76,26.479999999999997,
1835,69,74,26.599999999999998,
1840,69,62,26.46,
1845,70,63,25.98,
1850,67,73,26.740000000000002,
1855,62,81,26.52,
1860,66,71,26.32,
1865,76,62,26.61,
1870,65,64,26.87,
1875,69,64,26.61,
1880,73,76,25.98,
1885,73,70,26.89,
1890,59,75,26.63,
1895,68,61,26.17,
1900,66,62,26.74,
1905,71,66,25.560000000000002,
1910,66,65,26.389999999999997,
1915,72,71,25.650000000000002,
1920,69,66,26.25,
1925,70,72,26.09,
1930,71,65,26.299999999999997,
1935,61,65,26.34,
1940,66,67,25.77,
1945,65,77,26.55,
1950,79,66,25.990000000000002,
1955,69,72,25.87,
1960,59,73,26.57,
1965,53,63,26.59,
1970,65,76,26.64,
1975,70,71,26.86,
1980,68,66,25.869999999999997,
1985,68,65,26.75,
1990,67,77,26.759999999999998,
1995,70,66,26.45,
2000,73,68,25.849999999999998,
2005,69,69,26.669999999999998,
2010,68,60,26.810000000000002,
2015,72,60,26.41,
2020,72,60,27.009999999999998,
2025,67,74,26.83,
2030,70,65,26.569999999999997,
2035,71,65,26.41,
2040,71,72,25.98,
2045,68,70,25.89,
2050,68,66,25.8,
2055,67,59,26.76,
2060,67,58,26.73,
2065,71,74,26.01,
2070,71,76,26.39,
2075,76,66,26.07,
2080,66,66,26.5,
2085,66,73,26.44,
2090,75,85,26.45,
2095,71,77,26.89,
2100,63,67,25.99,
2105,68,75,26.86,
2110,61,66,26.450000000000003,
2115,61,71,26.490000000000002,
2120,68,66,26.430000000000003,
2125,73,70,26.060000000000002,
2130,63,62,26.07,
2135,56,64,26.3,
2140,67,59,25.98,
2145,65,48,27.04,
2150,66,59,25.779999999999998,
2155,71,64,25.51,
2160,68,66,26.43,
2165,65,66,25.56,
2170,63,69,27.099999999999998,
2175,67,74,27.380000000000003,
2180,71,73,25.950000000000003,
2185,73,54,26.37,
2190,69,66,26.48,
2195,65,58,25.950000000000003,
2200,63,69,25.97,
