episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
1205,227,264,111.74000000000001,
1210,127,124,111.00999999999999,
1215,136,102,112.7,
1220,120,103,111.7,
1225,122,106,113.46000000000001,
1230,136,105,115.7,
1235,137,111,113.54,
1240,125,109,118.3,
1245,130,96,114.64,
1250,132,109,114.76,
1255,122,117,114.59,
1260,128,104,112.67,
1265,131,108,113.28,
1270,129,120,111.76,
1275,144,113,113.08999999999999,
1280,139,104,116.85,
1285,124,98,117.1,
1290,129,115,112.09,
1295,118,111,107.45,
1300,116,110,117.25,
1305,119,106,116.24,
1310,124,100,110.04,
1315,119,96,114.66000000000001,
1320,138,96,115.22999999999999,
1325,119,117,114.22,
1330,116,106,113.7,
1335,126,97,117.03999999999999,
1340,120,102,116.2,
1345,126,95,118.0,
1350,132,98,110.66,
1355,135,112,116.2,
1360,119,95,116.02000000000001,
1365,127,85,110.23,
1370,130,95,116.8,
1375,131,100,118.96,
1380,125,100,110.11,
1385,119,94,116.01,
1390,140,97,113.36,
1395,138,99,113.0,
1400,139,98,119.46,
1405,136,105,117.88000000000001,
1410,129,106,114.75,
1415,125,97,114.2,
1420,130,91,115.91,
1425,124,102,115.57000000000001,
1430,119,101,115.33,
1435,122,95,116.12,
1440,126,89,118.64,
1445,131,84,117.9,
1450,121,83,117.67,
1455,122,99,118.0,
1460,125,97,116.76,
1465,117,87,119.95,
1470,127,96,114.52000000000001,
1475,121,91,113.28999999999999,
1480,120,96,116.82,
1485,126,89,115.99,
1490,134,85,111.83,
1495,132,82,110.78,
1500,122,89,117.14,
1505,126,90,114.36000000000001,
1510,122,91,112.16,
1515,119,80,110.77,
1520,122,92,113.7,
1525,132,95,113.53999999999999,
1530,130,80,117.9,
1535,127,84,115.61,
1540,129,87,114.2,
1545,122,72,117.53,
1550,127,80,112.8,
1555,126,86,115.67,
1560,133,89,120.0,
1565,125,83,114.52,
1570,118,76,117.28,
1575,130,73,119.26,
1580,132,89,118.83,
1585,123,89,119.05,
1590,128,91,113.59,
1595,125,85,114.1,
1600,121,83,119.12,
1605,131,75,113.11,
1610,128,79,113.53,
1615,129,84,118.8,
1620,131,74,111.66,
1625,126,84,118.36999999999999,
1630,132,77,109.81,
1635,131,76,120.55,
1640,122,74,116.96000000000001,
1645,125,83,115.35,
1650,131,67,115.11,
1655,126,67,114.18,
1660,129,69,117.6,
1665,134,60,119.14999999999999,
1670,120,65,117.3,
1675,128,77,119.78,
1680,143,64,119.42,
1685,140,65,110.58,
1690,134,84,112.13999999999999,
1695,120,77,111.75,
1700,135,75,111.63,
1705,129,68,111.6,
1710,116,77,114.41000000000001,
1715,119,69,116.58,
1720,128,76,117.84,
1725,136,76,114.83,
1730,120,72,117.76,
1735,124,73,118.55000000000001,
1740,129,75,113.32000000000001,
1745,117,79,117.84,
1750,127,75,114.56,
1755,121,78,120.82000000000001,
1760,138,72,114.52,
1765,135,67,114.5,
1770,120,81,113.6,
1775,118,75,113.62,
1780,118,69,115.96000000000001,
1785,124,70,114.41,
1790,128,79,114.16,
1795,135,75,116.69,
1800,128,65,115.74000000000001,
1805,139,78,112.38,
1810,137,69,116.94,
1815,130,63,115.98,
1820,116,75,117.44,
1825,128,71,110.94,
1830,124,70,119.26,
1835,126,63,113.89,
1840,129,67,117.63,
1845,131,59,113.17999999999999,
1850,124,56,111.3,
1855,120,55,115.36,
1860,128,65,108.87,
1865,124,60,117.28,
1870,131,60,113.77000000000001,
1875,123,57,115.64999999999999,
1880,129,64,109.58,
1885,132,64,111.36,
1890,115,60,114.9,
1895,135,55,119.83,
1900,124,60,111.18,
1905,127,64,112.95,
1910,128,57,117.99,
1915,127,70,110.79,
1920,115,57,114.19,
1925,113,61,117.0,
1930,118,57,116.45,
1935,124,58,115.47,
1940,130,61,116.91,
1945,129,58,119.61000000000001,
1950,137,55,114.74,
1955,129,51,112.27,
1960,133,50,118.02,
1965,132,60,111.41,
1970,135,56,114.0,
1975,121,55,116.97999999999999,
1980,126,49,114.28999999999999,
1985,123,49,115.36000000000001,
1990,126,52,113.09,
1995,124,47,116.22,
2000,118,52,114.4,
2005,122,54,112.86999999999999,
2010,116,52,117.36,
2015,129,50,117.85000000000001,
2020,124,46,111.88,
2025,115,50,114.69000000000001,
2030,128,43,114.51,
2035,123,50,118.93,
2040,129,52,117.95,
2045,133,52,113.18,
2050,136,49,110.32,
2055,120,48,116.43,
2060,128,42,112.58,
2065,130,47,111.94000000000001,
2070,130,46,114.56,
2075,119,50,118.89999999999999,
2080,123,40,116.19999999999999,
2085,134,43,114.39,
2090,132,50,117.02,
2095,132,46,118.77,
2100,126,36,113.82000000000001,
2105,129,41,113.2,
2110,126,41,112.73,
2115,125,47,121.82,
2120,135,41,118.73,
2125,120,43,117.82,
2130,124,50,114.74,
2135,122,46,114.39999999999999,
2140,125,45,115.63,
2145,125,46,113.33,
2150,131,47,114.84,
2155,124,46,115.08999999999999,
2160,125,29,113.99,
2165,121,46,114.14,
2170,126,46,112.99,
2175,135,41,118.08,
2180,139,35,116.34,
2185,126,42,115.83,
2190,132,42,111.82,
2195,128,38,112.75,
2200,125,45,111.36,
