episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,242,249,120.25999999999999,
210,138,156,118.22,
215,143,161,117.88000000000001,
220,136,170,122.3,
225,148,173,123.45,
230,137,174,117.11999999999999,
235,138,168,116.86,
240,142,159,124.02,
245,145,148,116.37,
250,138,153,115.16000000000001,
255,130,163,124.22999999999999,
260,128,156,114.01,
265,140,161,112.97,
270,140,144,114.67999999999999,
275,144,154,117.6,
280,153,156,113.83,
285,136,159,123.92999999999999,
290,139,152,123.05,
295,131,155,114.83,
300,135,158,117.82,
305,136,159,118.28999999999999,
310,145,151,117.28,
315,120,151,114.00999999999999,
320,133,149,116.84,
325,137,164,115.94,
330,135,151,113.49000000000001,
335,141,158,116.53999999999999,
340,128,166,116.07,
345,137,161,114.47000000000001,
350,140,152,111.9,
355,129,156,117.94000000000001,
360,143,144,117.29,
365,130,149,117.85000000000001,
370,134,154,115.06,
375,132,146,118.85,
380,145,156,117.2,
385,138,146,116.22999999999999,
390,139,162,112.68,
395,124,170,120.31,
400,144,161,115.21000000000001,
405,130,150,112.56,
410,128,148,124.18,
415,131,158,114.73,
420,137,147,118.36,
425,128,157,114.42999999999999,
430,139,163,124.07000000000001,
435,131,160,118.36,
440,136,148,115.37,
445,132,151,114.87,
450,154,147,112.33,
455,135,165,115.47000000000001,
460,143,162,114.61,
465,134,167,115.44999999999999,
470,135,144,113.83999999999999,
475,137,142,120.05,
480,136,160,115.46000000000001,
485,132,154,114.58,
490,139,153,116.71000000000001,
495,151,140,114.18,
500,131,133,116.39999999999999,
505,123,147,115.1,
510,133,149,116.11,
515,136,148,118.85,
520,143,164,120.39999999999999,
525,139,154,109.78,
530,121,160,113.79,
535,136,147,108.09,
540,135,147,118.96000000000001,
545,133,150,116.64,
550,131,143,112.53,
555,134,147,113.61,
560,148,143,115.47,
565,148,150,115.85,
570,138,151,114.46,
575,136,146,122.77,
580,142,149,115.33,
585,130,141,114.17,
590,130,141,118.4,
595,128,148,114.99,
600,141,145,116.77,
605,136,164,117.14999999999999,
610,145,156,112.75999999999999,
615,139,130,116.64999999999999,
620,134,154,118.14,
625,134,143,114.87,
630,135,149,114.92,
635,141,149,112.84,
640,144,146,116.41,
645,142,143,113.06,
650,139,150,116.6,
655,138,145,118.64,
660,146,140,112.22999999999999,
665,137,148,117.52,
670,137,165,120.34,
675,144,144,119.61999999999999,
680,138,153,116.83,
685,139,143,114.12,
690,135,143,116.77,
695,138,138,117.21,
700,144,145,115.66,
705,135,154,117.6,
710,146,142,117.50999999999999,
715,130,143,115.91999999999999,
720,142,154,113.75,
725,140,152,118.38,
730,141,142,117.25,
735,137,140,105.56,
740,138,128,110.45,
745,128,151,117.78999999999999,
750,141,135,122.16,
755,144,140,116.0,
760,148,148,112.32,
765,153,141,111.86,
770,144,146,116.25,
775,133,155,112.58,
780,138,138,115.64,
785,143,141,114.05,
790,125,145,109.25999999999999,
795,131,150,111.95,
800,123,142,117.2,
805,129,140,113.83999999999999,
810,141,143,115.63,
815,143,148,118.59,
820,140,134,114.73,
825,144,140,120.77,
830,150,139,116.38000000000001,
835,133,134,110.75,
840,137,124,113.71,
