episode,shifted_humans,shifted_avs,machine_ratio
2010,63 166 196 422 445,None,0.20977596741344195
2020,82 87 250 356,None,0.21792260692464357
2030,242 296 401,None,0.2240325865580448
2040,39 53 58 172 217 397,None,0.23625254582484725
2050,65 199 351 396,None,0.24439918533604887
2060,None,None,0.24439918533604887
2070,73 125 218 388 392 394 435,None,0.25865580448065173
2080,120 157 186 193 226 404 427 455,None,0.27494908350305497
2090,20 150 257 277 387,None,0.285132382892057
2100,55 137 269,None,0.29124236252545826
2110,101 115 122 266 332 361 411,None,0.3054989816700611
2120,40 195,None,0.3095723014256619
2130,None,None,0.3095723014256619
2140,121 163 224,None,0.31568228105906315
2150,70 178 231 474,None,0.32382892057026474
2160,81,None,0.3258655804480652
2170,None,None,0.3258655804480652
2180,27 35 91 219 403,None,0.3360488798370672
2190,117 290 362 368,19 104,0.34012219959266804
2200,318,11,0.34012219959266804
2210,171 252 412 438,460,0.34623217922606925
2220,56 97 310 486,None,0.3543788187372709
2230,267 469,None,0.35845213849287166
2240,None,None,0.35845213849287166
2250,22 99 129 305,None,0.3665987780040733
2260,234 436 472,None,0.3727087576374745
2270,47 373,None,0.37678207739307534
2280,67 352 369,None,0.38289205702647655
2290,165,None,0.384928716904277
2300,151 238 393,380,0.3890020366598778
2310,106,None,0.3910386965376782
2320,145,None,0.39307535641547864
2330,21 25 206 379 390 395,None,0.40529531568228105
2340,337,None,0.4073319755600815
2350,190 339 470 489,None,0.4154786150712831
2360,92 107 459,None,0.4215885947046843
2370,None,None,0.4215885947046843
2380,94 149 198 410 456 462,None,0.43380855397148677
2390,130,250,0.43380855397148677
2400,131 431,355,0.43584521384928715
2410,76 133 174 293 303 342,209 166,0.4439918533604888
2420,16 23,None,0.4480651731160896
2430,268 490,None,0.45213849287169044
2440,2 50 96 213 227,456,0.46028513238289204
2450,123 185 306 319 360,None,0.47046843177189407
2460,353,None,0.4725050916496945
2470,143 406 461 478,305,0.4786150712830957
2480,5 241 279,213,0.48268839103869654
2490,156 316,None,0.48676171079429736
2500,43 138 263 365,None,0.49490835030549896
2510,86 265 430 454,None,0.5030549898167006
2520,309 458,106,0.505091649694501
2530,278 366 440,161,0.5091649694501018
2540,57 189 414,100 92,0.5112016293279023
2550,90 381,None,0.515274949083503
2560,75 323 480,None,0.5213849287169042
2570,None,None,0.5213849287169042
2580,111 359,None,0.5254582484725051
2590,415 439,None,0.5295315682281059
2600,61 308 357,None,0.5356415478615071
2610,229 419,None,0.539714867617108
2620,None,None,0.539714867617108
2630,176 270 297 315 468,None,0.5498981670061099
2640,246 274 295 434,253,0.5560081466395111
