episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
2305,77,414,111.75,
2310,40,203,112.17,
2315,44,220,111.39999999999999,
2320,34,207,110.58,
2325,44,209,108.11,
2330,47,204,109.92,
2335,49,203,108.11,
2340,44,189,109.93,
2345,41,210,112.99000000000001,
2350,37,223,109.63,
2355,45,202,108.3,
2360,43,188,106.31,
2365,39,223,112.96,
2370,47,211,111.46,
2375,43,230,110.89999999999999,
2380,39,215,109.78,
2385,44,201,111.86,
2390,43,209,108.9,
2395,46,211,112.05999999999999,
2400,42,198,115.13,
2405,36,215,112.71,
2410,45,219,112.08,
2415,42,216,111.2,
2420,43,213,110.39,
2425,40,217,109.22,
2430,37,215,109.59,
2435,42,201,112.08,
2440,39,204,114.41,
2445,45,237,110.77,
2450,39,228,116.06,
2455,44,216,112.61,
2460,38,210,111.21000000000001,
2465,41,225,116.0,
2470,34,213,110.34,
2475,44,221,113.3,
2480,36,203,113.75,
2485,41,209,112.95,
2490,36,210,110.1,
2495,39,204,111.77000000000001,
2500,47,212,114.78,
2505,42,218,120.85,
2510,44,224,110.71000000000001,
2515,37,202,110.7,
2520,40,196,111.8,
2525,37,201,117.03999999999999,
2530,37,216,110.67,
2535,40,197,121.03,
2540,44,215,113.61999999999999,
2545,43,212,114.38,
2550,44,209,115.91,
2555,41,216,116.33,
2560,42,199,112.64,
2565,45,201,110.04,
2570,44,211,116.4,
2575,38,215,112.12,
2580,36,211,112.09,
2585,40,211,108.96,
2590,46,206,111.17,
2595,36,207,112.21000000000001,
2600,44,193,111.03,
2605,44,210,112.24000000000001,
2610,42,221,112.72000000000001,
2615,34,217,109.3,
2620,34,196,115.11,
2625,38,197,109.77,
2630,43,204,116.94,
2635,40,202,112.04,
2640,41,209,111.3,
2645,38,204,109.94,
2650,37,207,115.75999999999999,
2655,50,203,110.19999999999999,
2660,48,197,110.31,
2665,42,201,112.50999999999999,
2670,47,211,112.51,
2675,40,196,111.24,
2680,42,202,108.85000000000001,
2685,42,206,110.64,
2690,40,214,118.81,
2695,39,212,109.97999999999999,
2700,38,205,114.31,
2705,38,209,109.80000000000001,
2710,41,195,115.03,
2715,39,198,114.41,
2720,39,205,110.84,
2725,44,208,113.95,
2730,40,209,116.24,
2735,41,176,113.97,
2740,45,217,111.42,
2745,41,216,111.32000000000001,
2750,40,202,110.18,
2755,44,192,114.08,
2760,48,197,109.53999999999999,
2765,35,202,112.91,
2770,37,222,113.85000000000001,
2775,44,187,109.35,
2780,37,195,113.11999999999999,
2785,41,207,117.82000000000001,
2790,38,186,112.31,
2795,41,208,111.46000000000001,
2800,42,202,117.71,
2805,40,196,112.24,
2810,39,204,113.23,
2815,37,192,111.65,
2820,37,197,107.71000000000001,
2825,34,192,114.06,
2830,40,197,112.57000000000001,
2835,41,198,110.34,
2840,45,200,113.75,
2845,38,195,114.31,
2850,37,201,114.6,
2855,41,206,111.13000000000001,
2860,45,198,111.33,
2865,39,205,118.33,
2870,37,183,112.98,
2875,42,183,114.58999999999999,
2880,40,185,112.49,
2885,43,183,113.86999999999999,
2890,38,179,113.41,
2895,42,190,111.58,
2900,35,186,115.8,
2905,41,177,107.1,
2910,42,181,108.39,
2915,37,193,112.7,
2920,40,186,109.85,
2925,34,182,109.41,
2930,41,173,108.96,
2935,42,183,107.89999999999999,
2940,32,163,114.5,
2945,33,179,114.63,
2950,40,205,114.03999999999999,
2955,46,198,111.50999999999999,
2960,37,182,110.78,
2965,37,192,110.81,
2970,39,185,111.49000000000001,
2975,36,183,107.94,
