episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
2305,72,419,108.52,
2310,47,234,108.57,
2315,39,245,112.78,
2320,39,227,114.73,
2325,43,250,110.32,
2330,40,263,112.71,
2335,39,253,112.14999999999999,
2340,43,242,113.22999999999999,
2345,41,236,110.60000000000001,
2350,44,257,110.69,
2355,40,229,111.2,
2360,47,246,108.42,
2365,31,254,115.36,
2370,39,257,113.78,
2375,37,247,113.36,
2380,40,239,110.67,
2385,38,231,111.74,
2390,39,254,112.31,
2395,44,252,115.10000000000001,
2400,43,267,111.52,
2405,41,245,111.19,
2410,37,236,114.50999999999999,
2415,35,262,117.29,
2420,35,257,114.64,
2425,43,234,111.32000000000001,
2430,41,249,118.08,
2435,42,268,115.81,
2440,46,242,114.39999999999999,
2445,35,244,113.4,
2450,45,241,117.08000000000001,
2455,38,241,114.19,
2460,44,244,111.88,
2465,46,251,113.06,
2470,40,249,112.72,
2475,44,252,119.53999999999999,
2480,37,260,114.69000000000001,
2485,42,259,115.14,
2490,40,260,113.57,
2495,42,250,111.78999999999999,
2500,42,259,114.92,
2505,45,252,112.52000000000001,
2510,45,253,107.21,
2515,42,232,111.92,
2520,43,243,110.89,
2525,39,265,110.71,
2530,42,240,113.64999999999999,
2535,44,240,117.87,
2540,43,236,111.75,
2545,42,237,119.97,
2550,42,241,119.83999999999999,
2555,42,256,117.19999999999999,
2560,43,253,111.61,
2565,49,243,114.75,
2570,42,250,114.34,
2575,37,255,109.5,
2580,37,233,110.03,
2585,46,240,120.99,
2590,46,256,115.92,
2595,46,281,112.32000000000001,
2600,42,252,116.74,
2605,49,268,115.47999999999999,
2610,38,247,116.61,
2615,47,236,115.14,
2620,39,263,115.14,
2625,45,269,113.71,
2630,38,261,111.4,
2635,43,260,117.46000000000001,
2640,49,249,119.91999999999999,
2645,49,256,109.85,
2650,45,270,112.37,
2655,47,253,114.74,
2660,40,269,118.06,
2665,39,264,113.11999999999999,
2670,48,262,110.36999999999999,
2675,42,255,111.33,
2680,37,260,112.97,
2685,37,256,116.52000000000001,
2690,43,247,113.81,
2695,46,271,114.88,
2700,49,242,119.06,
2705,42,244,115.29,
2710,43,247,117.96,
2715,36,259,120.94999999999999,
2720,39,259,111.0,
2725,42,259,112.28999999999999,
2730,41,267,118.53999999999999,
2735,41,259,115.80000000000001,
2740,41,276,116.03999999999999,
2745,37,262,114.42999999999999,
2750,43,241,112.1,
2755,33,264,112.03999999999999,
2760,40,257,113.62,
2765,46,259,112.25999999999999,
2770,46,262,115.56,
2775,38,255,111.75,
2780,43,247,113.31,
2785,35,249,120.36,
2790,32,244,111.64999999999999,
2795,41,246,123.74,
2800,45,269,123.46000000000001,
2805,43,268,115.31,
2810,47,245,114.13,
2815,39,274,115.91,
2820,40,271,117.67999999999999,
2825,41,271,116.7,
2830,40,277,115.05999999999999,
2835,52,255,114.19,
2840,51,261,119.05,
2845,44,282,117.62,
2850,39,266,112.69,
2855,40,276,112.74000000000001,
2860,39,266,123.08,
2865,41,282,115.8,
2870,46,256,115.84,
2875,45,238,116.06,
2880,40,276,111.64999999999999,
2885,50,267,116.33,
2890,37,260,118.62,
2895,39,270,114.05,
2900,40,262,116.58000000000001,
2905,39,256,115.98,
2910,48,261,113.27,
2915,50,272,116.86,
2920,39,259,115.64999999999999,
2925,49,264,110.42,
2930,48,259,118.45,
2935,46,270,112.12,
2940,39,270,114.64,
2945,40,253,116.59,
2950,45,278,116.31,
2955,44,266,114.6,
2960,42,263,121.97,
2965,39,265,115.73,
2970,36,268,114.09,
2975,43,234,111.74,
2980,39,253,114.34,
2985,43,259,116.31,
2990,44,261,118.03,
2995,41,271,113.31,
3000,47,250,111.38,
3005,46,263,112.53999999999999,
3010,41,272,113.00999999999999,
3015,45,258,116.79,
3020,42,257,117.79,
3025,48,265,114.72,
3030,37,262,112.75999999999999,
3035,41,262,113.22999999999999,
3040,49,273,110.83,
3045,43,256,114.13,
3050,46,259,116.85,
3055,47,258,111.82000000000001,
3060,47,266,113.53,
3065,45,267,115.2,
3070,49,270,113.8,
3075,48,274,113.89,
3080,40,264,108.71,
3085,40,268,113.9,
3090,46,258,117.86,
3095,41,275,111.76,
3100,43,261,112.97,
3105,43,242,118.46,
3110,46,262,114.35000000000001,
3115,49,251,111.18,
3120,43,265,113.16999999999999,
3125,40,266,121.32,
3130,42,257,114.85,
3135,39,274,117.65,
3140,40,257,113.42,
3145,43,258,118.51,
3150,45,261,116.64,
3155,45,259,119.81,
3160,42,269,113.21000000000001,
3165,38,263,114.68,
3170,50,271,119.86,
3175,52,268,109.05,
3180,42,273,117.22999999999999,
3185,45,249,116.63000000000001,
3190,36,251,114.99000000000001,
3195,39,260,116.16000000000001,
3200,36,275,115.65,
3205,46,249,108.99,
3210,45,253,117.35000000000001,
3215,47,261,117.05,
3220,38,275,116.74,
3225,45,273,115.62,
3230,38,279,121.38000000000001,
3235,40,270,114.92,
3240,41,267,115.58999999999999,
3245,42,273,121.50999999999999,
3250,46,261,114.65,
3255,40,261,118.44,
3260,41,263,118.36,
3265,41,265,113.25,
3270,46,264,113.94,
3275,41,260,115.01,
3280,47,260,118.55,
3285,44,284,114.66999999999999,
3290,40,266,114.19,
3295,44,259,121.74000000000001,
3300,36,278,115.79,
3305,40,275,112.89,
3310,44,273,119.16000000000001,
3315,45,258,118.55,
3320,41,258,115.00999999999999,
3325,36,279,117.14999999999999,
3330,42,271,115.4,
3335,40,248,111.36,
3340,36,284,115.6,
3345,43,285,115.88000000000001,
3350,39,249,118.46,
3355,39,265,117.33,
3360,36,270,112.06,
3365,45,263,112.17,
3370,37,274,115.08999999999999,
3375,44,286,116.78,
3380,42,268,118.7,
3385,38,263,115.09,
3390,43,271,115.52,
3395,42,272,121.27,
3400,41,259,110.84,
3405,35,260,110.09,
3410,48,267,112.16,
3415,44,259,115.41,
3420,42,276,116.61,
3425,44,270,112.67,
3430,42,271,112.92999999999999,
3435,44,266,113.96,
3440,51,270,117.33,
3445,39,273,121.00999999999999,
3450,38,272,111.07000000000001,
3455,41,266,111.95,
3460,37,259,111.37,
3465,39,273,113.81,
3470,42,261,111.17999999999999,
3475,42,250,118.06,
3480,33,262,114.12,
3485,40,269,115.71,
3490,50,278,115.92,
3495,45,267,113.81,
3500,42,259,114.58000000000001,
3505,39,281,110.6,
3510,41,259,113.72,
3515,40,255,113.08,
3520,52,258,121.71,
3525,38,259,111.14,
3530,38,259,118.74000000000001,
3535,38,272,115.39,
3540,43,258,113.44,
3545,43,255,112.82,
3550,38,275,118.35000000000001,
3555,42,275,112.94000000000001,
3560,40,261,112.76,
3565,40,266,121.71,
3570,44,257,116.09,
3575,35,262,113.35000000000001,
3580,42,273,119.08,
3585,47,265,119.59,
3590,42,268,113.89,
3595,42,264,114.49,
3600,39,260,111.75999999999999,
3605,39,273,117.77,
3610,43,257,114.82000000000001,
3615,40,271,112.52000000000001,
3620,44,271,108.49,
3625,47,263,116.69999999999999,
3630,39,268,112.72999999999999,
3635,40,273,114.91,
3640,35,253,116.14,
3645,44,251,111.33,
3650,41,281,114.42,
3655,41,255,115.86,
3660,44,261,116.32000000000001,
3665,37,263,113.35,
3670,39,273,116.23,
3675,35,285,114.63000000000001,
3680,35,275,116.22,
3685,46,270,118.42,
3690,40,269,114.61,
3695,47,272,109.1,
3700,35,278,115.12,
3705,40,262,112.25999999999999,
3710,40,268,112.47999999999999,
3715,37,256,113.99000000000001,
3720,43,269,114.4,
3725,45,260,113.78999999999999,
3730,45,258,112.14,
3735,40,269,114.61,
3740,42,254,119.82000000000001,
3745,43,253,116.34,
3750,44,270,112.60000000000001,
3755,39,262,109.84,
3760,42,262,113.11,
3765,40,258,111.55,
3770,39,246,111.21,
3775,44,252,113.89,
3780,43,265,112.24,
3785,45,265,116.71,
3790,48,275,113.05999999999999,
3795,38,255,112.96000000000001,
3800,43,274,113.94,
3805,38,269,118.2,
3810,42,248,117.47,
3815,41,262,111.35,
3820,48,273,113.54,
3825,35,280,115.87,
3830,40,273,113.08000000000001,
3835,44,263,113.83,
3840,43,271,115.11999999999999,
3845,39,260,111.84,
3850,40,258,115.97,
3855,44,263,113.86,
3860,44,264,116.47,
3865,50,251,111.8,
3870,43,258,112.32000000000001,
3875,46,260,114.15,
3880,40,275,112.41,
3885,36,256,116.61,
3890,43,261,117.04,
3895,43,271,114.14,
3900,41,254,112.87,
3905,43,260,110.05,
3910,42,259,111.74,
3915,35,257,111.29,
3920,43,265,111.27000000000001,
3925,40,259,112.85,
3930,37,263,116.14,
3935,39,258,109.02000000000001,
3940,46,257,109.6,
3945,39,256,114.91000000000001,
3950,49,254,113.67,
3955,43,263,113.26,
3960,36,274,112.91,
3965,39,272,109.91,
3970,43,263,109.57000000000001,
3975,47,263,109.92,
3980,43,276,112.89,
3985,49,268,115.12,
3990,47,270,113.31,
3995,48,254,111.74,
4000,43,255,112.94,
4005,43,249,113.37,
4010,43,262,109.89999999999999,
4015,34,269,112.36,
4020,37,255,120.24,
4025,39,274,113.44999999999999,
4030,46,267,112.89,
4035,42,278,116.92,
4040,39,266,117.36,
4045,36,260,118.82,
4050,43,263,113.73,
4055,41,260,114.64999999999999,
4060,36,275,110.49000000000001,
4065,40,249,117.97,
4070,40,263,114.03,
4075,41,261,111.9,
4080,43,251,112.42,
4085,39,257,113.92999999999999,
4090,45,268,115.98,
4095,38,261,113.78,
4100,43,258,115.63,
4105,42,256,111.91,
4110,36,272,112.75,
4115,43,262,119.92,
4120,44,258,115.86999999999999,
4125,38,268,113.97999999999999,
4130,34,267,115.08,
4135,42,267,111.35,
4140,42,265,115.61000000000001,
4145,39,276,110.53,
4150,39,246,113.97,
4155,37,253,111.94,
4160,42,266,117.47,
4165,43,273,110.33,
4170,40,264,111.63,
4175,45,243,113.83,
4180,42,277,115.77,
4185,41,254,115.76,
4190,43,266,119.03,
4195,45,258,112.02,
4200,36,261,110.54,
4205,40,267,111.95,
4210,44,270,114.04,
4215,44,251,110.24,
4220,53,251,111.83,
4225,41,251,116.49,
4230,45,262,116.25,
4235,35,264,113.79,
4240,41,276,117.68,
4245,42,263,109.91000000000001,
4250,39,256,112.26,
4255,47,255,114.02,
4260,50,257,114.84,
4265,42,260,111.4,
4270,44,266,114.96,
4275,42,268,114.11999999999999,
4280,40,265,112.11,
4285,44,256,117.46000000000001,
4290,39,240,113.3,
4295,38,252,112.21,
4300,40,254,113.85000000000001,
