episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
405,234,257,118.47000000000001,
410,132,85,116.75999999999999,
415,129,84,123.15,
420,129,88,121.88,
425,130,94,122.34,
430,139,93,131.0,
435,126,87,126.5,
440,135,94,118.81,
445,137,94,123.11000000000001,
450,118,82,122.19000000000001,
455,133,94,125.12,
460,127,90,120.72999999999999,
465,138,95,119.53,
470,135,80,122.5,
475,134,71,129.28,
480,129,76,122.01,
485,134,82,124.69999999999999,
490,127,85,122.2,
495,117,74,121.89,
500,134,78,120.87,
505,131,79,125.15,
510,122,88,128.88,
515,129,77,122.22,
520,131,73,116.85000000000001,
525,106,68,122.2,
530,129,75,120.51,
535,133,79,125.13000000000001,
540,126,71,119.94999999999999,
545,129,79,121.89,
550,114,66,124.89,
555,124,67,124.42,
560,123,68,126.79,
565,132,72,129.87,
570,128,70,125.55,
575,125,82,125.03,
580,117,75,125.6,
585,121,82,120.2,
590,127,81,130.10999999999999,
595,129,77,123.67999999999999,
600,117,68,124.3,
605,118,76,128.3,
610,128,73,123.04,
615,114,71,123.55,
620,119,68,124.41,
625,123,62,126.57000000000001,
630,142,67,119.62,
635,121,69,127.96000000000001,
640,130,73,129.02,
645,130,71,124.51,
650,132,67,127.39,
655,118,69,125.53,
660,117,64,127.94,
665,129,61,125.82000000000001,
670,138,67,133.89,
675,126,70,133.58,
680,127,61,124.74000000000001,
685,123,63,130.36,
690,122,57,133.47,
695,133,59,128.14,
700,147,54,130.07,
705,133,56,128.94,
710,136,60,134.31,
715,137,62,137.22,
720,118,57,131.75,
725,132,48,135.7,
730,127,59,127.75999999999999,
735,121,59,130.84,
740,121,55,133.61,
745,112,45,133.04,
750,124,42,131.60999999999999,
755,137,59,129.33,
760,128,50,134.91,
765,138,59,129.55,
770,121,55,134.42999999999998,
775,134,39,135.71,
780,126,46,129.45,
785,126,53,136.25,
790,127,53,131.42,
795,128,51,134.25,
800,126,49,127.58000000000001,
805,129,47,132.04999999999998,
810,135,51,135.38,
815,126,43,138.49,
820,123,48,133.67000000000002,
825,138,46,132.49,
830,135,47,137.69000000000003,
835,138,54,133.19,
840,120,43,139.42,
845,122,42,136.86999999999998,
850,134,49,132.84,
855,133,38,130.9,
860,133,38,143.54,
865,121,50,140.05,
870,131,41,141.48000000000002,
875,122,38,130.95,
880,118,41,141.01,
885,127,36,141.97,
890,131,31,136.23,
895,117,36,138.42000000000002,
900,133,40,133.10999999999999,
905,131,33,140.98000000000002,
910,130,41,137.48999999999998,
915,133,36,138.3,
920,133,39,144.99,
925,126,34,140.13,
930,141,31,142.65,
935,118,36,144.39,
940,131,31,134.13,
945,127,31,138.47,
950,119,30,135.28,
955,132,36,138.53,
960,119,34,144.16000000000003,
965,114,30,145.05,
970,130,23,140.32000000000002,
975,126,33,145.27,
980,130,33,140.89000000000001,
985,127,29,144.21,
990,132,30,146.24,
995,129,24,136.39000000000001,
1000,129,28,148.64,
1005,135,29,138.26,
1010,124,29,148.58,
1015,132,30,145.75,
1020,124,33,143.42000000000002,
1025,125,34,142.49,
1030,121,23,146.45000000000002,
1035,125,24,146.56,
1040,119,32,150.97,
1045,139,31,151.03,
1050,131,27,144.08,
1055,138,23,146.79999999999998,
1060,126,24,142.69000000000003,
1065,133,26,144.02,
1070,135,27,145.2,
1075,132,27,148.60000000000002,
1080,119,21,144.07000000000002,
1085,125,16,144.13,
1090,121,23,148.4,
1095,120,24,143.4,
1100,121,21,145.44,
1105,122,25,148.05,
1110,139,24,139.45,
1115,136,19,131.36,
1120,141,25,151.68,
1125,129,22,146.24,
1130,121,22,143.57,
1135,128,19,146.71,
1140,122,19,147.75,
1145,128,17,150.37,
1150,122,14,142.69,
1155,127,17,150.14,
1160,145,17,153.68,
1165,112,24,153.22,
1170,121,14,146.14,
1175,117,17,149.03,
1180,122,21,147.39,
1185,133,16,155.28,
1190,138,15,151.20000000000002,
1195,124,16,148.07,
1200,129,16,155.87,
1205,113,9,153.9,
1210,140,11,144.34,
1215,132,13,148.12,
1220,128,11,150.14,
1225,142,9,148.37,
1230,128,13,153.36,
1235,121,11,151.41000000000003,
1240,131,7,151.47,
1245,132,8,143.6,
1250,133,9,155.16,
1255,130,7,154.14,
1260,138,5,155.32999999999998,
1265,120,9,151.78,
1270,118,11,150.14,
1275,124,10,149.5,
1280,125,8,144.4,
1285,124,9,151.26,
1290,132,7,158.36,
1295,125,7,138.84,
1300,129,9,155.03,
1305,129,6,153.62,
1310,128,7,153.22,
1315,131,4,146.9,
1320,120,6,154.24,
1325,132,7,151.35000000000002,
1330,127,7,153.06,
1335,135,3,146.73000000000002,
1340,127,1,162.66000000000003,
1345,118,3,155.62,
1350,124,2,152.63,
1355,130,3,148.22,
1360,135,4,155.17999999999998,
1365,126,5,148.8,
1370,132,4,161.72,
1375,127,3,150.38,
1380,119,1,151.23000000000002,
1385,123,1,157.69,
1390,133,0,156.14,
1395,120,0,150.57,
1400,120,0,150.14,
