episode,shifted_humans,shifted_avs,machine_ratio
210,None,None,0.19959266802443992
220,56,None,0.20162932790224034
230,115,None,0.20366598778004075
240,15 426,None,0.20773930753564154
250,114 220,None,0.21181262729124237
260,42 196,None,0.2158859470468432
270,298,None,0.21792260692464357
280,162,None,0.219959266802444
290,179 299 462,None,0.22606924643584522
300,161 328,None,0.23014256619144602
310,1 113,None,0.23421588594704684
320,None,None,0.23421588594704684
330,389 395 446,None,0.24032586558044808
340,47 487,None,0.24439918533604887
350,136 345,None,0.2484725050916497
360,428,None,0.2505091649694501
370,484,None,0.2525458248472505
380,78 134 292 327,None,0.2606924643584521
390,None,None,0.2606924643584521
400,451 463,None,0.26476578411405294
410,93,None,0.2668024439918534
420,71,None,0.26883910386965376
430,11 470,None,0.2729124236252546
440,439,None,0.27494908350305497
450,247 254 447,None,0.28105906313645623
460,149 413,None,0.285132382892057
470,13 177 305 385,None,0.29327902240325865
480,0 14 106 344 409,None,0.3034623217922607
490,178 242 486,None,0.3095723014256619
500,387,None,0.31160896130346233
510,411 469,None,0.31568228105906315
520,293 354 362 397,None,0.32382892057026474
530,402 474,None,0.32790224032586557
540,195,None,0.329938900203666
550,423,None,0.3319755600814664
560,30 166 274 416,None,0.34012219959266804
570,199,None,0.3421588594704684
580,342 396,None,0.34623217922606925
590,332,None,0.34826883910386963
600,None,None,0.34826883910386963
610,232 280,None,0.35234215885947046
620,70 205 291 471,None,0.3604887983706721
630,398,None,0.3625254582484725
640,156 393,None,0.3665987780040733
650,67 168 212,None,0.3727087576374745
660,338 412 481,None,0.3788187372708758
670,37 103 123 458,None,0.3869653767820774
680,489,None,0.3890020366598778
690,255,None,0.3910386965376782
700,None,None,0.3910386965376782
710,185 278,None,0.395112016293279
720,None,None,0.395112016293279
730,225 230 279,None,0.40122199592668023
740,240 320,None,0.40529531568228105
750,173 276 383,None,0.41140529531568226
760,None,None,0.41140529531568226
770,None,None,0.41140529531568226
780,None,None,0.41140529531568226
790,183 442,None,0.4154786150712831
800,79 251,None,0.4195519348268839
810,None,None,0.4195519348268839
820,105 116 459,None,0.4256619144602851
830,159,None,0.42769857433808556
840,None,None,0.42769857433808556
850,28,None,0.42973523421588594
860,228 438,None,0.43380855397148677
870,4 108 257,None,0.439918533604888
880,None,None,0.439918533604888
890,None,None,0.439918533604888
900,219,None,0.4419551934826884
910,148,None,0.4439918533604888
920,None,None,0.4439918533604888
930,97,None,0.4460285132382892
940,233,None,0.4480651731160896
950,63 243,None,0.45213849287169044
960,281,None,0.45417515274949083
970,265 339 353 417,None,0.4623217922606925
980,201 252 480,None,0.4684317718940937
990,38 69,None,0.4725050916496945
1000,19 258 351,None,0.4786150712830957
1010,355,None,0.48065173116089616
1020,None,None,0.48065173116089616
1030,313,None,0.48268839103869654
1040,29,None,0.4847250509164969
1050,100 214 436,None,0.4908350305498982
1060,375 377,None,0.49490835030549896
1070,348 443,None,0.4989816700610998
1080,None,None,0.4989816700610998
1090,None,None,0.4989816700610998
1100,309,None,0.5010183299389002
1110,128,None,0.5030549898167006
1120,16,None,0.505091649694501
1130,186,None,0.5071283095723014
1140,None,None,0.5071283095723014
1150,None,None,0.5071283095723014
1160,64 370,None,0.5112016293279023
1170,94 139 270,None,0.5173116089613035
1180,204 294,None,0.5213849287169042
1190,36,None,0.5234215885947047
