episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
405,119,103,26.03,
410,87,37,26.13,
415,85,36,26.419999999999998,
420,85,37,26.0,
425,90,44,26.040000000000003,
430,82,39,26.01,
435,81,35,25.720000000000002,
440,85,41,26.3,
445,78,40,26.05,
450,77,38,26.41,
455,80,43,26.72,
460,82,37,26.49,
465,81,40,25.99,
470,73,39,26.040000000000003,
475,76,34,25.94,
480,84,43,25.849999999999998,
485,85,38,25.66,
490,74,41,25.99,
495,80,41,25.79,
500,82,37,26.150000000000002,
505,78,39,25.55,
510,73,40,26.14,
515,80,36,25.77,
520,74,30,26.279999999999998,
525,77,38,26.18,
530,75,40,26.34,
535,82,41,26.38,
540,83,34,26.58,
545,86,39,25.919999999999998,
550,86,35,26.39,
555,77,36,25.400000000000002,
560,72,33,26.21,
565,78,37,25.88,
570,78,31,25.979999999999997,
575,84,30,25.98,
580,78,35,25.73,
585,85,26,25.54,
590,70,30,26.3,
595,87,31,25.8,
600,81,31,25.96,
605,82,37,25.720000000000002,
610,78,35,25.98,
615,81,36,25.849999999999998,
620,76,36,25.53,
625,79,31,25.82,
630,71,31,26.080000000000002,
635,77,33,25.67,
640,76,33,26.310000000000002,
645,72,29,26.05,
650,78,33,25.24,
655,78,25,26.21,
660,81,34,26.01,
665,88,35,26.52,
670,83,31,25.45,
675,68,26,25.89,
680,85,23,25.919999999999998,
685,75,25,25.900000000000002,
690,80,35,25.43,
695,77,28,25.52,
700,88,26,25.53,
705,83,29,25.84,
710,80,30,25.52,
715,69,27,25.25,
720,70,23,25.87,
725,79,30,25.88,
730,84,25,25.79,
735,81,28,25.87,
740,81,25,26.26,
745,80,28,26.430000000000003,
750,86,27,26.69,
755,69,18,25.66,
760,75,19,25.919999999999998,
765,76,24,26.59,
770,77,20,26.48,
775,88,22,26.24,
780,77,24,26.39,
785,76,21,25.5,
790,84,24,26.02,
795,76,27,25.52,
800,72,23,25.42,
805,74,25,25.71,
810,74,26,25.849999999999998,
815,76,28,25.09,
820,78,20,26.45,
825,80,25,25.5,
830,79,22,26.080000000000002,
835,85,23,25.66,
840,70,22,25.21,
845,75,30,25.84,
850,77,25,25.13,
855,78,23,25.880000000000003,
860,79,18,26.520000000000003,
865,84,20,25.72,
870,71,20,25.91,
875,75,22,25.15,
880,75,25,25.490000000000002,
885,77,24,25.240000000000002,
890,77,23,25.52,
895,74,23,26.34,
900,80,26,25.27,
905,77,21,26.12,
910,75,24,25.61,
915,81,26,25.32,
920,83,21,26.880000000000003,
925,79,25,26.1,
930,72,24,25.720000000000002,
935,85,24,25.25,
940,76,25,25.9,
945,78,27,25.1,
950,73,24,26.060000000000002,
955,76,21,25.939999999999998,
960,81,23,25.43,
965,80,23,25.880000000000003,
970,70,22,26.07,
975,83,19,25.97,
980,85,20,25.24,
985,72,12,26.07,
990,82,19,25.57,
995,87,18,25.96,
1000,82,12,25.66,
1005,77,16,25.830000000000002,
1010,77,15,26.21,
1015,75,18,25.630000000000003,
1020,85,16,26.02,
1025,76,19,26.61,
1030,78,17,26.33,
1035,75,11,25.85,
1040,81,17,25.69,
1045,86,13,25.94,
1050,80,15,25.779999999999998,
1055,75,17,25.310000000000002,
1060,72,14,25.919999999999998,
1065,78,15,25.86,
1070,79,17,25.63,
1075,72,18,26.3,
1080,72,12,25.65,
1085,85,16,25.78,
1090,83,17,25.77,
1095,82,20,26.14,
1100,86,16,25.58,
1105,84,14,25.85,
1110,73,13,26.29,
1115,83,14,25.86,
1120,77,11,25.77,
1125,86,13,25.88,
1130,78,7,25.59,
1135,82,4,25.5,
1140,71,13,25.61,
1145,76,10,25.580000000000002,
1150,80,13,26.27,
1155,79,11,25.19,
1160,75,13,26.290000000000003,
1165,82,14,25.810000000000002,
1170,75,11,25.83,
1175,88,11,25.52,
1180,80,10,25.52,
1185,83,12,25.880000000000003,
1190,88,8,26.05,
1195,85,9,25.41,
1200,86,11,26.060000000000002,
1205,83,11,25.75,
1210,72,11,25.380000000000003,
1215,70,11,25.44,
1220,77,11,25.78,
1225,84,5,25.97,
1230,75,8,25.53,
1235,80,9,25.41,
1240,72,7,25.3,
1245,72,7,25.720000000000002,
1250,73,9,25.99,
1255,76,5,26.07,
1260,82,10,25.89,
1265,82,9,26.13,
1270,81,8,25.630000000000003,
1275,83,8,25.369999999999997,
1280,79,6,25.970000000000002,
1285,71,10,25.59,
1290,83,9,25.63,
1295,79,8,25.45,
1300,75,4,25.799999999999997,
1305,71,4,25.31,
1310,74,6,25.779999999999998,
1315,85,7,26.66,
1320,80,4,25.43,
1325,67,3,26.27,
1330,85,2,25.84,
1335,83,3,26.22,
1340,84,2,25.82,
1345,80,3,26.189999999999998,
1350,72,2,25.46,
1355,73,3,24.900000000000002,
1360,79,1,25.07,
1365,74,2,25.62,
1370,78,2,24.75,
1375,79,1,25.94,
1380,80,1,25.02,
1385,85,1,26.16,
1390,68,0,25.18,
1395,77,0,25.55,
1400,77,0,25.87,
