episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
405,119,103,26.16,
410,91,37,26.63,
415,88,35,26.34,
420,85,37,26.259999999999998,
425,85,41,26.07,
430,82,41,26.04,
435,81,36,25.76,
440,82,41,26.220000000000002,
445,78,38,26.060000000000002,
450,79,41,26.279999999999998,
455,79,41,26.95,
460,82,35,26.58,
465,79,44,26.32,
470,76,42,25.86,
475,78,36,26.470000000000002,
480,89,40,25.69,
485,87,33,25.12,
490,74,39,25.990000000000002,
495,82,37,25.57,
500,82,37,26.03,
505,76,40,25.740000000000002,
510,77,42,25.77,
515,83,37,26.07,
520,77,29,26.64,
525,77,41,26.03,
530,74,43,26.22,
535,89,42,26.81,
540,88,32,26.43,
545,87,39,26.049999999999997,
550,84,36,26.36,
555,81,39,25.69,
560,76,32,26.49,
565,72,36,26.14,
570,77,34,25.919999999999998,
575,80,31,25.63,
580,82,36,25.64,
585,88,29,25.92,
590,72,33,26.34,
595,82,31,26.22,
600,82,31,26.45,
605,83,35,26.05,
610,78,39,26.32,
615,83,33,25.43,
620,79,34,25.72,
625,83,30,26.05,
630,76,35,26.07,
635,76,37,25.75,
640,81,32,26.17,
645,75,28,38.0,
650,79,31,25.24,
655,76,25,26.240000000000002,
660,81,35,26.22,
665,94,34,26.48,
670,78,33,25.81,
675,73,30,25.91,
680,86,25,26.26,
685,78,28,25.8,
690,81,32,25.36,
695,81,28,25.470000000000002,
700,87,30,25.8,
705,84,29,25.95,
710,85,30,25.36,
715,76,29,25.44,
720,73,24,25.84,
725,77,30,25.790000000000003,
730,80,26,25.5,
735,82,29,25.99,
740,86,27,39.269999999999996,
745,79,28,26.35,
750,83,29,25.990000000000002,
755,70,20,25.6,
760,79,23,25.9,
765,75,25,26.2,
770,74,19,26.07,
775,89,24,26.7,
780,77,22,26.33,
785,72,20,25.77,
790,84,24,37.82,
795,75,27,26.12,
800,75,21,25.66,
805,73,25,25.740000000000002,
810,76,28,25.88,
815,78,28,25.0,
820,80,22,26.43,
825,85,23,25.55,
830,81,21,26.14,
835,86,27,25.79,
840,75,24,25.33,
845,74,27,25.66,
850,79,27,25.23,
855,79,24,25.95,
860,82,19,26.17,
865,89,17,25.57,
870,70,19,25.97,
875,79,23,25.07,
880,80,28,25.790000000000003,
885,78,25,25.2,
890,74,25,26.02,
895,81,22,26.5,
900,83,26,25.2,
905,82,21,26.04,
910,77,21,25.85,
915,82,24,25.42,
920,84,23,26.62,
925,79,29,25.75,
930,76,25,26.0,
935,84,22,25.25,
940,84,27,26.1,
945,82,25,24.939999999999998,
950,70,24,26.03,
955,81,22,25.93,
960,86,22,25.41,
965,87,21,26.1,
970,82,18,25.93,
975,84,20,25.81,
980,81,16,25.26,
985,74,18,26.09,
990,85,23,25.91,
995,87,20,25.87,
1000,80,16,25.71,
1005,82,16,25.779999999999998,
1010,79,17,26.240000000000002,
1015,73,18,25.84,
1020,82,16,25.77,
1025,81,18,26.92,
1030,83,18,26.3,
1035,79,14,25.770000000000003,
1040,81,15,25.639999999999997,
1045,80,15,26.04,
1050,74,17,25.79,
1055,77,16,25.46,
1060,71,15,25.79,
1065,82,13,25.99,
1070,81,17,25.61,
1075,75,18,25.98,
1080,75,13,25.71,
1085,91,16,25.84,
1090,85,18,25.91,
1095,81,20,26.32,
1100,82,16,26.009999999999998,
1105,86,14,25.71,
1110,79,13,26.22,
1115,82,13,25.91,
1120,73,12,25.75,
1125,91,12,25.900000000000002,
1130,81,9,25.7,
1135,91,7,25.67,
1140,74,14,25.82,
1145,78,11,25.92,
1150,86,14,26.35,
1155,81,11,25.51,
1160,75,12,26.23,
1165,80,12,26.03,
1170,78,12,26.26,
1175,85,11,25.599999999999998,
1180,83,11,25.34,
1185,87,13,26.02,
1190,91,10,26.54,
1195,85,9,25.349999999999998,
1200,82,13,25.97,
1205,78,10,25.88,
1210,77,10,25.63,
1215,76,12,25.34,
1220,82,9,25.96,
1225,79,5,25.900000000000002,
1230,75,9,25.59,
1235,77,8,25.4,
1240,76,6,25.38,
1245,75,9,26.14,
1250,77,8,25.630000000000003,
1255,78,4,25.71,
1260,81,10,25.67,
1265,80,9,25.82,
1270,74,5,25.59,
1275,82,6,25.42,
1280,78,6,26.37,
1285,71,10,25.610000000000003,
1290,82,9,25.93,
1295,76,8,25.2,
1300,82,8,25.77,
1305,80,7,25.110000000000003,
1310,79,6,25.96,
1315,87,6,26.31,
1320,77,3,25.360000000000003,
1325,74,4,26.22,
1330,85,2,25.82,
1335,81,3,25.91,
1340,75,3,25.63,
1345,82,3,26.21,
1350,74,2,25.25,
1355,77,3,25.08,
1360,81,2,25.2,
1365,74,2,25.67,
1370,80,1,24.44,
1375,77,1,25.77,
1380,80,1,24.94,
1385,87,1,25.94,
1390,72,0,25.21,
1395,77,1,25.74,
1400,77,0,26.24,
