episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,237,254,121.12,
210,131,117,117.48,
215,134,113,115.89,
220,135,134,118.24,
225,137,122,117.1,
230,127,114,113.88000000000001,
235,130,133,119.22,
240,132,116,121.52000000000001,
245,141,113,108.72,
250,133,119,114.05,
255,120,119,113.2,
260,141,114,114.65,
265,138,114,116.44,
270,140,112,113.18,
275,135,113,113.59,
280,140,113,112.54,
285,142,116,114.97,
290,157,108,110.84,
295,148,112,114.89,
300,151,122,108.85000000000001,
305,145,102,111.71000000000001,
310,140,102,115.10000000000001,
315,137,112,118.5,
320,144,111,110.46,
325,140,117,114.52000000000001,
330,151,113,109.07,
335,138,98,117.19999999999999,
340,144,104,111.96000000000001,
345,143,110,115.17,
350,137,106,117.71,
355,135,107,113.56,
360,138,102,118.68,
365,129,115,111.05,
370,144,106,113.61999999999999,
375,140,111,117.94,
380,142,114,116.53,
385,144,98,111.06,
390,138,95,110.31,
395,122,99,112.97,
400,130,113,116.72,
405,144,118,109.46000000000001,
410,133,112,114.13,
415,140,108,111.41,
420,124,113,115.97,
425,136,114,110.09,
430,129,112,113.64999999999999,
435,132,104,109.36,
440,132,110,113.74000000000001,
445,135,104,112.36,
450,147,110,117.48,
455,142,112,110.8,
460,142,111,109.78999999999999,
465,143,105,118.46000000000001,
470,137,107,118.09,
475,136,109,112.32000000000001,
480,113,97,116.94,
485,142,105,113.3,
490,145,96,112.11,
495,144,110,116.48,
500,139,106,108.64,
505,138,98,112.62,
510,138,105,116.44,
515,140,110,112.75,
520,139,114,114.74,
525,128,122,111.71000000000001,
530,128,116,120.69,
535,145,99,115.45,
540,146,119,115.07,
545,148,107,118.99,
550,141,101,117.96,
555,143,115,112.87,
560,133,114,112.15,
565,131,115,118.11999999999999,
570,116,105,115.41,
575,132,99,111.77000000000001,
580,140,112,113.27999999999999,
585,146,106,111.84,
590,132,109,115.12,
595,145,102,112.22999999999999,
600,137,100,111.05,
605,154,109,120.12,
610,130,98,112.63,
615,146,108,112.21,
620,136,107,113.65,
625,134,108,112.07000000000001,
630,130,100,114.78999999999999,
635,127,114,114.68,
640,141,92,114.76,
645,133,113,113.83,
650,144,106,112.67,
655,124,94,118.12,
660,131,92,113.89,
665,130,95,111.53,
670,140,89,108.74,
675,128,103,113.42,
680,134,104,114.96,
685,144,106,110.24,
690,141,117,114.61999999999999,
695,136,115,115.42999999999999,
700,130,101,113.62,
705,134,90,116.59,
710,144,105,112.42999999999999,
715,141,111,113.81,
720,132,103,111.41999999999999,
725,136,114,113.91,
730,135,109,111.35,
735,134,92,116.39999999999999,
740,147,117,114.38999999999999,
745,135,110,118.36,
750,154,107,115.44999999999999,
755,158,100,114.26,
760,134,104,115.06,
765,146,98,114.63,
770,129,111,114.57000000000001,
775,135,107,118.10000000000001,
780,136,97,114.28,
785,131,99,113.08,
790,132,100,113.34,
795,141,100,113.54,
800,144,93,113.83,
805,135,94,120.47999999999999,
810,134,120,113.92,
815,129,114,112.86,
820,127,111,113.44,
825,130,100,110.28999999999999,
830,130,104,112.08,
835,149,93,117.94,
840,144,108,114.96000000000001,
845,143,105,115.31,
850,139,110,112.84,
855,128,112,113.34,
860,127,105,111.08,
865,132,106,114.61,
870,147,96,111.1,
875,141,99,115.71,
880,139,108,110.07,
885,132,98,115.94,
890,139,93,113.03,
895,138,109,113.91,
900,138,104,111.99,
905,142,102,112.89,
910,139,111,114.83,
915,125,107,114.14,
920,139,101,118.62,
925,140,94,119.9,
930,150,110,113.39,
935,150,105,119.77,
940,146,105,117.84,
945,147,112,111.54,
950,129,106,111.56,
955,129,114,113.39999999999999,
960,133,96,116.72,
965,143,105,119.75,
970,139,109,118.1,
975,142,101,117.63999999999999,
980,134,105,115.16999999999999,
985,138,103,113.02000000000001,
990,134,109,112.84,
995,132,107,116.12,
1000,147,95,115.47,
1005,133,115,114.0,
1010,128,95,124.8,
1015,151,104,112.72999999999999,
1020,137,105,111.92999999999999,
1025,121,107,114.61,
1030,127,89,114.33,
1035,126,114,112.07,
1040,140,107,113.29,
1045,135,94,118.82,
1050,135,101,112.57,
1055,119,103,114.62,
1060,123,99,109.81,
1065,133,95,117.46,
1070,131,111,112.1,
1075,138,111,113.0,
1080,128,106,114.61,
1085,129,99,114.32,
1090,136,92,114.75,
1095,117,99,120.37,
1100,135,106,110.75,
1105,137,112,113.59,
1110,123,97,112.3,
1115,140,97,112.45,
1120,141,100,110.30999999999999,
1125,138,97,112.73,
1130,154,107,115.85,
1135,139,98,112.69,
1140,139,98,114.64999999999999,
1145,139,93,118.49000000000001,
1150,143,112,118.67,
1155,144,105,112.51,
1160,127,108,117.19,
1165,144,110,108.76,
1170,148,94,112.14,
