episode,shifted_humans,shifted_avs,machine_ratio
1010,81 120 277,None,0.20570264765784113
1020,None,None,0.20570264765784113
1030,342,None,0.20773930753564154
1040,39 190 399,None,0.21384928716904278
1050,212 356,None,0.21792260692464357
1060,332,None,0.219959266802444
1070,30 198,None,0.2240325865580448
1080,137,None,0.22606924643584522
1090,123 165 483,None,0.23217922606924643
1100,155 267,None,0.23625254582484725
1110,38 157,None,0.24032586558044808
1120,None,None,0.24032586558044808
1130,159 364,None,0.24439918533604887
1140,130,None,0.24643584521384929
1150,293 307 482,None,0.2525458248472505
1160,79 337 357,None,0.25865580448065173
1170,None,None,0.25865580448065173
1180,281 413,None,0.26272912423625255
1190,1 445,None,0.2668024439918534
1200,None,None,0.2668024439918534
1210,None,None,0.2668024439918534
1220,13 463,None,0.2708757637474542
1230,41 78 335 451,None,0.2790224032586558
1240,None,None,0.2790224032586558
1250,None,None,0.2790224032586558
1260,149 227,None,0.2830957230142566
1270,27,None,0.285132382892057
1280,325 421,None,0.2892057026476578
1290,129 181 435 448,None,0.2973523421588595
1300,4 232 466,None,0.3034623217922607
1310,289,None,0.3054989816700611
1320,None,None,0.3054989816700611
1330,170 192,None,0.3095723014256619
1340,275,None,0.31160896130346233
1350,36 294 373,None,0.31771894093686354
1360,63 108 348 425,None,0.3258655804480652
1370,42 93,None,0.329938900203666
1380,330 419,None,0.3340122199592668
1390,91,None,0.3360488798370672
1400,85 122 235 488,None,0.34419551934826886
1410,88 326,None,0.34826883910386963
1420,117 365 416,None,0.3543788187372709
1430,272 338 464,None,0.3604887983706721
1440,None,None,0.3604887983706721
1450,89 94 468,None,0.3665987780040733
1460,177 187,None,0.37067209775967414
1470,None,None,0.37067209775967414
1480,76,None,0.3727087576374745
1490,403,None,0.37474541751527496
1500,386,None,0.37678207739307534
1510,204 374 490,None,0.38289205702647655
1520,None,None,0.38289205702647655
1530,209,None,0.384928716904277
1540,270 340,None,0.3890020366598778
1550,53 58 116 285,None,0.3971486761710794
1560,None,None,0.3971486761710794
1570,82 486,None,0.40122199592668023
1580,64 195 418 459,None,0.4093686354378819
1590,304,None,0.41140529531568226
1600,11 148,None,0.4154786150712831
1610,73,None,0.4175152749490835
1620,290,None,0.4195519348268839
1630,None,None,0.4195519348268839
1640,143,None,0.4215885947046843
1650,331 379,None,0.4256619144602851
1660,258,None,0.42769857433808556
1670,162 241,None,0.4317718940936864
1680,291,None,0.43380855397148677
1690,None,None,0.43380855397148677
1700,243 428,None,0.4378818737270876
1710,None,None,0.4378818737270876
1720,None,None,0.4378818737270876
1730,None,None,0.4378818737270876
1740,None,None,0.4378818737270876
1750,324 350 367,None,0.4439918533604888
1760,412,None,0.4460285132382892
1770,231 392,None,0.45010183299389
1780,415,None,0.45213849287169044
1790,103 406,None,0.45621181262729127
1800,None,None,0.45621181262729127
1810,471,None,0.45824847250509165
1820,52 240,None,0.4623217922606925
1830,67,None,0.46435845213849286
1840,343 485,None,0.4684317718940937
1850,424,None,0.47046843177189407
1860,28 178 339,None,0.47657841140529533
1870,393,None,0.4786150712830957
1880,34 77 245,None,0.4847250509164969
1890,361 410,None,0.48879837067209775
1900,2,None,0.4908350305498982
1910,302 397 480,None,0.4969450101832994
1920,347,None,0.4989816700610998
1930,183 230,None,0.5030549898167006
1940,None,None,0.5030549898167006
1950,12 219 250,None,0.5091649694501018
1960,35,None,0.5112016293279023
1970,None,None,0.5112016293279023
1980,61,None,0.5132382892057027
1990,70 327,None,0.5173116089613035
