episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
1205,232,259,111.55999999999999,
1210,139,115,112.46,
1215,121,133,112.39,
1220,122,114,113.67,
1225,132,105,112.56,
1230,133,119,120.4,
1235,123,117,115.71,
1240,128,127,115.3,
1245,132,124,111.2,
1250,141,118,116.07000000000001,
1255,130,129,112.91,
1260,129,126,109.94,
1265,124,122,113.79,
1270,129,113,110.47,
1275,141,123,120.69,
1280,129,112,115.58,
1285,130,115,117.5,
1290,136,131,122.38,
1295,140,123,116.82,
1300,137,108,115.60000000000001,
1305,129,121,114.42,
1310,130,108,111.47,
1315,142,111,116.17,
1320,126,116,114.59,
1325,138,126,121.42999999999999,
1330,132,110,114.53999999999999,
1335,134,108,114.97999999999999,
1340,120,111,112.69,
1345,134,115,117.95,
1350,130,115,119.41000000000001,
1355,139,119,121.12,
1360,130,107,120.41,
1365,130,109,117.19,
1370,124,108,117.04,
1375,127,108,114.31,
1380,137,117,112.77000000000001,
1385,128,104,116.14,
1390,133,121,121.22,
1395,135,99,111.93,
1400,134,104,116.47,
1405,126,108,117.41,
1410,125,101,119.41000000000001,
1415,129,98,122.77,
1420,125,114,116.1,
1425,123,113,114.0,
1430,126,98,115.77,
1435,124,106,113.67999999999999,
1440,128,100,114.9,
1445,128,103,116.51,
1450,129,116,113.08,
1455,130,100,117.98,
1460,127,100,118.89,
1465,131,104,116.51,
1470,137,108,118.78,
1475,134,113,114.97,
1480,132,119,122.57,
1485,121,115,119.12,
1490,131,108,118.56,
1495,132,110,115.68,
1500,111,113,118.47,
1505,126,98,118.49000000000001,
1510,124,112,120.91,
1515,128,103,111.29,
1520,127,88,115.66,
1525,127,101,113.07,
1530,140,100,114.13,
1535,130,100,118.67999999999999,
1540,129,108,119.46000000000001,
1545,118,100,113.21000000000001,
1550,133,107,115.64,
1555,134,86,115.78,
1560,120,89,120.68,
1565,126,108,117.59,
1570,136,98,112.33,
1575,137,95,110.08,
1580,129,106,120.95,
1585,125,94,121.31,
1590,134,104,117.05,
1595,139,105,120.22999999999999,
1600,137,98,122.80999999999999,
1605,126,86,114.66000000000001,
1610,126,108,116.87,
1615,125,92,123.83000000000001,
1620,117,96,121.83,
1625,119,102,119.63,
1630,127,98,115.75,
1635,123,93,112.05,
1640,127,97,115.4,
1645,126,107,110.03,
1650,123,93,113.84,
1655,129,96,117.38999999999999,
1660,132,105,114.7,
1665,125,97,114.24000000000001,
1670,138,100,117.73,
1675,139,113,110.99,
1680,133,99,115.03,
1685,134,93,115.83,
1690,137,110,114.77,
1695,127,87,114.42999999999999,
1700,129,87,117.93,
1705,123,87,120.74,
1710,126,107,111.30000000000001,
1715,132,89,117.01,
1720,137,85,110.38,
1725,119,91,114.17,
1730,129,93,112.2,
1735,144,81,118.02000000000001,
1740,140,103,115.46,
1745,132,95,122.24,
1750,126,90,114.19000000000001,
1755,142,102,114.89999999999999,
1760,129,89,115.81,
1765,127,88,114.34,
1770,125,96,114.21,
1775,126,95,112.84,
1780,126,90,116.66,
1785,126,93,108.89,
1790,140,88,113.28,
1795,119,93,117.39,
1800,121,89,119.74,
1805,129,99,112.79,
1810,137,88,119.96,
1815,130,89,119.2,
1820,139,100,117.13,
1825,146,90,114.83,
1830,132,85,119.22,
1835,140,98,117.50999999999999,
1840,125,85,114.85,
1845,131,70,120.38999999999999,
1850,123,91,117.17,
1855,121,72,112.73,
1860,126,96,118.56,
1865,125,77,120.52000000000001,
1870,136,96,115.37,
1875,140,84,116.23,
1880,131,88,121.77,
1885,135,88,114.46000000000001,
1890,144,79,114.28999999999999,
1895,114,90,116.68,
1900,145,91,116.61999999999999,
1905,137,87,120.34,
1910,125,88,115.16,
1915,131,96,118.96,
1920,129,85,113.14,
1925,139,95,120.47,
1930,139,104,117.26,
1935,127,84,121.77000000000001,
1940,134,86,110.82,
1945,120,86,118.17,
1950,131,82,115.42,
1955,123,81,111.4,
1960,124,69,113.45,
1965,136,85,115.52,
1970,136,74,114.39,
1975,119,85,118.36,
1980,120,79,114.05,
1985,129,86,110.26,
1990,122,88,112.14,
1995,126,93,117.2,
2000,133,81,114.94000000000001,
2005,129,93,112.19,
2010,128,86,118.3,
2015,133,81,115.95,
2020,131,75,118.47,
2025,122,73,114.28999999999999,
2030,124,98,117.16999999999999,
2035,117,82,114.03,
2040,127,81,120.49,
2045,134,80,111.96000000000001,
2050,135,77,118.86,
2055,122,85,118.14,
2060,135,93,118.58,
2065,109,70,116.63000000000001,
2070,130,67,115.1,
2075,144,80,113.66000000000001,
2080,124,64,118.27,
2085,126,79,118.42,
2090,122,75,115.71,
2095,139,70,117.58,
2100,116,63,119.31,
2105,140,74,117.71000000000001,
2110,143,89,115.07,
2115,122,75,114.72,
2120,125,80,115.91000000000001,
2125,132,85,117.21000000000001,
2130,119,67,119.01,
2135,130,71,117.8,
2140,126,80,121.82000000000001,
2145,131,58,111.92,
2150,123,74,119.41,
2155,126,76,117.32000000000001,
2160,132,68,118.22,
2165,127,66,114.29,
2170,130,82,115.4,
2175,138,69,115.78999999999999,
2180,114,63,120.89,
2185,134,73,117.43,
2190,134,71,121.44,
2195,132,71,115.61,
2200,127,70,117.07,
