episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,240,251,121.78,
210,146,149,116.77000000000001,
215,143,162,117.33,
220,143,157,121.96000000000001,
225,145,173,119.86,
230,132,175,118.72,
235,132,173,115.16,
240,142,157,125.17,
245,139,153,118.78,
250,133,156,118.88000000000001,
255,135,166,118.35,
260,122,158,119.56,
265,133,169,113.85,
270,131,160,114.53999999999999,
275,137,160,119.06,
280,141,164,112.30000000000001,
285,139,159,120.06,
290,140,158,116.75,
295,123,159,119.19999999999999,
300,126,172,120.94,
305,134,163,118.3,
310,129,157,116.05,
315,121,152,113.19000000000001,
320,126,149,112.24,
325,136,159,117.58,
330,127,158,112.63,
335,142,159,117.69999999999999,
340,133,159,113.19,
345,132,164,110.83,
350,118,164,113.71,
355,145,150,119.86,
360,138,160,119.56,
365,131,159,117.72,
370,139,153,114.94,
375,130,149,121.62,
380,142,153,120.09,
385,134,153,116.25,
390,133,164,113.37,
395,135,163,119.07,
400,140,168,114.0,
405,114,162,110.21,
410,124,158,116.28,
415,128,165,114.30000000000001,
420,132,155,118.23,
425,130,155,121.96,
430,144,162,124.53,
435,138,150,121.96000000000001,
440,137,151,115.8,
445,131,161,117.01,
450,136,162,114.91,
455,152,147,116.79,
460,148,162,115.78999999999999,
465,140,154,120.04,
470,138,147,116.97,
475,125,158,120.58,
480,139,160,115.58,
485,134,161,120.39,
490,139,164,117.33,
495,136,151,114.46,
500,129,141,119.6,
505,118,150,119.33,
510,135,144,118.66000000000001,
515,146,143,118.81,
520,145,162,118.31,
525,136,153,113.75,
530,130,154,113.32000000000001,
535,135,143,110.92,
540,134,152,120.46,
545,128,158,115.36,
550,127,151,117.92999999999999,
555,131,155,116.99,
560,134,153,118.51,
565,144,154,115.85,
570,141,148,115.95,
575,137,143,121.41000000000001,
580,145,150,114.04,
585,118,146,112.46,
590,127,143,118.76,
595,127,148,114.24,
600,122,155,117.14,
605,137,168,120.82,
610,136,154,116.63999999999999,
615,124,142,116.03,
620,139,144,116.8,
625,119,152,112.13,
630,135,157,116.6,
635,142,151,115.99,
640,139,147,115.58,
645,149,136,109.25,
650,134,151,114.57000000000001,
655,133,152,116.17999999999999,
660,136,146,115.19,
665,139,150,117.56,
670,140,150,114.38,
675,149,146,122.45,
680,132,153,113.64999999999999,
685,125,147,113.46,
690,121,145,112.82,
695,134,141,114.88000000000001,
700,142,144,114.94000000000001,
705,136,143,114.46,
710,148,150,117.24,
715,144,133,114.25,
720,135,151,110.2,
725,142,146,117.16999999999999,
730,134,146,112.28999999999999,
735,129,158,110.49000000000001,
740,127,145,114.08,
745,139,149,117.32000000000001,
750,142,142,118.22,
755,134,147,117.02,
760,150,147,115.81,
765,135,150,115.28,
770,136,145,114.21000000000001,
775,132,145,114.07000000000001,
780,124,154,114.69,
785,146,138,112.39,
790,123,145,111.08,
795,133,152,113.69999999999999,
800,123,142,113.66,
805,133,142,114.92,
810,137,140,115.69,
815,132,148,119.56,
820,125,145,122.14,
825,142,145,118.01,
830,135,152,114.56,
835,146,131,111.64,
840,133,126,115.83,
845,139,142,115.75,
850,140,135,115.03999999999999,
855,134,128,115.8,
860,139,135,114.66,
865,137,140,116.7,
870,132,133,117.2,
875,129,137,122.69999999999999,
880,133,149,120.17,
885,136,145,114.16,
890,136,143,116.98,
895,136,147,113.21000000000001,
900,141,132,112.87,
905,129,136,119.97,
