episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
1205,240,251,109.04,
1210,131,135,114.05,
1215,125,129,113.16,
1220,132,124,114.95,
1225,140,111,116.02999999999999,
1230,134,131,116.47999999999999,
1235,143,125,119.72,
1240,145,133,118.55,
1245,143,132,115.19,
1250,120,137,116.5,
1255,142,125,113.13,
1260,144,117,110.91999999999999,
1265,143,132,112.7,
1270,141,121,112.42,
1275,147,120,114.97,
1280,135,126,116.14,
1285,137,131,112.72,
1290,134,127,119.56,
1295,136,131,115.25999999999999,
1300,138,132,118.88,
1305,138,135,115.64999999999999,
1310,140,124,116.97,
1315,141,125,118.27000000000001,
1320,152,129,116.15,
1325,135,116,111.96000000000001,
1330,131,112,115.35000000000001,
1335,142,119,110.48,
1340,121,127,113.88,
1345,128,119,114.03,
1350,127,128,117.74,
1355,120,130,112.75,
1360,135,124,111.04,
1365,135,137,113.07,
1370,144,126,112.99000000000001,
1375,131,124,112.0,
1380,136,115,110.13,
1385,132,116,116.83,
1390,136,134,111.00999999999999,
1395,127,120,117.44,
1400,127,138,116.58,
1405,132,127,121.17,
1410,133,124,113.15,
1415,130,135,111.47,
1420,118,125,117.83,
1425,130,130,114.29,
1430,142,125,110.79,
1435,138,130,114.55000000000001,
1440,120,120,114.69,
1445,132,133,111.42999999999999,
1450,128,122,108.81,
1455,138,134,116.23,
1460,132,134,115.74000000000001,
1465,134,116,113.69,
1470,134,129,114.91,
1475,138,122,114.93,
1480,130,134,112.89,
1485,136,122,113.71,
1490,154,137,117.06,
1495,132,121,115.67,
1500,125,135,115.66999999999999,
1505,138,134,117.89999999999999,
1510,135,115,111.28,
1515,134,115,115.64,
1520,131,125,118.38,
1525,139,133,111.0,
1530,139,129,114.19,
1535,129,120,116.95,
1540,135,120,117.8,
1545,120,120,113.69,
1550,129,117,112.84,
1555,139,124,117.81,
1560,131,124,113.92,
1565,129,117,111.95,
1570,122,114,112.33,
1575,123,126,119.36,
1580,132,136,111.78,
1585,136,123,115.29,
1590,158,137,109.96,
1595,139,121,112.28,
1600,138,124,113.9,
1605,135,124,110.68,
1610,124,147,112.67,
1615,137,132,116.59,
1620,146,119,114.45,
1625,122,129,112.56,
1630,128,126,113.5,
1635,137,125,113.21,
1640,135,127,116.86,
1645,141,124,119.14,
1650,133,123,116.97999999999999,
1655,141,128,109.99,
1660,123,114,113.59,
1665,132,125,117.54,
1670,136,117,115.44,
1675,132,126,122.57,
1680,132,117,113.77,
1685,140,124,117.91000000000001,
1690,135,125,112.61,
1695,136,132,109.32000000000001,
1700,139,126,114.75,
1705,144,125,120.05,
1710,142,131,115.6,
1715,142,113,113.25,
1720,132,112,119.26,
1725,137,115,118.33,
1730,137,111,115.17,
1735,144,124,115.05000000000001,
1740,131,124,122.5,
1745,126,115,111.85,
1750,137,128,114.28,
1755,133,126,113.64999999999999,
1760,132,123,120.19,
1765,135,115,110.89,
1770,131,119,116.41,
1775,131,125,115.58,
1780,132,124,118.13,
1785,132,108,113.95,
1790,126,118,115.22,
1795,136,119,115.80999999999999,
1800,132,114,113.22,
1805,138,118,112.12,
1810,129,123,113.96,
1815,134,118,118.50999999999999,
1820,137,116,111.04,
1825,127,123,114.39,
1830,132,118,116.95,
1835,135,112,116.03,
1840,143,118,118.29,
1845,130,133,112.12,
1850,140,117,115.25999999999999,
1855,124,110,114.02000000000001,
1860,127,112,115.82000000000001,
1865,135,124,114.8,
1870,138,114,116.43,
1875,143,121,114.66999999999999,
1880,145,126,112.28,
1885,152,131,112.89,
1890,129,112,116.66,
1895,135,108,112.06,
1900,141,131,112.27,
1905,129,115,119.22999999999999,
1910,120,106,114.17999999999999,
1915,129,116,118.18,
1920,123,122,117.25,
1925,128,115,110.73,
1930,143,116,116.22000000000001,
1935,125,123,114.45,
1940,118,120,120.60000000000001,
1945,141,110,114.15,
1950,129,128,114.72,
1955,136,119,110.68,
1960,132,121,115.96000000000001,
1965,121,123,119.91,
1970,138,121,112.76,
1975,126,118,115.41,
1980,144,119,115.87,
1985,147,111,122.82,
1990,140,124,110.41,
1995,136,111,117.03999999999999,
2000,125,106,117.86000000000001,
2005,134,114,110.45,
2010,141,116,116.61,
2015,153,126,118.81,
2020,135,115,114.97,
2025,139,123,116.11,
2030,128,119,119.98,
2035,143,123,112.97000000000001,
2040,145,107,115.91,
2045,135,116,118.4,
2050,150,111,115.89,
2055,132,107,108.36999999999999,
2060,142,114,112.5,
2065,144,109,112.89,
2070,133,108,118.5,
2075,131,120,117.97,
2080,142,126,114.06,
2085,136,121,118.31,
2090,148,114,117.13,
2095,143,100,121.69,
2100,135,93,111.14999999999999,
2105,140,108,115.36,
2110,145,114,109.87,
2115,129,111,109.84,
2120,135,126,117.71,
2125,134,110,118.53,
2130,137,114,117.86,
2135,144,116,117.91,
2140,141,121,117.39,
2145,133,109,119.78,
2150,136,118,117.07,
2155,135,109,110.53999999999999,
2160,121,119,115.84,
2165,141,127,116.26,
2170,145,111,118.78,
2175,130,112,116.79,
2180,131,116,112.36,
2185,138,118,119.25,
2190,136,103,118.27,
2195,132,109,115.32,
2200,134,115,117.92,
