episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
1205,225,266,112.86999999999999,
1210,128,139,112.63,
1215,122,132,113.33,
1220,126,130,113.22,
1225,111,131,114.25,
1230,131,135,118.52000000000001,
1235,138,142,111.43,
1240,132,136,113.36,
1245,137,135,115.64999999999999,
1250,130,136,115.8,
1255,132,123,111.28999999999999,
1260,123,147,119.28999999999999,
1265,123,134,116.11,
1270,128,143,112.52000000000001,
1275,129,138,111.06,
1280,147,141,120.17999999999999,
1285,118,136,114.75,
1290,132,144,112.8,
1295,139,141,116.2,
1300,132,138,118.11,
1305,138,147,111.68,
1310,115,133,114.27999999999999,
1315,121,142,116.07000000000001,
1320,131,141,111.83,
1325,131,145,116.46,
1330,133,135,115.51,
1335,122,146,112.87,
1340,125,137,119.58999999999999,
1345,132,156,113.83,
1350,128,144,110.96,
1355,117,137,114.29,
1360,116,148,115.23,
1365,128,152,117.74,
1370,122,144,111.64,
1375,118,137,110.35,
1380,119,146,117.49,
1385,121,136,116.46000000000001,
1390,129,145,117.61,
1395,131,149,113.19,
1400,115,142,116.9,
1405,126,136,118.39,
1410,129,149,117.24000000000001,
1415,118,153,112.13000000000001,
1420,136,135,117.67,
1425,123,139,116.16,
1430,144,142,112.26,
1435,117,142,117.2,
1440,135,137,113.5,
1445,129,139,114.42,
1450,146,151,111.99,
1455,129,138,118.14999999999999,
1460,140,133,118.30999999999999,
1465,133,141,115.07,
1470,135,137,112.36,
1475,128,130,115.87,
1480,126,132,120.41,
1485,133,144,118.05,
1490,140,143,116.02,
1495,137,152,120.61000000000001,
1500,143,138,112.92999999999999,
1505,126,136,113.26,
1510,125,139,111.49,
1515,135,140,113.08,
1520,125,142,115.46,
1525,122,133,116.4,
1530,118,156,119.44,
1535,133,130,111.69,
1540,140,137,118.81,
1545,122,148,111.35000000000001,
1550,135,141,119.11999999999999,
1555,126,146,124.80000000000001,
1560,121,133,114.91,
1565,120,132,119.92999999999999,
1570,126,147,116.53,
1575,125,147,116.41,
1580,119,136,118.14,
1585,136,128,115.72,
1590,129,137,111.33,
1595,134,134,115.44,
1600,141,131,118.72,
1605,134,147,117.33999999999999,
1610,123,139,115.08000000000001,
1615,119,129,116.56,
1620,133,131,115.58000000000001,
1625,122,133,113.75,
1630,124,129,110.25999999999999,
1635,124,144,113.05,
1640,115,132,119.48,
1645,126,129,111.48,
1650,134,121,119.47,
1655,118,129,119.81,
1660,134,153,119.29,
1665,124,151,118.50999999999999,
1670,128,156,122.22,
1675,123,135,118.17,
1680,123,139,110.64,
1685,131,132,114.65,
1690,120,138,114.08,
1695,121,133,118.3,
1700,109,140,117.86999999999999,
1705,110,132,118.03,
1710,125,137,120.84,
1715,134,147,119.96,
1720,115,136,113.69,
1725,127,143,119.9,
1730,131,133,117.42999999999999,
1735,124,137,115.54,
1740,129,149,115.01,
1745,133,133,119.87,
1750,129,130,113.07,
1755,119,140,117.55,
1760,108,140,116.66,
1765,119,145,117.44,
1770,129,135,117.24,
1775,132,140,112.85,
1780,125,147,113.05999999999999,
1785,131,137,115.7,
1790,122,136,115.76,
1795,140,139,117.33000000000001,
1800,127,135,116.4,
1805,119,128,114.29,
1810,127,137,120.61,
1815,127,144,114.75,
1820,123,144,119.89,
1825,133,131,111.89,
1830,133,138,116.61,
1835,128,133,116.44999999999999,
1840,134,130,117.46000000000001,
1845,119,131,117.86999999999999,
1850,132,141,114.25999999999999,
1855,124,140,120.94,
1860,111,131,116.01,
1865,133,130,116.85,
1870,139,129,122.28,
1875,125,138,118.77999999999999,
1880,119,134,114.48,
1885,139,132,121.91,
1890,126,134,118.86000000000001,
1895,124,130,120.49,
1900,137,136,112.0,
1905,125,128,116.66999999999999,
1910,135,135,115.53,
1915,136,126,120.99,
1920,138,132,116.69,
1925,136,129,116.91,
1930,124,140,116.5,
1935,132,139,123.87,
1940,138,130,122.92,
1945,134,130,114.95,
1950,118,137,116.47,
1955,123,130,115.42,
1960,126,125,114.04,
1965,125,140,119.27,
1970,127,133,118.76,
1975,140,133,121.77,
1980,128,114,111.83000000000001,
1985,136,139,120.98,
1990,148,122,117.02,
1995,134,131,118.32,
2000,131,126,114.73,
2005,128,133,112.55,
2010,120,132,118.3,
2015,124,127,116.97999999999999,
2020,146,136,120.28999999999999,
2025,119,138,122.73,
2030,124,125,117.41999999999999,
2035,123,140,118.06,
2040,121,131,121.14,
2045,129,145,116.7,
2050,128,131,118.18,
2055,118,129,119.14,
2060,132,133,118.39,
2065,129,111,118.4,
2070,128,117,117.42,
2075,133,137,115.51,
2080,125,126,124.06,
2085,133,119,119.97,
2090,137,133,112.86,
2095,125,134,119.55,
2100,125,126,118.83,
2105,131,133,115.47,
2110,130,140,121.83000000000001,
2115,129,137,119.83,
2120,133,131,119.89,
2125,124,125,118.6,
2130,123,127,117.35000000000001,
2135,122,131,119.58,
2140,116,129,115.29,
2145,132,120,118.38,
2150,136,121,118.21,
2155,119,128,110.91,
2160,122,132,116.47,
2165,130,123,120.72,
2170,115,146,117.36,
2175,122,142,118.85,
2180,135,128,118.52000000000001,
2185,139,122,115.26,
2190,134,114,115.49,
2195,121,125,113.31,
2200,130,131,114.72999999999999,
