episode,shifted_humans,shifted_avs,machine_ratio
1010,17 92 96 429 466,None,0.20977596741344195
1020,361 398,None,0.21384928716904278
1030,42 477,None,0.21792260692464357
1040,46 168 266,None,0.2240325865580448
1050,353,None,0.22606924643584522
1060,38 213 271 330,None,0.23421588594704684
1070,None,None,0.23421588594704684
1080,19 350,None,0.23828920570264767
1090,116 122 154 414,None,0.24643584521384929
1100,88,None,0.2484725050916497
1110,455,None,0.2505091649694501
1120,123 130 452,None,0.25661914460285135
1130,109 114 134 204 255,None,0.2668024439918534
1140,77 427,None,0.2708757637474542
1150,100 299,None,0.27494908350305497
1160,76,None,0.2769857433808554
1170,344,None,0.2790224032586558
1180,445,None,0.28105906313645623
1190,None,None,0.28105906313645623
1200,355,None,0.2830957230142566
1210,10 335,None,0.28716904276985744
1220,15 119,None,0.29124236252545826
1230,74 131 376,None,0.2973523421588595
1240,225,None,0.29938900203665986
1250,459 470,None,0.3034623217922607
1260,103 235,None,0.3075356415478615
1270,40,None,0.3095723014256619
1280,179 385 456,None,0.31568228105906315
1290,85 438,None,0.319755600814664
1300,325,None,0.32179226069246436
1310,283,None,0.32382892057026474
1320,None,None,0.32382892057026474
1330,73,None,0.3258655804480652
1340,113,None,0.32790224032586557
1350,125 212 467,None,0.3340122199592668
1360,386,None,0.3360488798370672
1370,20 148 185,None,0.3421588594704684
1380,151 161,None,0.34623217922606925
1390,448,None,0.34826883910386963
1400,90 218,None,0.35234215885947046
1410,406,None,0.3543788187372709
1420,237 243 374,None,0.3604887983706721
1430,210,None,0.3625254582484725
1440,83 323 489,None,0.36863543788187375
1450,None,None,0.36863543788187375
1460,139 375,None,0.3727087576374745
1470,None,None,0.3727087576374745
1480,30 47,None,0.37678207739307534
1490,205,None,0.3788187372708758
1500,464,None,0.38085539714867617
1510,52 293 409,None,0.3869653767820774
1520,6 183 248,None,0.39307535641547864
1530,292 390,None,0.3971486761710794
1540,342 397,None,0.40122199592668023
1550,3 62 137 339 378,None,0.41140529531568226
1560,281 348 368,None,0.4175152749490835
1570,473,None,0.4195519348268839
1580,25 373 418,None,0.4256619144602851
1590,412,None,0.42769857433808556
1600,None,None,0.42769857433808556
1610,186,None,0.42973523421588594
1620,198 321 461,None,0.43584521384928715
1630,None,None,0.43584521384928715
1640,91 320,None,0.439918533604888
1650,None,None,0.439918533604888
1660,484,None,0.4419551934826884
1670,61,None,0.4439918533604888
1680,None,None,0.4439918533604888
1690,305,None,0.4460285132382892
1700,93 424,None,0.45010183299389
1710,None,None,0.45010183299389
1720,112 383,None,0.45417515274949083
1730,229,None,0.45621181262729127
1740,195 372,None,0.46028513238289204
1750,None,None,0.46028513238289204
1760,176 217,None,0.46435845213849286
1770,2 347 354,None,0.47046843177189407
1780,None,None,0.47046843177189407
1790,201 426,None,0.4745417515274949
1800,166 202 300 468,None,0.48268839103869654
1810,21 411,None,0.48676171079429736
1820,0 178 351,None,0.49287169042769857
1830,279 465,None,0.4969450101832994
1840,241 388,None,0.5010183299389002
1850,261 413,None,0.505091649694501
1860,43 187 303 382,None,0.5132382892057027
1870,276,None,0.515274949083503
1880,97,None,0.5173116089613035
1890,None,None,0.5173116089613035
1900,389,None,0.5193482688391039
1910,458,None,0.5213849287169042
1920,None,None,0.5213849287169042
1930,16 298,None,0.5254582484725051
1940,None,None,0.5254582484725051
1950,318 471,None,0.5295315682281059
1960,226 475,None,0.5336048879837068
1970,None,None,0.5336048879837068
1980,59 232,None,0.5376782077393075
1990,51 159,None,0.5417515274949084
