episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
1205,240,251,109.18,
1210,135,128,113.57000000000001,
1215,126,137,116.47999999999999,
1220,137,126,115.82000000000001,
1225,145,113,113.46000000000001,
1230,127,133,113.99,
1235,143,129,119.36,
1240,142,134,118.29,
1245,144,126,114.78,
1250,124,134,116.5,
1255,141,130,111.28,
1260,145,121,112.44,
1265,140,136,114.42999999999999,
1270,143,125,112.19,
1275,140,126,114.57,
1280,136,132,117.13,
1285,135,143,116.88,
1290,134,129,117.87,
1295,140,135,112.72,
1300,144,137,110.75,
1305,135,138,115.44999999999999,
1310,143,138,115.14,
1315,146,130,111.73,
1320,151,125,112.63,
1325,136,123,108.96000000000001,
1330,127,121,116.2,
1335,140,122,116.87,
1340,119,124,113.86999999999999,
1345,128,118,115.43,
1350,126,128,109.99,
1355,128,141,115.86,
1360,135,137,111.14999999999999,
1365,146,139,114.99,
1370,141,141,112.53,
1375,136,129,112.99000000000001,
1380,139,126,113.72,
1385,130,125,116.87,
1390,131,128,112.74000000000001,
1395,131,134,113.52,
1400,132,136,116.09,
1405,130,127,122.87,
1410,128,123,114.09,
1415,128,136,118.61,
1420,123,133,120.06,
1425,134,126,114.82000000000001,
1430,136,131,113.97,
1435,130,131,116.03,
1440,119,126,112.15,
1445,135,132,115.13,
1450,129,123,116.52,
1455,143,130,112.69000000000001,
1460,127,122,110.53,
1465,134,120,112.91,
1470,138,132,115.28,
1475,136,124,114.05,
1480,133,136,110.83,
1485,131,131,113.23,
1490,153,139,112.36,
1495,128,126,115.54,
1500,129,139,122.45,
1505,134,137,113.24,
1510,142,123,114.19000000000001,
1515,131,128,116.42,
1520,134,130,121.2,
1525,136,135,109.92,
1530,139,138,114.79,
1535,128,133,120.18,
1540,142,127,115.3,
1545,118,131,114.42999999999999,
1550,127,123,114.98,
1555,138,119,113.45,
1560,128,130,111.97,
1565,128,125,112.93,
1570,128,121,114.10000000000001,
1575,124,135,117.77,
1580,131,133,112.64,
1585,136,125,116.42,
1590,150,137,115.68,
1595,139,132,110.85,
1600,131,119,114.48,
1605,135,130,110.75,
1610,124,139,117.76,
1615,132,134,115.99,
1620,144,114,116.46000000000001,
1625,125,132,119.44,
1630,133,123,117.29,
1635,135,132,116.02999999999999,
1640,128,118,112.41000000000001,
1645,130,126,119.53999999999999,
1650,135,131,117.37,
1655,141,132,112.34,
1660,122,116,117.0,
1665,130,117,117.57,
1670,139,115,119.65,
1675,135,120,120.59,
1680,127,119,114.08999999999999,
1685,135,131,119.16000000000001,
1690,132,117,113.10000000000001,
1695,138,131,111.3,
1700,141,123,118.6,
1705,136,141,118.92,
1710,140,135,113.58999999999999,
1715,135,113,113.65,
1720,131,121,116.58,
1725,135,125,121.76,
1730,133,122,116.9,
1735,144,127,118.36,
1740,129,129,120.32,
1745,127,122,111.14,
1750,140,127,114.05,
1755,136,127,113.8,
1760,131,118,120.22,
1765,131,119,109.75999999999999,
1770,132,129,117.51,
1775,139,125,115.18,
1780,138,114,116.17999999999999,
1785,132,119,112.55,
1790,132,121,114.75999999999999,
1795,138,113,113.72,
1800,133,108,114.4,
1805,131,127,117.85,
1810,136,131,116.62,
1815,134,118,118.11,
1820,138,119,110.07000000000001,
1825,130,129,115.68,
1830,137,118,115.61,
1835,133,111,117.33,
1840,147,126,122.33,
1845,129,135,112.75,
1850,142,123,110.94999999999999,
1855,124,110,114.71000000000001,
1860,130,127,114.56,
1865,132,115,115.24,
1870,142,120,112.85,
1875,146,125,114.94,
1880,146,128,115.66,
1885,141,129,115.32,
1890,133,119,117.03999999999999,
1895,142,117,115.35,
1900,141,131,113.62,
1905,127,114,116.82,
1910,116,111,113.78,
1915,132,118,117.61999999999999,
1920,125,120,119.94,
1925,127,118,111.53,
1930,144,125,119.32000000000001,
1935,127,125,115.8,
1940,120,121,117.52000000000001,
1945,136,127,111.71,
1950,132,120,116.58,
1955,138,122,111.58,
1960,141,119,117.16000000000001,
1965,124,120,115.48,
1970,133,121,118.91000000000001,
1975,124,121,116.99,
1980,146,129,115.58,
1985,153,112,111.92,
1990,139,116,113.86,
1995,137,120,108.99,
2000,124,108,119.15,
2005,132,123,112.78999999999999,
2010,133,115,114.03,
2015,150,116,119.27,
2020,139,115,113.92999999999999,
2025,140,129,114.5,
2030,125,117,118.41999999999999,
2035,139,111,118.01,
2040,143,112,116.47999999999999,
2045,137,118,117.7,
2050,153,124,123.02,
2055,141,108,110.91,
2060,140,112,110.13,
2065,143,110,112.8,
2070,129,112,115.97,
2075,127,124,119.19999999999999,
2080,137,117,113.83,
2085,146,124,116.86,
2090,154,102,111.31,
2095,141,109,116.43,
2100,133,102,111.6,
2105,139,121,123.54,
2110,147,115,109.14,
2115,129,113,113.86999999999999,
2120,138,120,117.75,
2125,135,115,121.53,
2130,139,118,115.72999999999999,
2135,140,121,114.08,
2140,136,122,118.08,
2145,136,121,117.92,
2150,129,108,114.75,
2155,143,105,113.93,
2160,120,110,115.44,
2165,139,118,113.85,
2170,144,111,118.73,
2175,127,113,114.35000000000001,
2180,132,109,114.89,
2185,144,115,122.03,
2190,133,114,119.49,
2195,130,105,112.87,
2200,141,120,117.17999999999999,
