episode,shifted_humans,shifted_avs,machine_ratio
1010,364,None,0.20162932790224034
1020,201 244 290,None,0.20773930753564154
1030,90 96 161 195,None,0.2158859470468432
1040,304 482,None,0.219959266802444
1050,464,None,0.2219959266802444
1060,3 456,None,0.22606924643584522
1070,46 59 70 194 329,None,0.23625254582484725
1080,215 375,None,0.24032586558044808
1090,207 413,None,0.24439918533604887
1100,233 338 424,None,0.2505091649694501
1110,213 372,None,0.2545824847250509
1120,45 209 445,None,0.2606924643584521
1130,11 80 475,None,0.2668024439918534
1140,37 52 334,None,0.2729124236252546
1150,116 210 376,None,0.2790224032586558
1160,198 433,None,0.2830957230142566
1170,113 247 402,None,0.2892057026476578
1180,452,None,0.29124236252545826
1190,409 480,None,0.2953156822810591
1200,103 204 293,None,0.3014256619144603
1210,None,None,0.3014256619144603
1220,355,None,0.3034623217922607
1230,73 295,None,0.3075356415478615
1240,196,None,0.3095723014256619
1250,40 145,None,0.3136456211812627
1260,350,None,0.31568228105906315
1270,225 273,None,0.319755600814664
1280,None,None,0.319755600814664
1290,336 342,None,0.32382892057026474
1300,230 472,None,0.32790224032586557
1310,20 187 348,None,0.3340122199592668
1320,23 202,None,0.3380855397148676
1330,284 485,None,0.3421588594704684
1340,67 220,None,0.34623217922606925
1350,149 294,None,0.35030549898167007
1360,None,None,0.35030549898167007
1370,226 466,None,0.3543788187372709
1380,120 208 468,None,0.3604887983706721
1390,219 279,None,0.3645621181262729
1400,86 111 156 214,None,0.3727087576374745
1410,371,None,0.37474541751527496
1420,47 69 303 484,None,0.38289205702647655
1430,None,None,0.38289205702647655
1440,58 392 461,None,0.3890020366598778
1450,490,None,0.3910386965376782
1460,97 337,None,0.395112016293279
1470,63 319 438,None,0.40122199592668023
1480,177 435,None,0.40529531568228105
1490,410,None,0.4073319755600815
1500,None,None,0.4073319755600815
1510,166,None,0.4093686354378819
1520,115 139 379,None,0.4154786150712831
1530,None,None,0.4154786150712831
1540,205,None,0.4175152749490835
1550,15 79 141,None,0.42362525458248473
1560,None,None,0.42362525458248473
1570,327,None,0.4256619144602851
1580,186,None,0.42769857433808556
1590,None,None,0.42769857433808556
1600,None,None,0.42769857433808556
1610,1,None,0.42973523421588594
1620,None,None,0.42973523421588594
1630,None,None,0.42973523421588594
1640,382,None,0.4317718940936864
1650,None,None,0.4317718940936864
1660,275,None,0.43380855397148677
1670,None,None,0.43380855397148677
1680,232 291,None,0.4378818737270876
1690,400,None,0.439918533604888
1700,406,None,0.4419551934826884
1710,None,None,0.4419551934826884
1720,None,None,0.4419551934826884
1730,None,None,0.4419551934826884
1740,None,None,0.4419551934826884
1750,49 119,None,0.4460285132382892
1760,None,None,0.4460285132382892
1770,474,None,0.4480651731160896
1780,None,None,0.4480651731160896
1790,None,None,0.4480651731160896
1800,153,None,0.45010183299389
1810,488,None,0.45213849287169044
1820,476,None,0.45417515274949083
1830,53,None,0.45621181262729127
1840,None,None,0.45621181262729127
1850,81,None,0.45824847250509165
1860,None,None,0.45824847250509165
1870,470,None,0.46028513238289204
1880,None,None,0.46028513238289204
1890,136 224 415,None,0.4663951120162933
1900,None,None,0.4663951120162933
1910,12 48,None,0.47046843177189407
1920,100,None,0.4725050916496945
1930,235,None,0.4745417515274949
1940,43 78,None,0.4786150712830957
1950,158,None,0.48065173116089616
1960,71 159 292,None,0.48676171079429736
1970,36,None,0.48879837067209775
1980,None,None,0.48879837067209775
1990,450,None,0.4908350305498982
