episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
205,234,257,117.94,
210,150,138,121.51,
215,136,164,115.03999999999999,
220,131,139,121.85000000000001,
225,133,139,122.54,
230,131,142,120.5,
235,134,133,123.28,
240,116,130,121.62,
245,146,152,119.93,
250,135,137,117.05999999999999,
255,123,159,118.73,
260,139,146,119.85,
265,137,151,117.33,
270,128,144,121.48,
275,128,134,119.56,
280,130,125,122.46000000000001,
285,151,148,119.2,
290,127,132,119.55,
295,132,123,114.29,
300,141,133,113.96000000000001,
305,119,139,118.54,
310,129,150,119.89,
315,128,152,120.25999999999999,
320,136,154,117.39,
325,142,152,118.51,
330,117,132,114.53999999999999,
335,127,139,122.5,
340,135,133,124.19,
345,139,132,119.49000000000001,
350,127,131,120.76,
355,123,129,122.64999999999999,
360,130,127,111.34,
365,121,145,121.23,
370,130,150,123.28,
375,134,137,120.51,
380,132,129,118.46,
385,131,136,119.2,
390,140,143,120.32000000000001,
395,123,120,123.72,
400,135,138,120.49000000000001,
405,125,132,120.09,
410,132,132,120.28,
415,135,138,119.92,
420,138,147,120.94,
425,128,145,117.23,
430,127,129,123.81,
435,140,129,119.14,
440,129,134,116.72,
445,136,129,117.62,
450,126,134,122.50999999999999,
455,123,133,119.71000000000001,
460,127,130,124.88,
465,142,138,116.68,
470,132,141,120.8,
475,134,125,121.80000000000001,
480,144,135,116.0,
485,126,134,119.55,
490,129,145,122.39999999999999,
495,117,149,121.94,
500,137,146,124.52000000000001,
505,128,147,123.48,
510,126,126,115.85000000000001,
515,138,131,118.81,
520,129,135,123.11,
525,132,135,111.22,
530,136,133,117.06,
535,136,143,121.53,
540,119,131,115.24,
545,128,135,121.27000000000001,
550,140,139,120.85,
555,136,128,120.67999999999999,
560,130,133,124.85,
565,119,138,114.35,
570,136,122,118.16000000000001,
575,134,146,123.4,
580,123,140,119.3,
585,142,136,123.67,
590,132,124,116.78,
595,128,138,119.72,
600,136,143,119.23,
605,133,122,118.42,
610,139,134,120.17,
615,138,130,118.87,
620,127,143,117.52,
625,119,140,118.14,
630,128,134,120.53,
635,141,129,120.14,
640,135,138,113.41,
645,130,136,120.34,
650,138,136,125.2,
655,140,122,118.02,
660,130,147,113.47,
665,129,130,119.97,
670,135,130,122.28999999999999,
675,131,125,119.1,
