episode,shifted_humans,shifted_avs,machine_ratio
1010,17 218,None,0.2072072072072072
1020,None,None,0.2072072072072072
1030,152,None,0.21171171171171171
1040,60,None,0.21621621621621623
1050,None,None,0.21621621621621623
1060,57 156,None,0.22522522522522523
1070,16,None,0.22972972972972974
1080,None,None,0.22972972972972974
1090,5 160 189,None,0.24324324324324326
1100,32,None,0.24774774774774774
1110,None,None,0.24774774774774774
1120,None,None,0.24774774774774774
1130,4,None,0.25225225225225223
1140,None,None,0.25225225225225223
1150,None,None,0.25225225225225223
1160,146,None,0.25675675675675674
1170,None,None,0.25675675675675674
1180,95,None,0.26126126126126126
1190,None,None,0.26126126126126126
1200,None,69,0.25675675675675674
1210,None,None,0.25675675675675674
1220,None,None,0.25675675675675674
1230,110,None,0.26126126126126126
1240,123 179 207,None,0.2747747747747748
1250,None,None,0.2747747747747748
1260,174,None,0.27927927927927926
1270,65,None,0.28378378378378377
1280,None,None,0.28378378378378377
1290,115 220,None,0.2927927927927928
1300,177,None,0.2972972972972973
1310,None,None,0.2972972972972973
1320,143 149 216,None,0.3108108108108108
1330,49 133,None,0.31981981981981983
1340,None,None,0.31981981981981983
1350,None,None,0.31981981981981983
1360,41,None,0.32432432432432434
1370,111 198 210,None,0.33783783783783783
1380,48 194,None,0.34684684684684686
1390,184,None,0.35135135135135137
1400,None,None,0.35135135135135137
1410,131,None,0.35585585585585583
1420,11,None,0.36036036036036034
1430,25,None,0.36486486486486486
1440,142,None,0.36936936936936937
1450,56,None,0.3738738738738739
1460,87,None,0.3783783783783784
1470,151,None,0.38288288288288286
1480,221,None,0.38738738738738737
1490,None,None,0.38738738738738737
1500,None,None,0.38738738738738737
1510,170,None,0.3918918918918919
1520,205 217,None,0.4009009009009009
1530,89 171,None,0.4099099099099099
1540,None,None,0.4099099099099099
1550,125 201,None,0.4189189189189189
1560,134,None,0.42342342342342343
1570,None,None,0.42342342342342343
1580,147,None,0.42792792792792794
1590,None,None,0.42792792792792794
1600,14,None,0.43243243243243246
1610,None,None,0.43243243243243246
1620,139,None,0.4369369369369369
1630,None,None,0.4369369369369369
1640,None,None,0.4369369369369369
1650,None,None,0.4369369369369369
1660,None,None,0.4369369369369369
1670,35,None,0.44144144144144143
1680,78,None,0.44594594594594594
1690,71,None,0.45045045045045046
1700,None,None,0.45045045045045046
1710,None,None,0.45045045045045046
1720,108,None,0.45495495495495497
1730,116,None,0.4594594594594595
1740,None,None,0.4594594594594595
1750,129,None,0.46396396396396394
1760,None,None,0.46396396396396394
1770,45,None,0.46846846846846846
1780,None,None,0.46846846846846846
1790,None,None,0.46846846846846846
1800,38 157,None,0.4774774774774775
1810,None,None,0.4774774774774775
1820,None,None,0.4774774774774775
1830,None,None,0.4774774774774775
1840,23,None,0.481981981981982
1850,None,None,0.481981981981982
1860,178,None,0.4864864864864865
1870,None,None,0.4864864864864865
1880,None,None,0.4864864864864865
1890,None,None,0.4864864864864865
1900,18,None,0.49099099099099097
1910,None,None,0.49099099099099097
1920,None,None,0.49099099099099097
1930,26 153,None,0.5
1940,104 107,None,0.509009009009009
1950,91,None,0.5135135135135135
1960,122,None,0.5180180180180181
1970,68,None,0.5225225225225225
1980,96,None,0.527027027027027
1990,183,None,0.5315315315315315
