episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
405,114,108,26.98,
410,77,80,27.8,
415,86,66,26.689999999999998,
420,82,76,27.389999999999997,
425,86,79,27.48,
430,76,77,38.97,
435,81,73,32.13,
440,78,74,26.95,
445,71,73,26.64,
450,74,75,26.98,
455,85,78,173.14999999999998,
460,79,83,27.57,
465,72,83,27.69,
470,70,76,26.950000000000003,
475,70,74,32.400000000000006,
480,78,71,27.89,
485,72,70,26.46,
490,66,79,26.52,
495,69,82,27.23,
500,62,73,27.12,
505,73,70,26.81,
510,67,85,27.36,
515,68,75,27.63,
520,81,78,28.4,
525,68,76,28.32,
530,66,81,26.48,
535,67,77,27.060000000000002,
540,78,75,27.16,
545,71,75,28.34,
550,80,72,27.299999999999997,
555,71,80,26.71,
560,76,71,27.66,
565,60,73,26.88,
570,69,83,27.2,
575,72,80,28.07,
580,67,68,27.15,
585,73,73,108.45,
590,79,79,28.380000000000003,
595,65,74,27.44,
600,78,82,27.55,
605,76,78,27.67,
610,71,71,28.12,
615,73,80,27.529999999999998,
620,78,73,26.92,
625,72,75,27.19,
630,72,80,27.490000000000002,
635,75,80,28.09,
640,67,78,27.63,
645,69,73,28.43,
650,64,71,28.03,
655,73,76,27.61,
660,69,79,28.11,
665,62,77,27.93,
670,69,75,27.080000000000002,
675,65,76,26.84,
680,71,77,26.849999999999998,
685,72,81,28.11,
690,69,84,32.89,
695,76,79,26.82,
700,81,70,27.07,
705,71,81,27.98,
710,76,74,27.5,
715,75,87,27.610000000000003,
720,65,76,27.11,
725,72,79,33.93,
730,72,77,27.86,
735,68,77,27.869999999999997,
740,73,65,27.46,
745,74,71,27.08,
750,64,81,27.84,
755,71,74,28.490000000000002,
760,74,73,27.65,
765,68,72,27.41,
770,69,75,26.779999999999998,
775,68,82,27.919999999999998,
780,74,80,27.76,
785,66,79,27.38,
790,60,76,26.89,
795,76,72,27.85,
800,65,70,27.009999999999998,
805,73,74,27.42,
810,61,73,27.790000000000003,
815,76,77,27.5,
820,68,79,27.419999999999998,
825,67,80,27.03,
830,60,83,27.950000000000003,
835,67,79,28.05,
840,73,80,27.86,
845,71,73,27.78,
850,80,71,27.419999999999998,
855,69,68,28.47,
860,67,83,32.67,
865,71,83,47.46,
870,68,80,26.76,
875,71,77,27.37,
880,72,82,27.48,
885,69,76,28.45,
890,73,77,27.81,
895,71,77,28.05,
900,74,88,27.97,
905,71,73,27.61,
910,69,82,27.73,
915,76,85,28.29,
920,64,77,27.23,
925,64,72,28.330000000000002,
930,58,74,27.259999999999998,
935,72,78,28.43,
940,71,71,27.25,
945,74,80,27.58,
950,80,83,27.27,
955,87,82,27.84,
960,66,74,27.69,
965,68,72,27.86,
970,70,80,27.599999999999998,
975,74,76,28.169999999999998,
980,63,79,143.16,
985,73,79,27.93,
990,60,77,27.91,
995,70,83,27.529999999999998,
1000,68,77,27.709999999999997,
1005,59,77,27.57,
1010,72,74,27.85,
1015,67,82,28.430000000000003,
1020,71,81,27.74,
1025,75,77,28.439999999999998,
1030,69,71,36.06,
1035,71,78,28.63,
1040,73,71,27.5,
1045,74,71,28.05,
1050,62,75,28.27,
1055,70,77,28.01,
1060,70,76,27.65,
1065,71,86,28.53,
1070,66,80,28.48,
1075,74,77,28.259999999999998,
1080,65,80,28.01,
1085,73,80,33.980000000000004,
1090,64,85,28.4,
1095,67,85,27.509999999999998,
1100,57,89,28.34,
1105,63,72,27.75,
1110,70,77,28.240000000000002,
1115,64,83,27.95,
1120,68,81,27.47,
1125,74,78,27.970000000000002,
1130,70,77,27.86,
1135,77,83,27.810000000000002,
1140,83,81,28.0,
1145,65,74,28.43,
1150,72,81,29.09,
1155,79,80,28.130000000000003,
1160,61,83,28.43,
1165,74,79,27.8,
1170,74,89,28.32,
1175,64,84,28.0,
1180,69,76,27.71,
1185,69,80,28.41,
1190,61,79,27.950000000000003,
1195,66,79,28.54,
1200,69,80,27.94,
1205,70,78,27.869999999999997,
1210,73,71,26.82,
1215,69,77,28.43,
1220,61,80,27.01,
1225,64,88,27.310000000000002,
1230,64,80,27.990000000000002,
1235,66,81,28.130000000000003,
1240,62,79,28.380000000000003,
1245,71,76,28.71,
1250,67,73,27.94,
1255,81,83,29.2,
1260,70,74,27.68,
1265,71,88,27.72,
1270,64,80,28.73,
1275,66,78,27.16,
1280,72,72,27.88,
1285,64,77,28.15,
1290,71,84,29.3,
1295,71,63,28.34,
1300,70,82,28.16,
1305,68,84,28.06,
1310,69,83,27.130000000000003,
1315,63,80,27.75,
1320,58,61,27.49,
1325,70,78,28.83,
1330,67,74,27.89,
1335,68,81,28.29,
1340,61,80,27.94,
1345,68,79,27.1,
1350,67,85,28.93,
1355,61,82,34.64,
1360,69,82,27.48,
1365,67,80,28.349999999999998,
1370,67,84,28.53,
1375,72,78,27.85,
1380,73,85,26.77,
1385,68,80,28.23,
1390,72,74,27.69,
1395,71,81,28.14,
1400,73,82,27.970000000000002,
