episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
405,114,108,27.36,
410,82,80,28.2,
415,87,70,26.83,
420,81,77,26.72,
425,83,79,27.6,
430,78,78,38.89,
435,85,76,26.56,
440,77,75,26.990000000000002,
445,72,74,26.29,
450,81,78,27.3,
455,83,83,27.46,
460,76,82,27.39,
465,76,86,28.18,
470,75,76,26.419999999999998,
475,79,74,32.830000000000005,
480,75,78,27.47,
485,72,72,26.38,
490,74,80,26.8,
495,70,76,26.970000000000002,
500,69,72,27.14,
505,80,75,26.450000000000003,
510,77,84,26.869999999999997,
515,80,82,27.720000000000002,
520,80,79,27.94,
525,75,75,28.22,
530,75,81,26.21,
535,73,77,26.96,
540,88,78,27.39,
545,76,77,28.01,
550,85,72,26.89,
555,72,81,26.66,
560,80,73,27.5,
565,69,74,26.950000000000003,
570,75,83,27.12,
575,76,84,28.25,
580,69,71,27.14,
585,81,77,144.62,
590,77,78,28.310000000000002,
595,69,79,27.27,
600,78,88,27.29,
605,82,78,27.74,
610,71,75,28.06,
615,83,82,27.34,
620,85,76,27.060000000000002,
625,77,78,27.04,
630,66,80,27.63,
635,79,83,27.94,
640,70,81,27.490000000000002,
645,77,74,28.52,
650,77,77,28.25,
655,75,79,27.790000000000003,
660,84,79,27.830000000000002,
665,70,77,28.279999999999998,
670,81,78,27.12,
675,69,78,27.24,
680,76,82,27.23,
685,74,81,28.02,
690,73,85,33.63,
695,82,81,26.619999999999997,
700,87,68,27.040000000000003,
705,75,82,27.729999999999997,
710,79,70,27.48,
715,84,86,27.8,
720,76,78,27.119999999999997,
725,77,80,34.04,
730,85,81,27.83,
735,76,79,28.029999999999998,
740,83,67,27.63,
745,81,75,27.14,
750,74,86,28.07,
755,77,75,28.33,
760,85,75,27.78,
765,78,72,27.69,
770,77,78,26.97,
775,78,84,27.950000000000003,
780,83,83,28.05,
785,68,78,27.25,
790,70,78,27.060000000000002,
795,79,75,27.87,
800,73,71,27.169999999999998,
805,76,76,27.51,
810,73,75,27.76,
815,85,76,27.68,
820,75,83,27.36,
825,70,83,26.69,
830,68,83,28.26,
835,72,79,28.07,
840,80,82,28.080000000000002,
845,73,73,27.57,
850,81,73,27.27,
855,76,71,28.23,
860,80,87,32.730000000000004,
865,71,82,33.47,
870,79,82,27.22,
875,81,77,27.580000000000002,
880,73,82,27.470000000000002,
885,78,79,28.0,
890,78,77,27.63,
895,82,80,27.759999999999998,
900,83,87,27.84,
905,74,74,27.44,
910,73,85,27.59,
915,77,86,28.59,
920,72,79,27.400000000000002,
925,70,73,28.0,
930,67,74,27.080000000000002,
935,80,77,28.54,
940,79,72,27.42,
945,80,80,27.61,
950,82,83,26.89,
955,88,81,28.02,
960,75,74,27.44,
965,72,72,27.9,
970,74,80,27.6,
975,74,80,28.36,
980,65,81,47.03,
985,72,79,27.7,
990,66,78,27.79,
995,80,84,27.389999999999997,
1000,72,75,27.64,
1005,77,78,27.61,
1010,77,74,27.53,
1015,75,81,28.580000000000002,
1020,81,83,27.72,
1025,77,77,28.19,
1030,75,71,35.77,
1035,84,79,28.439999999999998,
1040,82,72,27.96,
1045,74,71,27.81,
1050,71,74,27.95,
1055,75,77,27.91,
1060,82,76,27.580000000000002,
1065,79,85,28.37,
1070,73,79,27.650000000000002,
1075,82,76,28.71,
1080,77,79,27.400000000000002,
1085,85,80,33.8,
1090,76,85,28.040000000000003,
1095,71,85,27.22,
1100,67,90,27.93,
1105,74,73,27.240000000000002,
1110,77,78,28.099999999999998,
1115,75,83,27.72,
1120,73,83,27.5,
1125,79,76,27.64,
1130,82,77,27.770000000000003,
1135,78,83,27.67,
1140,83,82,27.84,
1145,76,73,28.18,
1150,88,82,146.5,
1155,91,79,27.88,
1160,76,83,28.43,
1165,84,78,27.46,
1170,87,89,27.84,
1175,79,85,27.55,
1180,80,79,27.43,
1185,82,79,28.11,
1190,76,78,28.16,
1195,74,81,28.509999999999998,
1200,82,81,27.970000000000002,
1205,84,79,27.63,
1210,79,70,26.64,
1215,75,76,28.1,
1220,76,79,26.98,
1225,76,87,27.34,
1230,71,80,28.13,
1235,77,82,27.89,
1240,78,80,28.15,
1245,80,76,28.03,
1250,82,73,28.130000000000003,
1255,86,83,28.689999999999998,
1260,76,74,27.44,
1265,72,88,27.490000000000002,
1270,75,80,28.55,
1275,75,78,27.3,
1280,82,72,27.919999999999998,
1285,69,77,28.18,
1290,78,85,29.3,
1295,79,64,28.31,
1300,78,82,28.23,
1305,76,84,28.21,
1310,76,83,27.05,
1315,73,80,27.75,
1320,65,60,27.37,
1325,81,78,28.91,
1330,76,74,27.7,
1335,81,81,28.34,
1340,71,80,28.09,
1345,73,79,26.85,
1350,77,85,28.599999999999998,
1355,69,82,34.51,
1360,77,83,27.3,
1365,74,80,28.48,
1370,71,84,28.45,
1375,82,78,27.93,
1380,82,85,27.11,
1385,74,80,27.810000000000002,
1390,79,74,27.86,
1395,89,81,28.15,
1400,84,82,27.950000000000003,
