episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
2305,83,408,112.55999999999999,
2310,53,258,111.10000000000001,
2315,51,255,119.68,
2320,45,252,116.36,
2325,53,251,115.86,
2330,53,241,118.56,
2335,52,260,112.27,
2340,49,211,117.55,
2345,44,203,112.94,
2350,48,209,108.95,
2355,46,255,123.29,
2360,46,235,116.75,
2365,49,249,118.08,
2370,50,217,118.88,
2375,50,251,112.37,
2380,50,253,121.54,
2385,47,285,120.7,
2390,56,234,117.10000000000001,
2395,56,260,113.51,
2400,47,193,114.99,
2405,41,205,112.83,
2410,51,245,119.45,
2415,54,259,114.91000000000001,
2420,51,255,123.61,
2425,46,253,109.66,
2430,48,232,111.13000000000001,
2435,55,221,120.26,
2440,51,278,128.66,
2445,46,286,112.01,
2450,52,222,112.59,
2455,53,278,132.07,
2460,49,275,114.81,
2465,49,193,114.16999999999999,
2470,43,180,111.27000000000001,
2475,55,254,119.33,
2480,57,260,125.91,
2485,54,283,120.86,
2490,49,273,115.58,
2495,50,293,126.36,
2500,51,277,116.81,
2505,49,254,118.19,
2510,47,292,121.27000000000001,
2515,57,304,118.92999999999999,
2520,55,279,122.48,
2525,42,234,114.47,
2530,45,204,116.84,
2535,56,290,127.34,
2540,56,290,137.95,
2545,52,293,125.51,
2550,48,216,124.95,
2555,51,276,115.27000000000001,
2560,47,251,126.53,
2565,46,237,128.09,
2570,58,246,122.08999999999999,
2575,55,287,127.53999999999999,
2580,44,194,120.44,
2585,56,269,142.32000000000002,
2590,58,284,115.21000000000001,
2595,46,249,128.7,
2600,50,251,121.09,
2605,48,226,114.97,
2610,45,214,123.58,
2615,56,293,128.14,
2620,45,248,143.57,
2625,52,309,140.54000000000002,
2630,53,270,123.58,
2635,57,273,116.49000000000001,
2640,53,291,130.09,
2645,49,291,116.07000000000001,
2650,50,183,116.06,
2655,53,305,127.09,
2660,56,266,145.20000000000002,
2665,54,313,124.01,
2670,37,184,124.69999999999999,
2675,54,284,123.39,
2680,63,269,119.59,
2685,52,294,125.21000000000001,
2690,45,179,119.25,
2695,48,251,122.12,
2700,49,246,130.29000000000002,
2705,51,325,130.15,
2710,48,329,119.16,
2715,52,323,134.65,
2720,57,323,122.9,
2725,58,313,139.39000000000001,
2730,52,325,124.19,
2735,54,201,117.16000000000001,
2740,54,275,132.58,
2745,45,316,129.82,
2750,41,238,141.04999999999998,
2755,58,279,117.13,
2760,42,198,120.03,
2765,43,296,132.95,
2770,45,274,124.59,
2775,42,264,129.42000000000002,
2780,46,224,133.35,
2785,53,286,143.85,
2790,53,195,141.55999999999997,
2795,58,322,117.59,
2800,46,213,117.46000000000001,
2805,53,327,137.94,
2810,55,252,126.73,
2815,53,292,132.3,
2820,53,249,129.63,
2825,57,310,134.62,
2830,55,285,130.32,
2835,50,306,120.23,
2840,58,330,143.4,
2845,54,315,125.04,
2850,51,233,126.27,
2855,52,314,146.19,
2860,48,130,148.33999999999997,
2865,49,311,118.78999999999999,
2870,47,226,126.78,
2875,46,262,132.3,
2880,48,278,124.7,
2885,38,233,123.65,
2890,41,206,123.71,
2895,61,302,124.92,
2900,55,292,131.07,
2905,55,313,136.51,
2910,53,216,132.99,
2915,63,306,125.55,
2920,45,203,120.5,
2925,57,311,153.05,
2930,50,307,131.39000000000001,
2935,46,275,121.25999999999999,
2940,50,302,137.65,
2945,54,316,134.07,
2950,47,270,122.54,
2955,49,275,132.60000000000002,
2960,42,229,129.18,
2965,55,299,128.81,
2970,54,304,142.61,
2975,54,334,124.6,
2980,42,158,120.39,
2985,51,307,135.84,
2990,44,231,139.24,
2995,50,314,128.13,
3000,38,210,124.12,
3005,57,299,137.31,
3010,53,207,137.17000000000002,
3015,53,283,130.76,
3020,46,204,130.38,
3025,54,217,123.09,
3030,52,241,133.63,
3035,54,279,130.09,
3040,53,298,135.29,
3045,59,336,132.88,
3050,54,275,133.10999999999999,
3055,52,312,128.3,
3060,57,299,139.76,
3065,58,331,124.80999999999999,
3070,50,197,129.49,
3075,56,237,136.58999999999997,
3080,56,333,145.39000000000001,
3085,60,320,127.38000000000001,
3090,50,235,126.02,
3095,50,162,121.5,
3100,57,300,133.31,
3105,51,283,138.35,
3110,60,305,141.14,
3115,53,334,137.76000000000002,
3120,56,299,126.57000000000001,
3125,55,294,134.10999999999999,
3130,47,272,145.73000000000002,
3135,48,302,131.25,
3140,49,221,141.47,
3145,66,336,125.12,
3150,52,271,152.89,
3155,61,333,130.61,
3160,57,330,152.75,
3165,58,326,128.29999999999998,
3170,43,227,129.79999999999998,
3175,41,240,126.86,
3180,60,327,154.36999999999998,
3185,54,322,123.3,
3190,42,235,130.97,
3195,55,325,141.67999999999998,
3200,53,318,122.42999999999999,
3205,50,257,120.83,
3210,56,270,130.1,
3215,55,280,125.2,
3220,49,217,127.46000000000001,
3225,49,208,119.35000000000001,
3230,51,284,137.59,
3235,59,312,131.14,
3240,44,244,127.79,
3245,48,234,123.55,
3250,58,266,135.19,
3255,49,302,143.59,
3260,52,279,133.01999999999998,
3265,53,317,137.0,
3270,47,215,130.95000000000002,
3275,48,298,126.54,
3280,50,252,128.42000000000002,
3285,52,294,141.85000000000002,
3290,60,295,131.02,
3295,48,267,124.0,
3300,44,175,131.27,
3305,62,340,140.01999999999998,
3310,63,350,127.88,
3315,47,333,146.79000000000002,
3320,61,328,132.32999999999998,
3325,54,340,128.57999999999998,
3330,62,331,126.50999999999999,
3335,40,228,126.75,
3340,55,272,121.6,
3345,60,352,165.77,
3350,63,343,137.09,
3355,43,267,132.03,
3360,52,323,158.35999999999999,
3365,58,313,133.67,
3370,43,203,132.68,
3375,58,303,137.34,
3380,45,302,128.5,
3385,57,262,135.98,
3390,54,249,128.4,
3395,57,276,127.27,
3400,41,232,121.72,
3405,52,345,157.19,
3410,54,288,127.69,
3415,49,330,141.63,
3420,59,301,150.56,
3425,56,350,132.05,
3430,37,97,140.34,
3435,56,354,138.69,
3440,43,203,125.38,
3445,52,259,134.95999999999998,
3450,40,83,128.9,
3455,57,350,165.46,
3460,59,333,145.62,
3465,41,182,150.21,
3470,44,297,129.01,
3475,47,276,126.31,
3480,39,173,129.74,
3485,42,285,132.43,
3490,38,265,132.75,
3495,47,335,159.82,
3500,46,184,137.89,
3505,47,267,133.9,
3510,47,264,124.68,
3515,45,255,136.71,
3520,45,147,127.27000000000001,
3525,51,310,125.89999999999999,
3530,55,328,142.18,
3535,50,246,126.8,
3540,58,279,132.54999999999998,
3545,49,267,123.92,
3550,55,280,132.76,
3555,57,344,136.05,
3560,53,342,129.29,
3565,62,348,132.98,
3570,59,303,149.23000000000002,
3575,56,334,129.19,
3580,42,174,130.32,
3585,44,282,126.44,
3590,38,118,133.35999999999999,
3595,61,340,152.97,
3600,50,322,128.69,
3605,49,317,138.07000000000002,
3610,53,310,134.57999999999998,
3615,46,282,130.59,
3620,53,252,138.3,
3625,47,272,120.27,
3630,48,318,151.64,
3635,49,326,132.8,
3640,57,320,163.71,
3645,56,339,121.7,
3650,49,177,125.85000000000001,
3655,54,329,157.51,
3660,56,289,130.71,
3665,48,198,124.77000000000001,
3670,39,276,142.32,
3675,49,260,131.79,
3680,50,216,139.78,
3685,55,328,133.76000000000002,
3690,41,71,137.73,
3695,37,69,139.15,
3700,40,166,131.19,
3705,59,367,164.81,
3710,37,71,160.63,
3715,51,280,137.73,
3720,46,322,128.10999999999999,
3725,45,178,133.32999999999998,
3730,57,217,127.25999999999999,
3735,46,266,127.67,
3740,42,268,135.76,
3745,48,268,141.96,
3750,55,293,143.83999999999997,
3755,50,325,140.34,
3760,42,56,139.60999999999999,
3765,62,365,145.7,
3770,52,312,147.01999999999998,
3775,47,245,133.35,
3780,33,76,130.93,
3785,39,112,128.05,
3790,36,108,139.01999999999998,
3795,49,369,136.07000000000002,
3800,48,123,140.51,
3805,56,361,142.07000000000002,
3810,48,255,122.98,
3815,54,248,132.64999999999998,
3820,58,273,153.74,
3825,61,371,145.23999999999998,
3830,48,130,127.25,
3835,57,272,138.8,
3840,52,209,154.66,
3845,47,323,125.69,
3850,48,235,138.42000000000002,
3855,39,95,132.76999999999998,
3860,55,299,144.64999999999998,
3865,53,267,131.34,
3870,43,347,143.43,
3875,53,309,123.06,
3880,44,159,129.85,
3885,51,160,129.86,
3890,47,176,128.0,
3895,50,180,131.04000000000002,
3900,54,200,128.96,
3905,47,318,151.13,
3910,60,290,150.1,
3915,52,237,142.52,
3920,50,314,129.6,
3925,49,229,133.27,
3930,46,247,134.55,
3935,48,348,172.17999999999998,
3940,46,122,147.0,
3945,53,316,141.59,
3950,48,57,140.92,
3955,57,350,136.39000000000001,
3960,56,222,156.38,
3965,53,345,148.95999999999998,
3970,46,51,142.87,
3975,56,326,126.42,
3980,48,284,131.63,
3985,47,184,147.96,
3990,45,279,144.57999999999998,
3995,54,351,165.78,
4000,54,282,134.27,
4005,53,313,141.74,
4010,39,51,143.66,
4015,50,346,138.83999999999997,
4020,62,347,146.99,
4025,52,375,167.17000000000002,
4030,47,184,139.70999999999998,
4035,56,332,128.63,
4040,41,159,127.78999999999999,
4045,49,341,156.09,
4050,48,99,155.0,
4055,49,371,129.57,
4060,48,141,146.03,
4065,54,374,133.75,
4070,45,177,145.55,
4075,43,234,161.66,
4080,45,56,172.16,
4085,51,356,146.67,
4090,43,54,146.25,
4095,48,329,128.39,
4100,44,204,144.9,
4105,51,258,155.66,
4110,52,194,146.21,
4115,57,332,135.46,
4120,55,335,147.66,
4125,60,382,129.92,
4130,49,162,134.67000000000002,
4135,51,135,143.04,
4140,50,303,177.21,
4145,53,370,140.85999999999999,
4150,50,369,171.96,
4155,50,371,156.89,
4160,45,378,132.79999999999998,
4165,48,369,142.38000000000002,
4170,53,104,142.59,
4175,48,260,129.31,
4180,48,211,134.14000000000001,
4185,57,368,156.7,
4190,49,177,134.79,
4195,48,353,138.61,
4200,50,305,143.57,
4205,52,168,139.5,
4210,54,290,126.74000000000001,
4215,55,226,135.34,
4220,42,196,139.22,
4225,54,233,132.38,
4230,52,259,140.49,
4235,47,187,137.57000000000002,
4240,52,96,148.89000000000001,
4245,52,363,128.73999999999998,
4250,50,268,149.05,
4255,37,354,122.83,
4260,51,285,129.63,
4265,48,334,145.83999999999997,
4270,54,69,134.85,
4275,50,374,183.02,
4280,59,380,127.49000000000001,
4285,51,331,126.71,
4290,50,82,142.28,
4295,45,375,175.8,
4300,39,333,128.5,
