episode,shifted_humans,shifted_avs,machine_ratio
2010,217 338 445 475,None,0.20773930753564154
2020,190 266 324 407 454,None,0.21792260692464357
2030,73 86 92 96 124 192 218 369 389,None,0.23625254582484725
2040,22 27,None,0.24032586558044808
2050,51 59 229 321,None,0.2484725050916497
2060,138 159 242 243 290 383,None,0.2606924643584521
2070,34 36 70 257 342 465,None,0.2729124236252546
2080,145 303 479,None,0.2790224032586558
2090,205 213 296,None,0.285132382892057
2100,139 174 463,None,0.29124236252545826
2110,44 223 399 414,None,0.29938900203665986
2120,137 151 271,None,0.3054989816700611
2130,48 90 477,None,0.31160896130346233
2140,183 263 339 431,None,0.319755600814664
2150,42 94 129 179 294 327 423 490,None,0.3360488798370672
2160,38 309 345,None,0.3421588594704684
2170,360 367 401 427,None,0.35030549898167007
2180,21 84 178 233 326,None,0.3604887983706721
2190,47 168 219 237 249 315 379,431,0.3727087576374745
2200,246 276 304 346,None,0.38085539714867617
2210,2 50 203 352 480,None,0.3910386965376782
2220,361 403,None,0.395112016293279
2230,33 88 350 398,None,0.40325865580448067
2240,64 245 259 362 376,None,0.4134419551934827
2250,5 191 310 392,None,0.4215885947046843
2260,156 282,276,0.42362525458248473
2270,65 89 248,None,0.42973523421588594
2280,406 451,None,0.43380855397148677
2290,214 365 405 421,None,0.4419551934826884
2300,10 344,None,0.4460285132382892
2310,149 193 306 430,None,0.45417515274949083
2320,132 142,348,0.45621181262729127
2330,434 437,284,0.45824847250509165
2340,None,None,0.45824847250509165
2350,332,None,0.46028513238289204
2360,273 386,None,0.46435845213849286
2370,12 275,None,0.4684317718940937
2380,122 280 301 351,386,0.4745417515274949
2390,54,None,0.47657841140529533
2400,25 79,None,0.48065173116089616
2410,40 195 322,None,0.48676171079429736
2420,308 390 464,272,0.4908350305498982
2430,29 120,19 322,0.4908350305498982
2440,None,None,0.4908350305498982
2450,125 384 458,None,0.4969450101832994
2460,99 116 126 371,None,0.505091649694501
2470,311 333 373,None,0.5112016293279023
2480,None,None,0.5112016293279023
2490,231 354,None,0.515274949083503
2500,115 395,315 362,0.515274949083503
2510,481,None,0.5173116089613035
2520,6 113 400,None,0.5234215885947047
2530,7 20,None,0.5274949083503055
2540,98 372,None,0.5315682281059063
2550,335,None,0.5336048879837068
2560,297 366 381 418 450,280,0.5417515274949084
2570,164,54,0.5417515274949084
2580,189 410 431,None,0.5478615071283096
2590,176,None,0.5498981670061099
2600,107,None,0.5519348268839104
2610,23 250,None,0.5560081466395111
2620,196,None,0.5580448065173116
2630,206 207 255 472,None,0.5661914460285132
2640,117 298 446,324,0.570264765784114
2650,97 236 404,None,0.5763747454175153
2660,49 127 222 412 452 486,382,0.5865580448065173
2670,None,175,0.5845213849287169
2680,63 76 487,None,0.5906313645621182
2690,8,425,0.5906313645621182
2700,456,9,0.5906313645621182
2710,319 387,21 97,0.5906313645621182
2720,95 162 239 265,None,0.5987780040733197
2730,None,None,0.5987780040733197
2740,187 258 274,None,0.604887983706721
2750,357,None,0.6069246435845214
2760,121 328,191,0.6089613034623218
2770,None,None,0.6089613034623218
2780,226,None,0.6109979633401222
2790,77,None,0.6130346232179226
2800,None,117,0.6109979633401222
2810,17 157 359 461,None,0.6191446028513238
2820,269 422 432,230 124,0.6211812627291242
2830,198 117,None,0.6252545824847251
2840,295 191,None,0.6293279022403259
2850,53,None,0.6313645621181263
2860,1 385,None,0.6354378818737271
2870,216 261 476,None,0.6415478615071283
2880,270 9,None,0.6456211812627292
2890,267,None,0.6476578411405295
2900,111 300 436 284,107,0.6537678207739308
2910,131 235 330 324,None,0.6619144602851323
2920,57,None,0.6639511201629328
2930,None,None,0.6639511201629328
2940,123 293,None,0.6680244399185336
2950,336,None,0.670061099796334
2960,None,None,0.670061099796334
2970,262 397,None,0.6741344195519349
2980,281 334,None,0.6782077393075356
2990,None,332,0.6761710794297352
3000,307 124,None,0.6802443991853361
3010,130 165,None,0.6843177189409368
3020,220 238 411,None,0.6904276985743381
3030,62,None,0.6924643584521385
3040,16 396,84,0.6945010183299389
3050,221 21,None,0.6985743380855397
3060,394,51,0.6985743380855397
3070,None,None,0.6985743380855397
3080,None,None,0.6985743380855397
3090,None,179 176,0.6945010183299389
3100,388 19,None,0.6985743380855397
3110,416 438 332,None,0.7046843177189409
3120,171,None,0.7067209775967414
3130,252 455,None,0.7107942973523421
3140,30 91,92 389,0.7107942973523421
3150,184 440,None,0.714867617107943
3160,340 442 272,None,0.7209775967413442
3170,154 285,476,0.7230142566191446
3180,133 488,None,0.7270875763747454
3190,None,390 121,0.7230142566191446
3200,None,None,0.7230142566191446
