episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
2305,73,418,111.9,
2310,35,219,117.0,
2315,42,205,114.08,
2320,36,223,112.22,
2325,35,219,115.04,
2330,40,220,112.0,
2335,36,211,110.84,
2340,40,205,116.8,
2345,44,206,114.34,
2350,37,218,114.19999999999999,
2355,36,191,113.85,
2360,43,196,116.16,
2365,42,208,114.2,
2370,36,204,114.54,
2375,36,215,112.11999999999999,
2380,37,218,117.51,
2385,33,207,117.44,
2390,39,220,117.26,
2395,37,202,116.04,
2400,38,212,117.38,
2405,33,217,116.77,
2410,35,212,115.17,
2415,39,203,116.59,
2420,34,195,114.97999999999999,
2425,33,190,119.45,
2430,37,206,116.16,
2435,36,206,116.56,
2440,37,202,115.2,
2445,32,187,113.02,
2450,37,221,114.72,
2455,37,197,113.68,
2460,40,212,113.74,
2465,32,188,116.03,
2470,36,218,118.74000000000001,
2475,38,221,119.71,
2480,40,220,111.52,
2485,38,208,115.65,
2490,38,218,116.92999999999999,
2495,44,181,115.18,
2500,32,177,115.47,
2505,33,181,114.47,
2510,45,181,120.14,
2515,36,196,117.09,
2520,34,191,117.1,
2525,32,198,117.21000000000001,
2530,40,201,112.1,
2535,38,189,114.83999999999999,
2540,29,205,117.18,
2545,36,166,121.11999999999999,
2550,39,182,126.52,
2555,37,196,122.48,
2560,38,196,115.12,
2565,39,182,115.21,
2570,35,198,120.83,
2575,42,180,124.93,
2580,37,194,118.76,
2585,40,177,124.69000000000001,
2590,40,206,122.86,
2595,32,181,120.33000000000001,
2600,37,175,119.89999999999999,
2605,31,187,118.26,
2610,36,225,122.44,
2615,39,188,123.19,
2620,43,196,122.27,
2625,31,187,125.1,
2630,31,192,123.88000000000001,
2635,35,194,123.82,
2640,39,195,121.29,
2645,44,169,128.15,
2650,44,188,122.54,
2655,37,168,122.43,
2660,38,160,122.29,
2665,39,175,122.66999999999999,
2670,37,197,123.08,
2675,33,177,126.94999999999999,
2680,43,194,123.61,
2685,35,185,121.68,
2690,47,179,119.06,
2695,37,188,121.55999999999999,
2700,37,186,127.1,
2705,33,156,124.55,
2710,34,170,123.47000000000001,
2715,29,172,121.07,
2720,35,174,130.23999999999998,
2725,26,160,126.81,
2730,33,167,127.79,
2735,32,132,131.4,
2740,29,160,128.33,
2745,36,143,128.49,
2750,36,183,122.19,
2755,33,151,120.95,
2760,36,168,124.5,
2765,37,139,125.55999999999999,
2770,31,144,124.06,
2775,30,138,129.38,
2780,30,155,127.16000000000001,
2785,34,156,118.06,
2790,36,167,120.4,
2795,31,149,126.00999999999999,
2800,30,156,127.05,
2805,29,154,133.20000000000002,
2810,34,153,127.21,
2815,35,120,126.05,
2820,33,127,120.77,
2825,33,132,126.52,
2830,34,149,121.66,
2835,38,138,125.09,
2840,38,158,123.42,
2845,33,132,125.43,
2850,30,152,118.2,
2855,38,136,123.27,
2860,39,155,123.28,
2865,32,142,129.9,
2870,30,138,132.81,
2875,33,130,126.51,
2880,36,142,127.71,
2885,29,139,128.51,
2890,24,155,119.8,
2895,39,145,128.44,
2900,39,158,124.99,
2905,40,157,125.38000000000001,
2910,34,187,133.10999999999999,
2915,37,162,123.14,
2920,30,147,119.0,
2925,32,122,119.3,
2930,30,158,122.2,
2935,34,140,122.41,
2940,31,136,131.43,
2945,40,154,125.00999999999999,
2950,42,191,131.16,
2955,31,143,136.16,
2960,31,139,124.5,
2965,34,139,135.85,
2970,31,185,137.58,
2975,39,161,131.31,
2980,37,152,132.86,
2985,42,139,128.1,
2990,36,158,128.59,
2995,36,157,132.24,
3000,41,169,125.9,
3005,39,138,129.94,
3010,36,151,125.35000000000001,
3015,35,150,123.66,
3020,35,178,138.97,
3025,31,128,136.8,
3030,37,148,127.62,
3035,34,155,131.76,
3040,35,144,128.94,
3045,34,120,135.41,
3050,30,153,124.42999999999999,
3055,30,137,121.13,
3060,35,157,131.52,
3065,27,126,136.89000000000001,
3070,33,165,127.28,
3075,33,145,125.52000000000001,
3080,33,147,131.89,
3085,40,133,127.32,
3090,37,180,123.72,
3095,31,115,126.38,
3100,43,137,129.4,
3105,31,125,125.64,
3110,27,143,127.83000000000001,
3115,32,136,130.99,
3120,31,163,127.84,
3125,34,115,129.0,
3130,35,135,133.88,
3135,29,146,129.73999999999998,
3140,34,171,128.8,
3145,36,112,134.16000000000003,
3150,42,155,128.38,
3155,35,123,127.32,
3160,35,126,130.0,
3165,33,117,135.51999999999998,
3170,30,144,118.66000000000001,
3175,37,103,131.36,
3180,35,145,130.3,
3185,34,114,122.33,
3190,38,164,132.97,
3195,37,133,126.64,
3200,36,147,130.33,
3205,30,100,122.32,
3210,33,146,116.57,
3215,34,125,126.94,
3220,26,126,129.23,
3225,30,118,137.4,
3230,37,133,140.05,
3235,34,114,127.74000000000001,
3240,28,125,124.04,
3245,36,89,130.66,
3250,35,105,129.56,
3255,32,115,134.87,
3260,40,149,131.36,
3265,32,131,134.34,
3270,33,125,127.01,
3275,35,128,132.16,
3280,41,120,130.48,
3285,39,110,137.68,
3290,40,133,138.41,
3295,32,97,137.93,
3300,34,117,131.35,
3305,41,104,133.2,
3310,33,128,126.9,
3315,33,114,126.35,
3320,37,141,129.09,
3325,34,111,131.8,
3330,37,114,133.2,
3335,38,115,126.5,
3340,38,133,131.92,
3345,34,111,129.3,
3350,38,159,131.14,
3355,31,133,135.39,
3360,38,142,127.67,
3365,34,99,135.51,
3370,32,116,138.42,
3375,30,128,131.68,
3380,36,122,129.19,
3385,34,88,126.10000000000001,
3390,35,126,139.68,
3395,33,95,138.03,
3400,30,137,129.08,
3405,33,117,132.83,
3410,39,114,129.5,
3415,33,107,135.29,
3420,42,113,143.42000000000002,
3425,29,98,140.88,
3430,32,120,140.37,
3435,32,117,140.34,
3440,45,164,134.53,
3445,34,130,132.28,
3450,40,126,126.72,
3455,39,98,129.67,
3460,35,97,133.36999999999998,
3465,34,105,135.63,
3470,37,117,135.35,
3475,35,119,134.09,
3480,33,141,128.06,
3485,40,108,130.74,
3490,41,143,124.5,
3495,30,114,131.23,
3500,34,119,130.47,
3505,40,91,130.22,
3510,39,123,127.21,
3515,36,106,129.35,
3520,38,108,124.55999999999999,
3525,25,105,128.55,
3530,29,141,133.9,
3535,32,103,133.58,
3540,36,110,131.17000000000002,
3545,32,92,135.26999999999998,
3550,41,101,140.63,
3555,38,109,130.57,
3560,31,123,127.61999999999999,
3565,34,92,135.66,
3570,42,109,135.95999999999998,
3575,34,118,134.34,
3580,36,127,133.31,
3585,33,89,134.21,
3590,38,86,134.87,
3595,34,81,129.92000000000002,
3600,34,104,132.27,
3605,35,82,128.59,
3610,42,82,134.62,
3615,35,109,131.13,
3620,38,118,124.91,
3625,38,113,130.18,
3630,38,135,130.21,
3635,37,102,134.22,
3640,36,138,136.54000000000002,
3645,38,105,132.73,
3650,43,84,131.32,
3655,44,123,128.68,
3660,33,134,131.47,
3665,36,90,123.83999999999999,
3670,36,117,126.42999999999999,
3675,41,85,130.46,
3680,37,107,129.45,
3685,35,85,133.59,
3690,34,105,130.24,
3695,42,101,126.72,
3700,36,154,130.72,
3705,35,80,135.47,
3710,36,138,130.19,
3715,36,101,128.5,
3720,41,120,132.78,
3725,39,108,125.58,
3730,35,151,126.98,
3735,35,113,123.21000000000001,
3740,36,125,126.5,
3745,40,106,128.64,
3750,35,128,126.47999999999999,
3755,35,89,124.86,
3760,38,111,125.6,
3765,43,82,121.0,
3770,33,119,123.72,
3775,30,90,128.26999999999998,
3780,34,90,120.72,
3785,33,88,129.57,
3790,38,123,134.42,
3795,37,102,129.59,
3800,33,110,127.89,
3805,34,85,121.92,
3810,33,147,120.25999999999999,
3815,35,117,125.62,
3820,35,116,126.72,
3825,31,82,125.03,
3830,37,157,122.87,
3835,43,104,121.34,
3840,36,137,129.54,
3845,33,101,135.08,
3850,38,138,131.39,
3855,32,136,130.28,
3860,33,103,124.44000000000001,
3865,35,85,130.22,
3870,34,90,126.82,
3875,31,75,127.91,
3880,39,98,123.75,
3885,42,63,127.35,
3890,40,99,132.32999999999998,
3895,37,109,131.95,
3900,31,82,138.66,
3905,40,73,133.9,
3910,36,118,125.51,
3915,33,76,124.08,
3920,36,120,126.47,
3925,36,82,128.11,
3930,32,87,128.46,
3935,32,51,132.41,
3940,34,89,133.26000000000002,
3945,38,95,132.1,
3950,43,127,129.57999999999998,
3955,38,90,127.34,
3960,41,96,127.29,
3965,39,76,132.87,
3970,39,88,131.10999999999999,
3975,37,59,124.54,
3980,42,106,133.51000000000002,
3985,34,81,122.10000000000001,
3990,36,99,127.36999999999999,
3995,41,76,123.47,
4000,29,97,128.41,
4005,41,78,125.53,
4010,44,73,131.97,
4015,41,84,133.89,
4020,37,85,130.93,
4025,36,59,129.34,
4030,38,63,129.58,
4035,41,97,123.36999999999999,
4040,36,126,123.66,
4045,42,77,121.19,
4050,38,91,124.2,
4055,39,85,128.55,
4060,42,89,125.48,
4065,40,56,123.06,
4070,32,88,128.57999999999998,
4075,39,55,128.28,
4080,37,88,124.14999999999999,
4085,39,69,123.49,
4090,40,105,125.25999999999999,
4095,40,63,125.64,
4100,42,79,127.27000000000001,
4105,43,59,131.14,
4110,47,84,130.94,
4115,37,115,120.59,
4120,36,98,124.28,
4125,40,94,120.13000000000001,
4130,36,99,125.64,
4135,51,74,125.88000000000001,
4140,37,128,130.61,
4145,39,77,131.41,
4150,35,101,139.03,
4155,41,83,131.84,
4160,35,104,133.88,
4165,42,70,134.27,
4170,40,117,127.37,
4175,40,102,130.13,
4180,37,103,127.24,
4185,40,75,122.96,
4190,36,99,126.81,
4195,36,112,121.75,
4200,36,97,131.61,
4205,47,75,139.51000000000002,
4210,47,98,134.39,
4215,39,92,143.23,
4220,37,111,129.9,
4225,28,78,125.36,
4230,40,109,124.42999999999999,
4235,40,70,124.49,
4240,39,80,122.89,
4245,39,85,122.83000000000001,
4250,45,91,129.79999999999998,
4255,39,68,126.09,
4260,37,102,129.58,
4265,44,84,129.24,
4270,39,102,128.63,
4275,41,61,137.59,
4280,43,123,129.32,
4285,33,68,130.9,
4290,42,70,138.54,
4295,37,60,125.55,
4300,43,107,129.0,
