episode,shifted_humans,shifted_avs,machine_ratio
2010,62 89 122 261 316 373 465,None,0.21384928716904278
2020,296 306 418,None,0.219959266802444
2030,310 319 481,None,0.22606924643584522
2040,52 111 415 486,None,0.23421588594704684
2050,79 191 371 459,None,0.24236252545824846
2060,38 330 414,None,0.2484725050916497
2070,76 328 366,284,0.2525458248472505
2080,29,None,0.2545824847250509
2090,36 82 294 412 487,None,0.26476578411405294
2100,213,None,0.2668024439918534
2110,57 273 461,None,0.2729124236252546
2120,336 422,202,0.27494908350305497
2130,21 347,None,0.2790224032586558
2140,108 397 489,None,0.285132382892057
2150,282 304 432,None,0.29124236252545826
2160,56 86 421 439,None,0.29938900203665986
2170,464,None,0.3014256619144603
2180,17 192 385,None,0.3075356415478615
2190,16 457,None,0.31160896130346233
2200,154 233 351 395 408,180,0.319755600814664
2210,178 218 259 267,None,0.32790224032586557
2220,44 301,None,0.3319755600814664
2230,63 84 98 131 279 357,None,0.34419551934826886
2240,37 75 193 263 354 409 440,None,0.35845213849287166
2250,73 172,None,0.3625254582484725
2260,30 32 216 285 346 367,370,0.3727087576374745
2270,203 210,13,0.37474541751527496
2280,274 450,None,0.3788187372708758
2290,55 96 325,None,0.384928716904277
2300,39 115 211 331,247,0.3910386965376782
2310,126 322 352 476 202,None,0.40122199592668023
2320,113,None,0.40325865580448067
2330,308 384 392 478,None,0.41140529531568226
2340,None,None,0.41140529531568226
2350,262 383,None,0.4154786150712831
2360,50 269 324 327,None,0.42362525458248473
2370,217 268 334,485,0.42769857433808556
2380,117 123 283 309 338 387,None,0.439918533604888
2390,133 221 234 278 293,None,0.45010183299389
2400,248 320,260,0.45213849287169044
2410,462,None,0.45417515274949083
2420,174 223 303 427 442 477,197,0.46435845213849286
2430,65 163,None,0.4684317718940937
2440,295 475,None,0.4725050916496945
2450,81 87 153 275 333 353 449,None,0.48676171079429736
2460,None,None,0.48676171079429736
2470,20 181 246 258 339 365,None,0.4989816700610998
2480,394 419,None,0.5030549898167006
2490,1 6 377,79,0.5071283095723014
2500,138 242,None,0.5112016293279023
2510,156,None,0.5132382892057027
2520,196,None,0.515274949083503
2530,49 194 332,None,0.5213849287169042
2540,151 157 281 344 463,None,0.5315682281059063
2550,60,56 153 344,0.5274949083503055
2560,64 286,None,0.5315682281059063
2570,360,None,0.5336048879837068
2580,136 435,330,0.5356415478615071
2590,35 406 490,None,0.5417515274949084
2600,None,None,0.5417515274949084
2610,323,None,0.5437881873727087
