episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
2305,73,418,117.63,
2310,37,236,115.0,
2315,42,234,115.48,
2320,38,228,117.75,
2325,36,237,118.72,
2330,43,240,120.89,
2335,36,240,115.42,
2340,40,216,122.25999999999999,
2345,47,233,117.13000000000001,
2350,39,242,118.3,
2355,39,212,118.79,
2360,44,228,115.31,
2365,48,236,116.28,
2370,41,232,119.28,
2375,37,230,117.02,
2380,42,232,125.07000000000001,
2385,38,233,118.11,
2390,43,237,122.13000000000001,
2395,42,234,119.11999999999999,
2400,42,233,123.42,
2405,39,246,123.0,
2410,40,225,124.75999999999999,
2415,44,231,124.17999999999999,
2420,35,222,120.14,
2425,36,222,128.68,
2430,42,242,122.60000000000001,
2435,36,239,125.83,
2440,35,225,123.27000000000001,
2445,36,225,127.37,
2450,35,236,121.42999999999999,
2455,45,230,115.33,
2460,42,239,125.28,
2465,33,225,123.53999999999999,
2470,38,232,127.46000000000001,
2475,41,245,128.34,
2480,40,246,123.39999999999999,
2485,43,255,123.1,
2490,41,225,125.33,
2495,45,236,124.22,
2500,33,221,123.91,
2505,36,215,122.82,
2510,48,222,126.3,
2515,38,227,123.09,
2520,38,232,126.99000000000001,
2525,38,240,123.21000000000001,
2530,43,224,129.45,
2535,43,220,125.61,
2540,30,238,121.8,
2545,36,216,123.91,
2550,41,217,128.64,
2555,43,229,120.09,
2560,44,217,126.31,
2565,40,222,121.41999999999999,
2570,38,229,122.52,
2575,46,221,127.81,
2580,39,224,128.32,
2585,45,231,129.55,
2590,39,229,124.44,
2595,37,226,125.24000000000001,
2600,37,208,122.50999999999999,
2605,34,236,126.97,
2610,40,247,126.12,
2615,42,233,129.23,
2620,41,210,119.2,
2625,33,224,121.67999999999999,
2630,35,232,128.6,
2635,36,236,127.25,
2640,43,227,127.3,
2645,49,215,124.14,
2650,45,210,125.41999999999999,
2655,45,218,125.46000000000001,
2660,42,245,123.85,
2665,45,220,127.5,
2670,36,204,121.21000000000001,
2675,36,229,130.72,
2680,44,228,125.92,
2685,39,214,134.35,
2690,49,201,119.47,
2695,37,217,128.96,
2700,39,218,129.51,
2705,38,213,128.11,
2710,39,220,120.59,
2715,36,210,119.97,
2720,37,212,135.33,
2725,29,208,135.19000000000003,
2730,34,244,127.81,
2735,34,198,134.53,
2740,33,209,123.04,
2745,41,188,126.51,
2750,39,193,123.6,
2755,39,189,117.75,
2760,40,181,131.44,
2765,44,187,124.5,
2770,39,188,126.39999999999999,
2775,35,195,131.24,
2780,34,181,129.03,
2785,41,197,122.61,
2790,40,191,123.78999999999999,
2795,35,186,127.67999999999999,
2800,35,195,125.11,
2805,33,212,136.22000000000003,
2810,40,182,136.01,
2815,41,172,120.39,
2820,37,171,126.53,
2825,37,179,118.49,
2830,40,160,126.81,
2835,42,178,126.7,
2840,43,191,125.69,
2845,43,207,127.94999999999999,
2850,38,222,132.43,
2855,46,185,133.99,
2860,43,185,135.45999999999998,
2865,39,189,139.93,
2870,28,161,150.52,
2875,35,173,134.42999999999998,
2880,34,180,135.53,
2885,35,169,142.64,
2890,33,170,134.62,
2895,43,172,133.77,
2900,43,170,141.70000000000002,
2905,44,173,150.72,
2910,34,178,148.68,
2915,34,153,132.32,
2920,34,159,133.15,
2925,35,162,138.67000000000002,
2930,33,159,135.63,
2935,36,180,138.76999999999998,
2940,32,172,142.51000000000002,
2945,40,168,139.21,
2950,40,174,150.08,
2955,35,179,139.20000000000002,
2960,38,171,139.70000000000002,
2965,40,167,130.22,
2970,35,169,142.41,
2975,41,154,142.04000000000002,
2980,38,141,136.48,
2985,42,166,144.57,
2990,38,153,138.93,
2995,41,166,140.45000000000002,
3000,35,164,134.54999999999998,
3005,42,162,140.47,
3010,38,159,135.95000000000002,
3015,35,157,134.91,
3020,39,159,147.85999999999999,
3025,35,167,143.04000000000002,
3030,39,167,133.58,
3035,36,172,143.72,
3040,35,150,136.99,
3045,34,152,141.17,
3050,33,148,139.2,
3055,31,156,139.05,
3060,36,141,144.89,
3065,29,163,139.44,
3070,36,159,134.76,
3075,36,148,129.17000000000002,
