episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
1205,104,118,26.490000000000002,
1210,73,71,27.23,
1215,73,73,27.080000000000002,
1220,71,65,32.760000000000005,
1225,66,71,27.0,
1230,75,73,27.21,
1235,67,64,26.91,
1240,65,74,32.49,
1245,59,72,27.46,
1250,72,76,32.75,
1255,64,65,26.96,
1260,67,61,27.75,
1265,60,59,32.02,
1270,76,60,26.869999999999997,
1275,70,69,33.21,
1280,70,76,26.76,
1285,70,74,26.639999999999997,
1290,69,75,26.86,
1295,70,64,26.95,
1300,71,66,49.71,
1305,66,62,32.519999999999996,
1310,64,73,27.24,
1315,62,59,33.07,
1320,61,75,27.01,
1325,71,70,27.0,
1330,69,55,26.71,
1335,72,68,32.23,
1340,60,67,28.060000000000002,
1345,63,69,26.47,
1350,68,68,27.02,
1355,70,69,32.56,
1360,74,61,27.24,
1365,74,65,27.47,
1370,71,67,27.2,
1375,62,66,26.61,
1380,70,72,26.93,
1385,78,66,33.65,
1390,62,65,27.540000000000003,
1395,69,67,27.56,
1400,69,55,27.84,
1405,66,61,26.73,
1410,71,65,27.09,
1415,71,65,27.150000000000002,
1420,61,56,26.53,
1425,66,65,27.389999999999997,
1430,72,61,27.21,
1435,67,57,27.42,
1440,62,63,27.13,
1445,70,55,28.37,
1450,69,56,26.77,
1455,69,56,27.18,
1460,69,65,33.65,
1465,61,69,27.49,
1470,71,67,27.26,
1475,68,56,26.92,
1480,61,69,27.229999999999997,
1485,65,62,26.87,
1490,69,69,27.150000000000002,
1495,67,63,27.67,
1500,67,69,27.07,
1505,77,65,27.39,
1510,76,59,26.950000000000003,
1515,61,59,26.54,
1520,73,59,26.85,
1525,75,64,26.9,
1530,69,58,27.2,
1535,74,47,27.14,
1540,68,42,27.36,
1545,68,50,26.79,
1550,66,50,27.43,
1555,73,53,27.73,
1560,68,61,27.93,
1565,68,57,33.25,
1570,65,50,27.099999999999998,
1575,71,54,26.970000000000002,
1580,75,54,27.14,
1585,68,57,27.61,
1590,69,53,27.23,
1595,71,58,27.439999999999998,
1600,73,52,27.03,
1605,65,51,27.0,
1610,68,53,28.0,
1615,72,48,26.89,
1620,68,45,27.099999999999998,
1625,68,45,26.49,
1630,72,42,27.32,
1635,69,42,112.56,
1640,64,49,27.06,
1645,70,50,27.05,
1650,61,49,26.89,
1655,62,60,26.96,
1660,65,49,27.93,
1665,65,44,27.89,
1670,68,46,26.95,
1675,70,82,27.279999999999998,
1680,79,63,26.44,
1685,74,59,27.33,
1690,74,52,27.13,
1695,67,56,27.529999999999998,
1700,66,42,26.75,
1705,72,45,27.75,
1710,68,48,27.259999999999998,
1715,75,46,27.720000000000002,
1720,67,40,27.740000000000002,
1725,75,49,27.51,
1730,71,46,27.32,
1735,68,48,27.669999999999998,
1740,73,51,33.13,
1745,70,52,26.950000000000003,
1750,65,39,27.22,
1755,72,39,27.22,
1760,65,37,27.46,
1765,68,42,27.67,
1770,73,32,27.33,
1775,75,28,27.16,
1780,78,38,27.34,
1785,78,41,28.2,
1790,73,41,27.669999999999998,
1795,65,40,32.62,
1800,70,44,26.71,
1805,63,38,26.99,
1810,66,37,27.71,
1815,68,34,28.040000000000003,
1820,72,45,26.599999999999998,
1825,69,45,27.29,
1830,64,36,28.07,
1835,70,39,28.150000000000002,
1840,70,38,27.38,
1845,72,40,28.01,
1850,70,44,26.79,
1855,71,38,27.15,
1860,72,39,34.160000000000004,
1865,67,41,27.56,
1870,70,46,27.31,
1875,71,39,27.75,
1880,77,39,27.52,
1885,66,34,27.330000000000002,
1890,66,34,28.28,
1895,71,32,27.65,
1900,74,45,27.31,
1905,75,43,27.8,
1910,67,35,27.240000000000002,
1915,74,37,27.88,
1920,74,54,27.04,
1925,72,59,27.07,
1930,71,41,26.919999999999998,
1935,63,47,27.62,
1940,70,41,27.41,
1945,60,24,27.91,
1950,68,33,27.02,
1955,71,42,27.44,
1960,69,42,26.94,
1965,70,39,27.17,
1970,80,30,26.79,
1975,59,32,27.42,
1980,66,32,27.54,
1985,72,39,28.28,
1990,75,42,27.18,
1995,74,32,27.5,
2000,71,24,27.32,
2005,71,21,27.38,
2010,71,24,27.119999999999997,
2015,68,34,27.66,
2020,70,35,27.44,
2025,70,34,27.930000000000003,
2030,74,31,28.150000000000002,
2035,67,23,26.66,
2040,81,25,27.66,
2045,72,28,27.53,
2050,73,30,27.09,
2055,64,31,26.770000000000003,
2060,60,34,27.28,
2065,71,34,26.77,
2070,72,26,27.31,
2075,76,26,38.480000000000004,
2080,67,32,27.29,
2085,68,31,27.650000000000002,
2090,76,31,27.41,
2095,69,28,27.65,
2100,68,31,27.47,
2105,67,28,27.03,
2110,74,30,28.37,
2115,63,29,27.79,
2120,74,26,26.98,
2125,69,32,27.44,
2130,67,32,27.79,
2135,75,25,27.71,
2140,71,29,27.18,
2145,65,35,28.580000000000002,
2150,76,35,27.87,
2155,67,24,27.09,
2160,76,26,27.450000000000003,
2165,64,30,27.79,
2170,60,21,27.18,
2175,70,22,28.27,
2180,70,19,27.6,
2185,67,27,27.529999999999998,
2190,74,30,27.53,
2195,59,14,27.33,
2200,74,18,28.07,
