episode,shifted_humans,shifted_avs,machine_ratio
5010,158,None,0.20270270270270271
5020,None,None,0.20270270270270271
5030,0,None,0.2072072072072072
5040,87 200,None,0.21621621621621623
5050,88 93,None,0.22522522522522523
5060,10 67 95 131,None,0.24324324324324326
5070,196,None,0.24774774774774774
5080,None,None,0.24774774774774774
5090,217,None,0.25225225225225223
5100,135,None,0.25675675675675674
5110,None,None,0.25675675675675674
5120,21,None,0.26126126126126126
5130,None,None,0.26126126126126126
5140,37,None,0.26576576576576577
5150,170,None,0.2702702702702703
5160,71 76 142 166,None,0.2882882882882883
5170,None,None,0.2882882882882883
5180,None,None,0.2882882882882883
5190,171,None,0.2927927927927928
5200,None,None,0.2927927927927928
5210,None,None,0.2927927927927928
5220,133 216,None,0.30180180180180183
5230,72 177,None,0.3108108108108108
5240,None,None,0.3108108108108108
5250,70 149,None,0.31981981981981983
5260,None,None,0.31981981981981983
5270,None,None,0.31981981981981983
5280,56 172,None,0.32882882882882886
5290,None,None,0.32882882882882886
5300,None,None,0.32882882882882886
5310,114,None,0.3333333333333333
5320,20 79,None,0.34234234234234234
5330,186,None,0.34684684684684686
5340,None,None,0.34684684684684686
5350,83 122,None,0.35585585585585583
5360,39 156,None,0.36486486486486486
5370,None,None,0.36486486486486486
5380,130,None,0.36936936936936937
5390,145,None,0.3738738738738739
5400,174,None,0.3783783783783784
5410,None,None,0.3783783783783784
5420,199,None,0.38288288288288286
5430,None,None,0.38288288288288286
5440,None,None,0.38288288288288286
5450,None,None,0.38288288288288286
5460,143,None,0.38738738738738737
5470,None,None,0.38738738738738737
5480,89 183,None,0.3963963963963964
5490,None,None,0.3963963963963964
5500,None,None,0.3963963963963964
5510,38,None,0.4009009009009009
5520,7 132,None,0.4099099099099099
5530,197,None,0.4144144144144144
5540,None,None,0.4144144144144144
5550,30,None,0.4189189189189189
5560,144,None,0.42342342342342343
5570,None,None,0.42342342342342343
5580,65,None,0.42792792792792794
5590,212,None,0.43243243243243246
5600,None,None,0.43243243243243246
5610,None,None,0.43243243243243246
5620,16 58 194,None,0.44594594594594594
5630,None,None,0.44594594594594594
5640,None,None,0.44594594594594594
5650,None,None,0.44594594594594594
5660,None,None,0.44594594594594594
5670,None,None,0.44594594594594594
5680,155,None,0.45045045045045046
5690,None,None,0.45045045045045046
5700,101,None,0.45495495495495497
5710,45 61,None,0.46396396396396394
5720,None,None,0.46396396396396394
5730,None,None,0.46396396396396394
5740,None,None,0.46396396396396394
5750,41,None,0.46846846846846846
5760,150,None,0.47297297297297297
5770,None,None,0.47297297297297297
5780,162,None,0.4774774774774775
5790,None,None,0.4774774774774775
5800,207,None,0.481981981981982
5810,115 168,None,0.49099099099099097
5820,None,None,0.49099099099099097
5830,96,None,0.4954954954954955
5840,148,None,0.5
5850,None,None,0.5
5860,123 134,None,0.509009009009009
5870,None,None,0.509009009009009
5880,176 219,None,0.5180180180180181
5890,136 189,None,0.527027027027027
5900,None,None,0.527027027027027
5910,91,None,0.5315315315315315
5920,22 35,None,0.5405405405405406
5930,14 218,None,0.5495495495495496
5940,113 117,None,0.5585585585585585
5950,None,None,0.5585585585585585
5960,None,None,0.5585585585585585
5970,169,None,0.5630630630630631
5980,None,None,0.5630630630630631
5990,None,None,0.5630630630630631
