episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
405,237,254,114.56,
410,125,163,121.25,
415,132,165,120.88,
420,136,161,121.44999999999999,
425,133,166,118.91,
430,123,150,118.84,
435,132,154,123.06,
440,145,162,114.77,
445,119,164,126.06,
450,129,167,116.83,
455,136,162,119.03,
460,133,163,114.15,
465,126,155,119.29,
470,138,157,117.44,
475,136,161,127.39999999999999,
480,141,172,119.56,
485,137,166,120.83999999999999,
490,127,171,114.85000000000001,
495,124,153,118.6,
500,143,167,116.29,
505,135,167,121.92,
510,131,149,121.97,
515,135,169,116.08,
520,136,157,119.2,
525,131,163,112.87,
530,122,170,121.45,
535,135,164,115.15,
540,132,166,120.9,
545,131,177,121.9,
550,127,181,124.22,
555,140,172,118.75,
560,131,170,114.83,
565,128,173,120.41,
570,143,174,121.42,
575,126,169,122.02000000000001,
580,133,167,122.75,
585,132,159,121.91,
590,138,162,126.87,
595,140,177,127.81,
600,133,179,119.72999999999999,
605,135,169,128.67,
610,128,171,133.0,
615,130,167,122.71,
620,134,180,115.48,
625,131,157,116.38,
630,124,169,119.76,
635,132,159,123.67999999999999,
640,137,172,129.18,
645,139,168,122.75,
650,140,165,121.27,
655,131,152,124.92999999999999,
660,117,161,120.71,
665,134,171,123.96,
670,139,170,126.18,
675,132,174,115.55000000000001,
680,132,172,118.73,
685,120,179,122.35000000000001,
690,133,181,122.99,
695,137,174,122.39,
700,140,185,118.92,
705,138,169,119.37,
710,129,181,121.92,
715,121,163,127.22000000000001,
720,131,176,127.64,
725,145,181,114.42,
730,141,180,122.96000000000001,
735,116,172,120.3,
740,133,162,124.59,
745,136,165,123.74,
750,126,170,123.31,
755,137,181,122.96,
760,128,180,121.76,
765,131,182,115.58,
770,132,175,122.75999999999999,
775,148,175,123.18,
780,135,170,126.41,
785,142,180,125.58,
790,152,171,119.47,
795,144,170,121.57000000000001,
800,135,177,118.89999999999999,
805,134,172,129.52,
810,129,168,121.42999999999999,
815,129,181,129.24,
820,136,177,123.12,
825,127,167,126.8,
830,123,174,135.05,
835,133,175,123.8,
840,139,166,118.14,
845,131,181,126.9,
850,132,176,122.9,
855,146,171,122.51,
860,140,178,117.15,
865,133,175,121.36999999999999,
870,133,173,124.86000000000001,
875,125,172,131.54,
880,134,173,120.84,
885,124,179,116.92,
890,127,183,119.61999999999999,
895,135,175,123.13,
900,134,168,130.22,
905,146,184,118.47,
910,138,175,129.01,
915,139,189,114.4,
920,118,187,121.55,
925,125,173,127.78,
930,113,179,124.99,
935,125,175,124.82,
940,120,173,128.27,
945,128,179,133.03,
950,140,179,125.19,
955,138,172,121.64,
960,134,167,124.80000000000001,
965,134,183,125.39,
970,124,180,124.57,
975,136,176,129.09,
980,132,185,124.8,
985,124,173,120.64,
990,137,189,133.91000000000003,
995,131,179,126.30000000000001,
1000,130,180,134.49,
1005,142,174,136.72,
1010,127,183,126.06,
1015,132,183,125.44,
1020,122,188,132.07999999999998,
1025,121,178,136.14999999999998,
1030,136,191,128.17000000000002,
1035,132,174,124.35000000000001,
1040,129,176,123.46,
1045,132,176,122.42999999999999,
1050,141,193,122.82000000000001,
1055,124,181,129.0,
1060,133,187,126.14999999999999,
1065,134,193,131.20999999999998,
1070,111,180,124.38,
1075,121,170,140.10999999999999,
1080,125,192,134.41,
1085,138,178,136.57,
1090,129,169,129.64,
1095,128,180,130.03,
1100,111,186,136.4,
1105,130,201,126.56,
1110,129,196,122.63000000000001,
1115,133,187,122.77,
1120,133,184,127.48,
1125,135,180,135.75,
1130,140,181,133.82,
1135,127,193,129.54,
1140,130,188,125.94999999999999,
1145,129,173,119.81,
1150,130,188,125.6,
1155,141,189,129.29,
1160,134,182,131.38,
1165,129,166,124.77,
1170,134,198,133.11,
1175,134,200,125.86999999999999,
1180,134,182,126.38000000000001,
1185,128,186,127.13,
1190,136,192,135.88,
1195,129,197,125.68,
1200,119,182,123.73,
1205,127,192,125.36,
1210,128,191,125.39,
1215,125,180,126.67999999999999,
1220,125,182,126.4,
1225,127,176,126.32000000000001,
1230,124,185,137.25,
1235,140,193,127.24,
1240,134,184,125.92,
1245,130,183,127.83,
1250,131,182,134.07,
1255,129,186,128.22,
1260,128,197,123.17,
1265,139,178,128.29,
1270,125,189,130.77,
1275,128,192,127.77,
1280,125,201,135.22,
1285,130,189,129.53,
1290,127,189,125.07000000000001,
1295,120,194,131.74,
1300,132,182,127.88999999999999,
1305,141,189,133.28,
1310,128,192,117.06,
1315,147,207,126.32000000000001,
1320,119,185,132.99,
1325,136,189,131.68,
1330,130,191,125.44,
1335,121,194,129.54,
1340,131,194,129.26000000000002,
1345,124,183,135.15,
1350,136,202,135.57,
1355,122,183,125.89,
1360,124,185,126.07,
1365,125,183,134.20999999999998,
1370,127,179,133.93,
1375,117,188,136.49,
1380,121,179,128.45000000000002,
1385,112,182,134.91,
1390,144,184,138.01,
1395,116,191,136.97,
1400,133,186,133.12,
