travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
2.1333333333333333,0,AV,3,0,0,70,-2.1333333333333333,"0,0,0,0"
2.466666666666667,211,AV,2,138,15,1707,-2.466666666666667,"0,0,0,0"
3.066666666666667,173,AV,0,118,4,763,-3.066666666666667,"0,0,0,0"
3.8833333333333333,136,AV,3,36,69,1798,-3.8833333333333333,"0,0,0,0"
2.65,158,AV,2,109,11,1349,-2.65,"0,0,0,0"
3.566666666666667,26,AV,3,25,21,958,-3.566666666666667,"0,0,0,0"
1.3833333333333333,50,AV,1,13,32,731,-1.3833333333333333,"0,0,0,0"
2.6666666666666665,32,AV,2,31,22,587,-2.6666666666666665,"0,0,0,0"
4.116666666666666,161,AV,0,13,82,943,-4.116666666666666,"0,0,0,0"
1.9333333333333333,174,AV,0,119,86,1363,-1.9333333333333333,"0,0,0,0"
3.433333333333333,54,AV,0,45,5,385,-3.433333333333333,"0,0,0,0"
4.5,82,AV,1,67,12,1091,-4.5,"0,0,0,0"
2.5166666666666666,76,AV,1,61,44,400,-2.5166666666666666,"0,0,0,0"
4.35,188,AV,0,127,34,814,-4.35,"0,0,0,0"
7.5,49,AV,3,42,31,1027,-7.5,"0,0,0,0"
1.15,27,AV,0,26,2,853,-1.15,"0,0,0,0"
0.8,130,AV,0,95,12,753,-0.8,"0,0,0,0"
2.35,110,AV,1,87,34,487,-2.35,"0,0,0,0"
1.6666666666666667,176,AV,2,121,18,1747,-1.6666666666666667,"0,0,0,0"
3.65,21,AV,3,21,15,1026,-3.65,"0,0,0,0"
5.65,6,AV,0,6,6,637,-5.65,"0,0,0,0"
1.9333333333333333,80,AV,0,65,44,626,-1.9333333333333333,"0,0,0,0"
3.283333333333333,128,AV,2,25,29,1444,-3.283333333333333,"0,0,0,0"
2.683333333333333,35,AV,3,34,26,357,-2.683333333333333,"0,0,0,0"
2.1166666666666667,75,AV,0,60,9,1662,-2.1166666666666667,"0,0,0,0"
4.283333333333333,41,AV,2,18,2,466,-4.283333333333333,"0,0,0,0"
3.9833333333333334,192,AV,2,84,3,1383,-3.9833333333333334,"0,0,0,0"
4.833333333333333,152,AV,1,36,79,1276,-4.833333333333333,"0,0,0,0"
3.4833333333333334,193,AV,0,21,39,1708,-3.4833333333333334,"0,0,0,0"
2.0833333333333335,191,AV,0,55,44,1620,-2.0833333333333335,"0,0,0,0"
6.95,103,AV,1,81,55,278,-6.95,"0,0,0,0"
3.466666666666667,36,AV,2,18,12,1627,-3.466666666666667,"0,0,0,0"
2.683333333333333,48,AV,3,17,12,981,-2.683333333333333,"0,0,0,0"
3.0833333333333335,88,AV,3,71,12,593,-3.0833333333333335,"0,0,0,0"
2.316666666666667,5,AV,3,5,5,154,-2.316666666666667,"0,0,0,0"
3.0,13,AV,1,13,13,1317,-3.0,"0,0,0,0"
3.1166666666666667,14,AV,2,14,5,1526,-3.1166666666666667,"0,0,0,0"
5.65,68,AV,3,55,40,589,-5.65,"0,0,0,0"
5.833333333333333,212,AV,3,139,91,935,-5.833333333333333,"0,0,0,0"
2.25,87,AV,0,70,29,1390,-2.25,"0,0,0,0"
