id,losses
0,"[28.194007873535156, 16.731054306030273, 10.429009437561035, 16.236967086791992, 9.712323188781738, 5.234526634216309, 3.7395715713500977, 5.803250789642334, 4.827579021453857, 5.05768346786499, 3.7786178588867188, 1.225714921951294, 0.9983744025230408, 1.0948904752731323, 0.4584527909755707, 1.0161983966827393, 0.6812911033630371, 0.9327244758605957]"
211,"[3650.031494140625, 712.1044921875, 1233.8226318359375, 1302.0643310546875, 1270.1502685546875, 814.0927734375, 356.5050964355469, 218.60888671875, 30.020370483398438, 408.7507629394531, 66.2069320678711, 64.50592803955078, 146.67825317382812, 217.59735107421875, 116.466552734375, 108.51195526123047, 94.07978057861328, 168.8113555908203]"
173,"[181.5774383544922, 123.72386932373047, 81.52977752685547, 29.79148292541504, 4.1131272315979, 10.955451965332031, 1.794195532798767, 36.898380279541016, 5.062891483306885, 95.10454559326172, 56.61989212036133, 24.656946182250977, 11.861687660217285, 7.078245639801025, 58.6959228515625, 32.449867248535156, 44.809722900390625, 10.998493194580078]"
136,"[4450.30859375, 183.1066131591797, 379.5277404785156, 868.628662109375, 1315.4970703125, 619.5426635742188, 298.9691162109375, 245.6396484375, 145.6791534423828, 8.200538635253906, 54.91375732421875, 150.4110565185547, 180.2998504638672, 57.554813385009766, 213.6956329345703, 232.4668426513672, 174.5318145751953, 120.9129867553711]"
158,"[147.81256103515625, 1697.27001953125, 241.90040588378906, 20.633827209472656, 344.1323547363281, 457.524169921875, 527.2271728515625, 3.2009849548339844, 47.15815734863281, 144.0872802734375, 126.06716918945312, 130.94894409179688, 151.19020080566406, 89.64322662353516, 10.152029037475586, 6.217194080352783, 12.702163696289062, 70.45594787597656]"
26,"[21323.966796875, 4521.07861328125, 64.55774688720703, 1309.3795166015625, 1987.8857421875, 2286.062744140625, 2205.062255859375, 1963.2698974609375, 1644.9783935546875, 1276.279296875, 155.7492218017578, 1278.7861328125, 518.3988037109375, 354.8846435546875, 185.61639404296875, 126.84867095947266, 80.54842376708984, 56.908905029296875]"
50,"[383.5708923339844, 193.92967224121094, 246.307373046875, 85.299072265625, 16.492586135864258, 46.2863655090332, 92.06287384033203, 106.57112884521484, 80.94451904296875, 41.95980453491211, 23.66658592224121, 15.78795337677002, 4.698156833648682, 2.089813470840454, 3.8423755168914795, 16.198034286499023, 12.079102516174316, 21.906511306762695]"
32,"[231.5242156982422, 8.433756828308105, 181.958984375, 152.59471130371094, 36.81111145019531, 3.376843214035034, 44.56899642944336, 54.18716049194336, 71.25257110595703, 38.967220306396484, 7.492987155914307, 11.62767505645752, 12.990077018737793, 17.95599365234375, 21.808929443359375, 8.321492195129395, 14.806475639343262, 18.950345993041992]"
161,"[356.8870849609375, 1194.9444580078125, 735.33447265625, 45.81354904174805, 258.6427307128906, 372.659423828125, 502.9444580078125, 261.3749694824219, 143.7891845703125, 63.52745056152344, 11.428459167480469, 154.50950622558594, 139.7749786376953, 45.10971450805664, 117.64879608154297, 82.6072769165039, 67.7511978149414, 71.14102935791016]"
174,"[11399.9345703125, 367.2725830078125, 694.3554077148438, 810.8474731445312, 940.5380249023438, 1326.4417724609375, 1466.3646240234375, 324.37567138671875, 15.736645698547363, 30.085838317871094, 44.80183792114258, 100.13858032226562, 138.104736328125, 212.62835693359375, 5.146819591522217, 333.96722412109375, 137.1122283935547, 102.78853607177734]"
