origins,destinations,path,free_flow_time
0,0,-42762428#0 -697042776#1 623959719 619185406 619184994 1164659927#1 1164659926 120512822 -133906979 -133906980 -282479126 -100468681#8 -100468681#7 -100468681#6 -100468681#5 -100468681#4 -100468681#3 -100468681#2,1.485518843966672
0,0,-42762428#0 -697042776#1 623959719 619185406 619184994 1164659927#1 1164659926 120512822 -133906979 -133906980 -282479126 -100468681#8 -100468681#7 100525438#0 -101601553#1 -101601553#0 101600741#4 -100468681#2,1.9721714315675873
0,0,-42762428#0 -697042776#1 623959719 -282689984#1 -282689984#0 -134065887 100475363 282479151#1 100475362 -659278038#3 -659278038#2 -659278038#1 -659278038#0 -100525438#2 -100525438#1 -101601553#1 -101601553#0 101600741#4 -100468681#2,1.8275350024819144
0,0,-42762428#0 697042776#2 42762428#1 42762428#4 1197063689 1164653914 1164659927#1 1164659926 120512822 -133906979 -133906980 -282479126 -100468681#8 -100468681#7 -100468681#6 -100468681#5 -100468681#4 -100468681#3 -100468681#2,1.3283359708174125
0,35,-42762428#0 -697042776#1 623959719 -282689984#1 -282689984#0 -134065887 100475363 282479151#1 100475362 -659278038#3 -659278038#2 -659278038#1 -659278038#0 659278036#0 659278036#1 659278036#2 659278036#3 -100468675#3 101599083#0 101599083#1 101599079#3 101599076#0 101599076#1 -101599076#1 -101599076#0,1.9175222284738225
0,35,-42762428#0 -697042776#1 623959719 -282689984#1 -282689984#0 -134065887 100475363 282479151#1 100475362 -659278038#3 -659278038#2 -659278038#1 -659278038#0 659278036#0 -416412034 659278036#2 659278036#3 -100468675#3 101599083#0 101599083#1 101599079#3 101599076#0 101599076#1 -101599076#1 -101599076#0,2.1604393953405694
0,35,-42762428#0 -697042776#1 623959719 -282689984#1 -282689984#0 -134065887 100475363 282479151#1 100475362 -659278038#3 -659278038#2 -659278038#1 -659278038#0 659278036#0 -416412034 659278036#2 -101601559 101601559 659278036#3 -100468675#3 101599083#0 101599083#1 101599079#3 101599076#0 101599076#1 -101599076#1 -101599076#0,2.424070304867808
0,35,-42762428#0 -697042776#1 42762429 -120511142#2 75421017 -282689984#1 -282689984#0 -134065887 100475363 282479151#1 100475362 -659278038#3 -659278038#2 -659278038#1 -659278038#0 659278036#0 -416412034 659278036#2 659278036#3 -100468675#3 101599083#0 101599083#1 101599079#3 101599076#0 101599076#1 -101599076#1 -101599076#0,2.5699231888579774
1,1,-1323419247 1323419246 -416373452 101418587 464265154,0.5096039711781041
1,1,-1323419247 -120511142#2 120511142#2 1323419246 -416373452 101418587 464265154,0.626370677860777
1,1,-1323419247 1323419246 -100525445 100525445 -416373452 101418587 464265154,0.8202882448875878
1,1,-1323419247 1323419247 868087112 526439431#0 526439431#1 42762429 1323419246 -416373452 101418587 464265154,1.15532225849303
1,62,-1323419247 -120511142#2 75421017 619185406 619184994 1164659927#1 1164659926 120512822 282479125#0 282479125#1,1.5109043617446978
1,62,-1323419247 -120511142#2 75421017 619185406 619184994 1164659927#1 1164659928 1164659929 120512822 282479125#0 282479125#1,1.5222288915566224
