episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
2305,80,411,109.66,
2310,43,209,109.92,
2315,45,214,107.21,
2320,41,217,114.51,
2325,38,209,109.8,
2330,50,220,109.97,
2335,47,216,111.56,
2340,43,212,111.93,
2345,44,225,115.49,
2350,44,213,110.6,
2355,49,227,111.41000000000001,
2360,41,211,111.98,
2365,44,195,112.89999999999999,
2370,46,202,107.38999999999999,
2375,39,218,110.51,
2380,47,215,114.80999999999999,
2385,40,219,110.61999999999999,
2390,40,205,110.63,
2395,43,220,112.59,
2400,45,219,114.89,
2405,39,216,109.16000000000001,
2410,35,209,109.82,
2415,44,205,111.27000000000001,
2420,43,218,118.19,
2425,43,209,112.57000000000001,
2430,48,238,112.86,
2435,42,213,112.48,
2440,41,217,110.24,
2445,47,217,111.99,
2450,42,201,111.69,
2455,45,205,110.85,
2460,44,219,110.09,
2465,43,187,111.76,
2470,37,199,112.25,
2475,52,211,110.80000000000001,
2480,55,206,115.97,
2485,47,232,115.4,
2490,43,209,116.39,
2495,41,229,113.44,
2500,42,213,114.5,
2505,44,228,113.78999999999999,
2510,48,221,110.96,
2515,40,236,111.09,
2520,42,208,111.58,
2525,43,214,110.62,
2530,35,206,115.27,
2535,36,208,112.4,
2540,39,211,117.59,
2545,35,221,117.08,
2550,45,202,108.32000000000001,
2555,44,215,113.06,
2560,45,212,112.84,
2565,49,222,112.04,
2570,43,214,114.11,
2575,41,196,107.7,
2580,49,210,112.80999999999999,
2585,44,203,111.81,
2590,41,197,113.62,
2595,44,207,116.1,
2600,41,219,116.48,
2605,37,218,114.92,
2610,45,227,110.82000000000001,
2615,41,201,113.99000000000001,
2620,45,210,110.09,
2625,44,223,114.88,
2630,46,208,113.16000000000001,
2635,41,186,112.28999999999999,
2640,43,203,115.47,
2645,41,197,116.08000000000001,
2650,39,210,113.39999999999999,
2655,42,200,114.42,
2660,44,202,109.77,
2665,47,200,113.75,
2670,38,207,110.69000000000001,
2675,40,199,116.6,
2680,46,204,113.17,
2685,40,206,116.79,
2690,46,197,115.22,
2695,40,220,112.14,
2700,43,209,112.39999999999999,
2705,34,210,112.24000000000001,
2710,42,204,116.22,
2715,50,223,116.72,
2720,48,216,116.91,
2725,41,197,113.42,
2730,42,204,117.18,
2735,42,190,113.8,
2740,39,203,118.67999999999999,
2745,39,188,114.22,
2750,39,205,117.53,
2755,39,212,114.13,
2760,47,187,114.22,
2765,39,203,112.47999999999999,
2770,42,195,112.32000000000001,
2775,47,214,112.71,
2780,49,212,114.01,
2785,46,201,114.14,
2790,45,209,113.55,
2795,47,194,108.92,
2800,39,203,114.45,
2805,36,203,112.81,
2810,41,215,118.18,
2815,40,224,115.53999999999999,
2820,47,205,114.08,
2825,41,202,117.29,
2830,48,218,111.64,
2835,40,198,114.62,
2840,33,210,117.77,
2845,47,206,117.57000000000001,
2850,41,194,115.39999999999999,
2855,44,215,113.55,
2860,48,198,114.44,
2865,40,199,114.75,
2870,42,202,116.00999999999999,
2875,34,202,115.73,
2880,37,200,116.5,
2885,39,207,112.39,
2890,44,206,117.88,
2895,41,194,113.05,
2900,46,205,114.78,
2905,37,181,111.2,
2910,35,184,114.98,
2915,43,183,113.33,
2920,43,180,114.85000000000001,
2925,50,201,115.45,
2930,41,197,115.22,
2935,45,201,114.79,
2940,44,213,116.58,
2945,48,201,114.12,
2950,46,194,117.92,
2955,45,195,114.61,
2960,40,187,120.54,
2965,38,184,111.96000000000001,
2970,35,201,111.22000000000001,
2975,40,194,116.53,
2980,43,199,110.53,
2985,47,191,112.34,
2990,38,193,116.42999999999999,
2995,39,176,113.59,
3000,46,191,117.61,
3005,42,174,117.69,
3010,48,194,113.68,
3015,43,190,118.74000000000001,
3020,48,214,118.73,
3025,37,210,125.15,
3030,46,185,116.44,
3035,38,200,111.61,
3040,43,179,111.07,
3045,47,190,114.35,
3050,43,180,114.26,
3055,45,175,114.73,
3060,46,171,112.53999999999999,
3065,45,197,111.93,
3070,38,175,115.71,
3075,40,193,118.86999999999999,
3080,44,178,115.77,
3085,40,179,113.73,
3090,40,163,113.53999999999999,
3095,45,177,115.48,
3100,49,184,114.65,
3105,45,178,114.56,
3110,46,165,113.03,
3115,49,177,115.16,
3120,48,181,114.0,
3125,44,185,112.82,
3130,37,174,114.11,
3135,44,184,110.96,
3140,47,184,111.96000000000001,
3145,41,181,113.61,
3150,45,184,110.7,
3155,44,162,112.89999999999999,
3160,37,173,114.83,
3165,40,186,113.29,
3170,46,165,112.07,
3175,44,173,109.69,
3180,40,161,112.7,
3185,39,156,114.8,
3190,43,161,111.02,
3195,43,167,117.19999999999999,
3200,35,154,114.12,
3205,42,150,110.11,
3210,37,166,112.19999999999999,
3215,38,154,110.75,
3220,39,154,109.89999999999999,
3225,40,148,110.67999999999999,
3230,37,169,112.24,
3235,34,172,113.93,
3240,43,155,110.39,
3245,41,166,113.33,
3250,41,164,113.28,
3255,40,162,112.14999999999999,
3260,33,151,113.44000000000001,
3265,47,156,114.38,
3270,50,158,114.44,
3275,37,169,114.04,
3280,48,161,115.2,
3285,32,157,110.42,
3290,42,156,111.27,
3295,36,153,110.96,
3300,47,178,108.14999999999999,
3305,41,143,108.77,
3310,44,157,114.17,
3315,44,177,115.82,
3320,39,166,111.76,
3325,38,155,118.04,
3330,34,151,113.33999999999999,
3335,42,161,113.13000000000001,
3340,47,142,111.0,
3345,32,146,109.74,
3350,40,138,112.12,
3355,44,148,116.69999999999999,
3360,45,158,112.99000000000001,
3365,30,157,110.53999999999999,
3370,28,148,111.35,
3375,38,156,113.93,
3380,32,149,109.55,
3385,43,161,108.33,
3390,39,147,109.22,
