episode,shifted_humans,shifted_avs,machine_ratio
2010,138 148 362 462,None,0.20773930753564154
2020,79 263 391,None,0.21384928716904278
2030,131 151,None,0.21792260692464357
2040,123 198,202,0.219959266802444
2050,352,None,0.2219959266802444
2060,126 216 449,None,0.22810590631364563
2070,199 458,None,0.23217922606924643
2080,50 293 381 430,None,0.24032586558044808
2090,56 279 328 366 461,None,0.2505091649694501
2100,264,None,0.2525458248472505
2110,416,293,0.2525458248472505
2120,4 124 170 323 371,None,0.26272912423625255
2130,213 221 311,None,0.26883910386965376
2140,33 150 162 255 353,None,0.2790224032586558
2150,245 248,None,0.2830957230142566
2160,65 239 369 415,462,0.2892057026476578
2170,120 367,None,0.29327902240325865
2180,2 76 206 300 407,None,0.3034623217922607
2190,109 129 319 343 372 376,None,0.31568228105906315
2200,152 222 389,None,0.32179226069246436
2210,116 136,253,0.32382892057026474
2220,17 90 307,251 353,0.3258655804480652
2230,314,None,0.32790224032586557
2240,12 254 423,None,0.3340122199592668
2250,42 235 373 454,123,0.34012219959266804
2260,117 132 156 195 211 269 403 476,None,0.3564154786150713
2270,67 191 446 486 462,None,0.3665987780040733
2280,83 257 342 396,None,0.37474541751527496
2290,6 106 172 176 346 477 123,None,0.3890020366598778
2300,5 251,None,0.39307535641547864
2310,186 203 275,None,0.39918533604887985
2320,52 58 259 481,None,0.4073319755600815
2330,107 108 113 313,441,0.4134419551934827
2340,59 82,None,0.4175152749490835
2350,39,None,0.4195519348268839
2360,145 488,None,0.42362525458248473
2370,171 399,None,0.42769857433808556
2380,406,269,0.42769857433808556
2390,None,279,0.4256619144602851
2400,53 64 298 427,None,0.43380855397148677
2410,318,None,0.43584521384928715
2420,20 250 325 398,None,0.4439918533604888
2430,196 333,None,0.4480651731160896
2440,30 283 368 447,None,0.45621181262729127
2450,190 205 309,None,0.4623217922606925
2460,178 285,None,0.4663951120162933
2470,388,None,0.4684317718940937
2480,81 143 267 306,None,0.47657841140529533
2490,None,None,0.47657841140529533
2500,210 223 277,None,0.48268839103869654
2510,159 324,None,0.48676171079429736
2520,None,None,0.48676171079429736
2530,297 316 440,None,0.49287169042769857
2540,217,None,0.49490835030549896
2550,431 436 479,None,0.5010183299389002
2560,266 332 410,None,0.5071283095723014
2570,258,113,0.5071283095723014
2580,16 127 226,None,0.5132382892057027
2590,None,171,0.5112016293279023
2600,157 347,None,0.515274949083503
2610,None,None,0.515274949083503
2620,339,53,0.515274949083503
2630,34 392,None,0.5193482688391039
2640,101 154,None,0.5234215885947047
2650,69 158,None,0.5274949083503055
2660,102 321 470,None,0.5336048879837068
2670,361,76,0.5336048879837068
2680,None,140 59,0.5295315682281059
2690,10 394 459,None,0.5356415478615071
2700,75 280 336 354,33,0.5417515274949084
2710,160 189,None,0.5458248472505092
2720,60 91 137 113,None,0.5539714867617108
2730,115 327 439,None,0.560081466395112
2740,84 179,69,0.5621181262729125
2750,294 299 432 437,None,0.570264765784114
2760,181 184 304 330 335,None,0.5804480651731161
2770,27 183 377 400 419 451,None,0.5926680244399185
2780,26 92 360,None,0.5987780040733197
2790,193 301 387,None,0.604887983706721
2800,237,None,0.6069246435845214
2810,463,None,0.6089613034623218
2820,234 455,None,0.6130346232179226
2830,220,None,0.615071283095723
2840,243,None,0.6171079429735234
2850,None,None,0.6171079429735234
2860,47 292,None,0.6211812627291242
2870,478,245,0.6211812627291242
2880,None,None,0.6211812627291242
2890,80 187 384,None,0.6272912423625254
2900,94 468,None,0.6313645621181263
2910,139 233 53,None,0.6374745417515275
2920,95 475,None,0.6415478615071283
2930,None,None,0.6415478615071283
2940,None,None,0.6415478615071283
2950,57 165 405 490 202,None,0.6517311608961304
2960,43,None,0.6537678207739308
2970,308,372,0.6537678207739308
2980,442,None,0.6558044806517311
2990,22 167,None,0.659877800407332
3000,None,None,0.659877800407332
3010,469,None,0.6619144602851323
3020,54 438,None,0.6659877800407332
3030,49 268,318,0.6680244399185336
3040,0 310 472,None,0.6741344195519349
3050,None,325,0.6720977596741344
3060,None,None,0.6720977596741344
3070,229 171,None,0.6761710794297352
3080,238,None,0.6782077393075356
3090,87 265,None,0.6822810590631364
3100,37 38 246 464 33,None,0.6924643584521385
3110,55,None,0.6945010183299389
3120,None,None,0.6945010183299389
3130,8 62 487,None,0.7006109979633401
3140,331 422,None,0.7046843177189409
3150,253,216 436 339,0.7006109979633401
3160,397 339,None,0.7046843177189409
3170,None,None,0.7046843177189409
3180,None,None,0.7046843177189409
3190,None,None,0.7046843177189409
3200,340 480,None,0.7087576374745418
3210,7 23,None,0.7128309572301426
3220,279,375,0.7128309572301426
3230,98,222,0.7128309572301426
3240,207,None,0.714867617107943
3250,None,None,0.714867617107943
3260,169 261 281,None,0.7209775967413442
3270,63 70 86 105 409,438,0.7291242362525459
3280,334 441,None,0.7331975560081466
3290,121 149 322,None,0.7393075356415478
3300,413,139,0.7393075356415478
3310,None,None,0.7393075356415478
3320,379,None,0.7413441955193483
3330,29,None,0.7433808553971487
3340,445,None,0.745417515274949
3350,465,None,0.7474541751527495
3360,194 411 412,197 264,0.7494908350305499
3370,None,None,0.7494908350305499
3380,372 222,None,0.7535641547861507
3390,None,None,0.7535641547861507
3400,44 276,167,0.7556008146639511
3410,337,None,0.7576374745417516
3420,386,None,0.7596741344195519
3430,357,None,0.7617107942973523
3440,25 249 271,263 243,0.7637474541751528
3450,263,319,0.7637474541751528
3460,None,None,0.7637474541751528
3470,353,None,0.7657841140529531
3480,None,None,0.7657841140529531
3490,None,None,0.7657841140529531
3500,385,None,0.7678207739307535
3510,153,None,0.769857433808554
3520,None,None,0.769857433808554
3530,133 252 404,None,0.7759674134419552
3540,None,353,0.7739307535641547
3550,174,38,0.7739307535641547
3560,None,None,0.7739307535641547
3570,None,480,0.7718940936863544
3580,51 73,None,0.7759674134419552
3590,338 420,None,0.780040733197556
3600,216,None,0.7820773930753564
3610,390,None,0.7841140529531568
3620,290 418,None,0.7881873727087576
3630,185 218,None,0.7922606924643585
3640,3,None,0.7942973523421588
3650,351 318,None,0.7983706720977597
3660,None,None,0.7983706720977597
3670,320,229,0.7983706720977597
3680,435,None,0.8004073319755601
3690,164 457 293,335,0.8044806517311609
3700,166 76,426,0.8065173116089613
3710,None,None,0.8065173116089613
3720,288,None,0.8085539714867617
3730,295 436,None,0.8126272912423625
3740,36,481 233,0.8105906313645621
3750,None,None,0.8105906313645621
3760,421,382 11,0.8085539714867617
3770,434,None,0.8105906313645621
3780,None,113,0.8085539714867617
3790,None,394,0.8065173116089613
3800,227,None,0.8085539714867617
3810,242 394,None,0.8126272912423625
3820,88,None,0.814663951120163
3830,None,323,0.8126272912423625
3840,None,None,0.8126272912423625
3850,229,346 277,0.8105906313645621
3860,219,None,0.8126272912423625
3870,None,4,0.8105906313645621
3880,245,None,0.8126272912423625
3890,393,None,0.814663951120163
3900,269 233,None,0.8187372708757638
3910,77,None,0.8207739307535642
3920,448,None,0.8228105906313645
3930,224,None,0.824847250509165
3940,323,None,0.8268839103869654
3950,236 401 69,None,0.8329938900203666
3960,274,None,0.835030549898167
3970,None,79,0.8329938900203666
3980,None,None,0.8329938900203666
3990,350 197,None,0.8370672097759674
